#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
125.952 -2.608 20.0 1.92422 -0.962108 -0.962108 1.1417 -1.1417 0.962108 28.0 X Y 0 R
126.688 -5.401 10.0 0.602338 -2.46143 1.8591 -0.0659551 -1.07211 0.465775 25.0 X Y 1 SS-R
118.243 4.924 13.2 -0.273985 2.90269 -2.6287 0.280468 -1.12814 -1.38132 25.0 X Y 2 SS
126.15 -2.88 43.4 0.0449237 0.0778266 -0.12275 0.187688 0.428606 3.5155 25.0 X Y 3 SS
118.965 -7.715 20.0 -0.324782 -0.630452 0.955234 -0.604301 0.522728 1.91461 24.0 X Y 4 SS-N
126.11 -2.31 15.0 -2.42039 2.48689 -0.0665 0.279249 0.420402 -0.176667 25.0 X Y 5 N
126.656 -1.955 25.0 -2.88084 2.96095 -0.080114 0.250614 0.512268 -0.225513 25.0 X Y 6 N
123.377 -4.267 30.0 0.440266 0.329644 -0.76991 0.523606 1.53414 0.485742 24.0 X Y 7 R
124.597 4.664 35.0 -0.0454213 2.6327 -2.58728 -0.394857 0.523753 -0.0227107 25.0 X Y 8 SS
121.26 -2.12 36.4 6.58127 -0.2309 -6.35037 -3.07565 0.337367 -3.41694 23.0 X Y 9 R-SS
119.8 -2.95 15.0 -4.23815 3.07137 1.16678 6.36428 -0.619954 4.91591 24.0 X Y 10 N-SS
125.744 -6.201 40.3 0.105808 -4.73026 4.62446 -1.14017 1.00973 -1.64612 25.0 X Y 11 SS
121.98 -3.55 15.0 -0.46275 0.805635 -0.342885 0.973151 1.27265 0.324421 25.0 X Y 12 N
124.676 -1.947 18.2 -0.265834 0.706126 -0.440293 0.00218083 0.637789 0.872048 24.0 X Y 13 SS-N
125.21 -2.46 36.0 -0.239668 0.636623 -0.396955 0.00196617 0.575012 0.786213 24.0 X Y 14 SS-N
118.38 4.748 15.0 0.534897 1.75254 -2.28744 1.03378 0.265084 1.28278 24.0 X Y 15 SS-R
118.91 4.41 15.0 0.448729 1.45304 -1.90177 0.867309 0.229289 1.11462 24.0 X Y 16 SS-R
