//
// Example data file for Orient 3 (Vollmer, 2015)
//
// Ice C-Axes
// 112 ice c-axes digitized from Figure 7 of Kamb, 1959.
//
// Kamb, W.B., 1959, Ice petrofabric observations from Blue Glacier, 
// Washington, in relation to theory and experiment: Journal Geophysical 
// Research, v. 64, p. 1891-1909.
//
// ------------------------------------------------------------------------------------
Plunge	Trend	Type
67	5	C
9	9	C
64	22	C
16	27	C
52	27	C
19	28	C
58	32	C
68	32	C
11	34	C
16	38	C
13	45	C
72	45	C
3	49	C
29	51	C
40	52	C
19	55	C
30	56	C
21	57	C
23	58	C
37	58	C
12	58	C
33	60	C
22	61	C
27	66	C
20	68	C
31	69	C
20	71	C
18	76	C
78	76	C
28	80	C
28	82	C
31	84	C
3	95	C
35	95	C
19	97	C
58	99	C
25	99	C
64	103	C
54	103	C
35	105	C
18	109	C
11	117	C
4	129	C
16	132	C
25	134	C
12	137	C
49	175	C
42	191	C
61	192	C
13	199	C
49	202	C
44	202	C
72	207	C
38	215	C
58	217	C
33	221	C
61	224	C
15	233	C
11	234	C
29	235	C
16	237	C
12	237	C
50	237	C
14	240	C
40	241	C
11	241	C
45	241	C
23	243	C
33	245	C
23	246	C
63	247	C
32	250	C
19	251	C
37	252	C
15	252	C
21	255	C
10	255	C
16	256	C
13	258	C
5	259	C
35	261	C
28	262	C
40	266	C
25	267	C
3	268	C
20	271	C
5	271	C
10	271	C
63	272	C
13	274	C
13	275	C
18	276	C
40	278	C
33	279	C
22	284	C
59	286	C
11	286	C
18	289	C
15	290	C
6	292	C
56	294	C
33	295	C
17	296	C
21	297	C
25	315	C
19	316	C
14	317	C
81	331	C
63	340	C
16	345	C
26	352	C
24	355	C
