// 129 measurements of bedding (S0) surfaces from Bear Valley Strip Mine, southwest of 
// Shamokin, Pennsylvania. Collected on 2016 SUNY New Paltz field excursion by:
// Patwardan, K., Vollmer, F.W., Cabanillas, A., Daniels, J., Lounsberry, A.   
//
ID	Station	Zone	Easting	Northing	Latitude	Longitude	Strike	Dip	Type
1	BV16-AC01	30N	685077.374	78672.121	40.7641800	-76.5966700	79.0000	33.0000	S0
2	BV16-AC01	30N	685077.374	78672.121	40.7641800	-76.5966700	71.0000	21.0000	S0
3	BV16-AC01	30N	685077.374	78672.121	40.7641800	-76.5966700	70.0000	21.0000	S0
4	BV16-AC01	30N	685077.374	78672.121	40.7641800	-76.5966700	65.0000	19.0000	S0
5	BV16-AC01	30N	685077.374	78672.121	40.7641800	-76.5966700	78.0000	23.0000	S0
6	BV16-AC02	30N	685077.491	78672.237	40.7642400	-76.5966100	76.0000	21.0000	S0
7	BV16-AC02	30N	685077.491	78672.237	40.7642400	-76.5966100	80.0000	18.0000	S0
8	BV16-AC02	30N	685077.491	78672.237	40.7642400	-76.5966100	74.0000	22.0000	S0
9	BV16-AC02	30N	685077.491	78672.237	40.7642400	-76.5966100	73.0000	17.0000	S0
10	BV16-AC02	30N	685077.491	78672.237	40.7642400	-76.5966100	59.0000	20.0000	S0
11	BV16-AL01	30N	685077.374	78672.121	40.7641800	-76.5966700	81.0000	20.0000	S0
12	BV16-AL02	30N	685077.374	78672.179	40.7642100	-76.5966700	75.0000	22.0000	S0
13	BV16-AL03	30N	685077.374	78672.179	40.7642100	-76.5966700	60.0000	19.0000	S0
14	BV16-AL04	30N	685077.491	78672.275	40.7642600	-76.5966100	66.0000	23.0000	S0
15	BV16-AL05	30N	685077.491	78672.275	40.7642600	-76.5966100	78.0000	13.0000	S0
16	BV16-AL06	30N	685077.510	78672.295	40.7642700	-76.5966000	68.0000	7.0000	S0
17	BV16-AL07	30N	685077.510	78672.295	40.7642700	-76.5966000	81.0000	16.0000	S0
18	BV16-AL08	30N	685077.510	78672.295	40.7642700	-76.5966000	72.0000	11.0000	S0
19	BV16-AL09	30N	685077.510	78672.295	40.7642700	-76.5966000	85.0000	6.0000	S0
20	BV16-AL10	30N	685077.510	78672.295	40.7642700	-76.5966000	75.0000	3.0000	S0
21	BV16-AL11	30N	685077.510	78672.295	40.7642700	-76.5966000	70.0000	11.0000	S0
22	BV16-AL12	30N	685077.510	78672.295	40.7642700	-76.5966000	79.0000	3.0000	S0
23	BV16-AL13	30N	685077.394	78672.294	40.7642700	-76.5966600	252.0000	9.0000	S0
24	BV16-AL14	30N	685077.394	78672.294	40.7642700	-76.5966600	255.0000	13.0000	S0
25	BV16-AL15	30N	685077.432	78672.294	40.7642700	-76.5966400	250.0000	14.0000	S0
26	BV16-AL16	30N	685077.432	78672.294	40.7642700	-76.5966400	254.0000	14.0000	S0
27	BV16-JD01	30N	685077.549	78672.159	40.7642000	-76.5965800	61.0000	18.0000	S0
28	BV16-JD02	30N	685077.491	78672.159	40.7642000	-76.5966100	340.0000	0.0000	S0
29	BV16-JD03	30N	685077.374	78672.256	40.7642500	-76.5966700	258.0000	8.0000	S0
30	BV16-JD04	30N	685077.432	78672.294	40.7642700	-76.5966400	268.0000	8.0000	S0
31	BV16-JD05	30N	685077.607	78672.217	40.7642300	-76.5965500	66.0000	12.0000	S0
32	BV16-JD06	30N	685077.685	78672.198	40.7642200	-76.5965100	62.0000	19.0000	S0
33	BV16-AC03	30N	685076.869	78671.966	40.7641000	-76.5969300	62.0000	33.0000	S0
34	BV16-AC03	30N	685076.869	78671.966	40.7641000	-76.5969300	64.0000	37.0000	S0
35	BV16-AC03	30N	685076.869	78671.966	40.7641000	-76.5969300	71.0000	33.0000	S0
36	BV16-AC03	30N	685076.869	78671.966	40.7641000	-76.5969300	66.0000	35.0000	S0
37	BV16-AC03	30N	685076.869	78671.966	40.7641000	-76.5969300	69.0000	34.0000	S0
38	BV16-AC04	30N	685076.694	78671.908	40.7640700	-76.5970200	65.0000	37.0000	S0
39	BV16-AC04	30N	685076.694	78671.908	40.7640700	-76.5970200	62.0000	38.0000	S0
40	BV16-AC04	30N	685076.694	78671.908	40.7640700	-76.5970200	64.0000	35.0000	S0
41	BV16-AC04	30N	685076.694	78671.908	40.7640700	-76.5970200	63.0000	38.0000	S0
42	BV16-AC04	30N	685076.694	78671.908	40.7640700	-76.5970200	64.0000	39.0000	S0
43	BV16-AC05	30N	685076.655	78671.947	40.7640900	-76.5970400	63.0000	37.0000	S0
44	BV16-AC05	30N	685076.655	78671.947	40.7640900	-76.5970400	69.0000	40.0000	S0
45	BV16-AC05	30N	685076.655	78671.947	40.7640900	-76.5970400	71.0000	42.0000	S0
