// Foliation measurements from the Wynd syncline, Rocky Mountains west of
// Jasper, Alberta. From:
//
// Kelker, D., and Langenberg, C.W., 1987. A mathematical model for orientation 
// data from macroscopic elliptical conical folds. Mathematical Geology, v. 19,
// p. 729-743.
//
// Appendix A
//
DipDir,Dip
129,58
143,55
181,55
124,54
159,60
102,48
157,58
169,55
193,63
171,63
136,55
152,71
170,74
156,57
166,56
146,58
180,69
172,66
145,64
168,62
192,71
188,71
174,66
134,62
112,64
126,54
170,62
192,69
121,49
120,43
147,61
120,55 
98,51 
87,53 
82,51 
91,37 
79,52 
90,44 
82,52 
79,50
78,49 
83,52 
84,55 
64,59 
92,49 
76,50 
85,41 
67,58 
61,61 
72,58
93,59 
69,58 
49,63 
62,63 
59,58 
71,59 
75,58 
70,55 
69,54 
69,50
90,60 
88,57 
79,54 
89,51 
86,53 
77,56 
57,65 
68,61 
62,58 
64,56
47,60 
60,60 
48,67 
54,62 
51,71 
60,56 
51,63 
53,62
