"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Grovudalen Foliations
"// Partial data set of 625 strike and dips of foliations in gneisses, "
"// Grovudalen, Western Gneiss Region, Norway (Vollmer, 1985)."
"// "
"// Vollmer, F.W., 1985, A structural study of the Grovudal fold-nappe, western "
"// Norway: PhD thesis, University of Minnesota, Minneapolis, Advisor P.J. "
"// Hudleston, 233 p. "
"// "
// -------------------------------------------------------------------------------------
Easting,Northing,Strike,Dip,Type
894.000,174.000,289.0,14.0,S
893.000,179.000,24.0,19.0,S
891.000,185.000,48.0,13.0,S
891.000,188.000,81.0,19.0,S
892.000,188.000,5.0,13.0,S
893.000,190.000,345.0,16.0,S
893.000,190.000,347.0,16.0,S
891.000,195.000,29.0,17.0,S
891.000,197.000,60.0,28.0,S
891.000,197.000,44.0,27.0,S
891.000,201.000,354.0,10.0,S
892.000,212.000,345.0,16.0,S
893.000,213.000,281.0,23.0,S
893.000,213.000,288.0,27.0,S
893.000,217.000,80.0,70.0,S
891.000,217.000,266.0,63.0,S
892.000,218.000,277.0,41.0,S
896.000,223.000,40.0,23.0,S
894.000,223.000,348.0,20.0,S
899.000,233.000,292.0,32.0,S
894.000,235.000,312.0,35.0,S
890.000,239.000,303.0,36.0,S
892.000,242.000,268.0,30.0,S
897.000,242.000,284.0,26.0,S
899.000,243.000,272.0,50.0,S
893.000,247.000,273.0,30.0,S
894.000,252.000,280.0,48.0,S
896.000,257.000,278.0,40.0,S
897.000,260.000,281.0,55.0,S
898.000,264.000,263.0,67.0,S
897.000,268.000,270.0,60.0,S
899.000,271.000,268.0,48.0,S
896.000,273.000,256.0,65.0,S
899.000,274.000,282.0,42.0,S
893.000,275.000,253.0,50.0,S
899.000,278.000,246.0,49.0,S
895.000,280.000,255.0,46.0,S
893.000,283.000,258.0,70.0,S
892.000,283.000,266.0,66.0,S
909.000,159.000,294.0,25.0,S
909.000,165.000,70.0,18.0,S
907.000,167.000,349.0,22.0,S
901.000,173.000,55.0,35.0,S
902.000,175.000,300.0,40.0,S
902.000,178.000,354.0,10.0,S
901.000,192.000,55.0,19.0,S
909.000,198.000,343.0,16.0,S
906.000,199.000,54.0,30.0,S
905.000,202.000,288.0,52.0,S
909.000,202.000,86.0,68.0,S
905.000,205.000,56.0,29.0,S
906.000,207.000,272.0,69.0,S
909.000,208.000,331.0,22.0,S
903.000,210.000,71.0,57.0,S
901.000,213.000,72.0,57.0,S
906.000,218.000,6.0,19.0,S
904.000,220.000,341.0,46.0,S
900.000,220.000,349.0,25.0,S
902.000,229.000,316.0,18.0,S
908.000,232.000,295.0,18.0,S
905.000,235.000,269.0,53.0,S
909.000,240.000,286.0,44.0,S
905.000,242.000,255.0,56.0,S
901.000,243.000,276.0,38.0,S
901.000,246.000,268.0,55.0,S
905.000,247.000,279.0,44.0,S
905.000,250.000,279.0,50.0,S
906.000,253.000,281.0,47.0,S
907.000,258.000,286.0,46.0,S
901.000,263.000,275.0,55.0,S
909.000,264.000,254.0,72.0,S
906.000,265.000,262.0,57.0,S
909.000,267.000,295.0,20.0,S
905.000,267.000,249.0,70.0,S
901.000,269.000,240.0,28.0,S
904.000,270.000,260.0,60.0,S
909.000,271.000,266.0,65.0,S
906.000,275.000,265.0,66.0,S
903.000,276.000,259.0,66.0,S
909.000,279.000,245.0,69.0,S
905.000,279.000,241.0,74.0,S
901.000,282.000,239.0,46.0,S
900.000,284.000,268.0,47.0,S
901.000,295.000,270.0,84.0,S
908.000,296.000,266.0,75.0,S
916.000,153.000,325.0,24.0,S
919.000,156.000,235.0,10.0,S
919.000,158.000,323.0,24.0,S
912.000,158.000,272.0,25.0,S
911.000,159.000,325.0,30.0,S
918.000,161.000,265.0,12.0,S
914.000,162.000,6.0,12.0,S
911.000,164.000,14.0,12.0,S
918.000,165.000,312.0,8.0,S
914.000,166.000,326.0,21.0,S
911.000,167.000,10.0,16.0,S
917.000,168.000,332.0,24.0,S
913.000,169.000,180.0,11.0,S
913.000,171.000,339.0,15.0,S
916.000,171.000,331.0,19.0,S
912.000,172.000,36.0,14.0,S
919.000,181.000,6.0,20.0,S
913.000,182.000,6.0,16.0,S
915.000,185.000,329.0,23.0,S
912.000,185.000,351.0,27.0,S
919.000,186.000,352.0,20.0,S
914.000,189.000,356.0,14.0,S
919.000,192.000,40.0,14.0,S
914.000,196.000,11.0,20.0,S
915.000,199.000,305.0,40.0,S
916.000,205.000,67.0,38.0,S
919.000,206.000,315.0,19.0,S
912.000,206.000,49.0,23.0,S
910.000,206.000,76.0,58.0,S
911.000,208.000,323.0,10.0,S
917.000,211.000,343.0,25.0,S
914.000,212.000,59.0,44.0,S
910.000,214.000,300.0,23.0,S
912.000,217.000,277.0,30.0,S
915.000,218.000,325.0,21.0,S
919.000,219.000,272.0,70.0,S
910.000,219.000,57.0,38.0,S
913.000,221.000,308.0,28.0,S
919.000,230.000,305.0,38.0,S
912.000,231.000,286.0,14.0,S
915.000,234.000,323.0,25.0,S
917.000,239.000,269.0,60.0,S
