//
// 286 fracture orientations from San Manual (porphry copper) mine, Arizona.
//
// Shanley, R.J., Mahtab, M.A., 1975, FRACTAN: a computer code for analysis of clusters 
// defined on the unit hemisphere. United States Bureau of Mines Circular 8671.
//
// Note: Data as presented on their equal-area plots, e.g., page 38, is rotated 180 
// degrees about a vertical axis from the data listed as "AZIMUTH OF THE DIP AND DIP".
//
Dip Dir,Dip
188,83
255,50
255,65
345,87
255,87
325,86
342,85
270,57
242,70
62,83
127,23
355,80
232,82
240,85
75,80
7,90
60,37
62,26
202,75
15,90
83,42
250,87
360,77
244,81
275,35
245,79
314,88
258,87
357,74
9,56
352,80
265,73
30,80
240,77
136,87
218,45
274,87
225,67
355,90
230,55
248,70
343,85
235,53
50,90
249,30
45,87
356,85
244,58
244,65
248,82
58,87
356,87
230,86
266,84
252,86
255,82
240,55
12,86
229,64
232,60
327,90
210,80
255,77
218,78
216,33
8,70
84,80
175,87
345,87
232,82
234,82
247,32
28,58
53,87
350,83
105,32
360,88
37,85
57,24
167,86
6,70
24,87
345,88
240,87
360,70
330,84
217,47
260,20
162,88
77,18
327,80
132,6
220,86
343,60
30,34
150,87
230,85
41,87
350,86
250,77
228,60
13, 90
210,47
255,68
247,78
161,70
220,65
177,46
147,85
342,88
251,78
355,75
153,16
355,84
214,18
57,87
163,85
45,83
85,80
180,0
110,82
28,90
7,15
140,67
50,90
342,80
216,43
190,7
10,64
237,87
345,85
70,20
16,34
13,82
247,75
314,90
65,80
354,75
33,20
81,32
8,47
143,87
240,85
67,87
15,67
126,31
250,87
346,86
243,88
81,13
251,86
182,86
25,21
245,78
338,80
20,25
325,20
44,90
326,90
264,80
133,35
302,78
181,40
111,19
186,83
86,86
90,65
36,88
155,80
276,82
158,22
168,46
357,78
149,60
291,80
13,85
199,43
332,82
331,80
346,70
176,43
287,90
154,40
280,90
257,86
354,75
129,26
116,86
115,25
121,20
105,80
257,80
167,30
217,65
341,70
360,70
85,12
315,90
296,90
336,82
270,74
119,32
205,36
344,74
10,90
118,37
270,88
126,20
14,87
106,44
109,85
193,65
77,58
101,80
141,86
167,57
93,86
328,80
341,90
177,38
314,70
286,90
133,20
351,75
157,34
358,87
270,90
230,50
147,70
145,25
353,70
270,73
84,75
327,83
297,80
97,28
308,27
233,60
337,70
292,57
344,70
266,65
244,70
291,45
268,65
10,68
328,90
337,70
270,54
355,60
254,25
350,65
281,60
267,22
147,85
270,85
150,83
247,63
328,60
286,42
347,62
353,85
285,75
334,66
277,66
192,77
333,67
276,54
346,79
73,83
297,65
356,74
328,78
313,58
304,70
13,63
263,63
297,55
74,90
279,75
301,52
334,72
83,82
340,65
304,53
350,90
