"// "
"// Example data file for Orient 3 (Vollmer, 2015)","","",""
"// ","","",""
// Magnetic Remanence Data,,,
"// 107 Measurements of magnetic remanence from specimens of Precambrian volcanics ","","",""
"// (Schmidt and Embleton, 1985 in Fisher, et al., 1987, Appendix B6 p. 285).","","",""
"// ","","",""
"// Fisher, N.I., Lewis, T.I., and Embleton, B.J.J., 1987, Statistical Analysis of ","","",""
"// Spherical Data: Cambridge University Press, 329 p.","","",""
"// ","","",""
// -------------------------------------------------------------------------------------,,,
ID,Trend,Plunge,Type
1,319.1,30.7,MR
2,347.4,-49.2,MR
3,344.5,-37.3,MR
4,313.6,-11.4,MR
5,177.0,31.3,MR
6,3.0,-31.3,MR
7,308.0,4.6,MR
8,165.0,42.8,MR
9,352.6,-22.2,MR
10,307.0,8.8,MR
11,190.3,19.3,MR
12,3.6,-28.2,MR
13,306.1,-2.3,MR
14,180.2,32.4,MR
15,9.1,-29.7,MR
16,355.7,-39.3,MR
17,286.8,21.2,MR
18,207.7,19.8,MR
19,192.1,18.9,MR
20,202.3,35.8,MR
21,44.9,41.3,MR
22,23.8,-41.4,MR
23,9.3,-25.9,MR
24,18.3,-15.8,MR
25,186.2,27.3,MR
26,31.1,-0.8,MR
27,165.5,12.7,MR
28,202.3,37.2,MR
29,191.5,59.7,MR
30,297.2,-16.4,MR
31,248.7,6.3,MR
32,155.8,-57.5,MR
33,190.1,11.8,MR
34,341.3,-11.4,MR
35,346.3,-3.4,MR
36,184.6,3.0,MR
37,323.2,62.6,MR
38,210.5,62.3,MR
39,316.0,-16.3,MR
40,306.9,-19.2,MR
41,331.0,-31.0,MR
42,298.1,-12.3,MR
43,296.2,-21.7,MR
44,10.9,-14.5,MR
45,249.0,28.8,MR
46,262.3,38.2,MR
47,270.0,31.8,MR
48,338.5,-6.0,MR
49,332.2,-2.8,MR
50,222.3,3.4,MR
51,3.3,-20.6,MR
52,325.9,-5.7,MR
53,345.6,4.6,MR
54,294.4,-34.4,MR
55,358.7,-8.2,MR
56,23.8,-44.3,MR
57,20.8,-43.5,MR
58,280.5,8.7,MR
59,347.4,-47.2,MR
60,341.9,-48.3,MR
61,10.2,-17.4,MR
62,12.4,-2.7,MR
63,321.0,-17.6,MR
64,16.7,-45.5,MR
65,353.5,-22.7,MR
66,264.8,26.8,MR
67,258.5,39.1,MR
68,310.6,15.3,MR
69,281.2,-12.0,MR
70,7.0,-15.4,MR
71,342.8,23.2,MR
72,243.6,47.2,MR
73,89.4,22.5,MR
74,339.7,70.3,MR
75,359.9,71.9,MR
76,314.1,-45.1,MR
77,325.4,-24.4,MR
78,1.9,-19.6,MR
79,177.3,-7.1,MR
80,324.5,-68.3,MR
81,346.9,-58.1,MR
82,350.0,-57.5,MR
83,321.4,-1.6,MR
84,314.6,-5.7,MR
85,320.6,-22.3,MR
86,304.7,-17.3,MR
87,314.2,-22.3,MR
88,306.3,-16.5,MR
89,271.6,-18.4,MR
90,316.0,-36.7,MR
91,309.8,-20.3,MR
92,313.0,-20.5,MR
93,329.4,-32.3,MR
94,334.9,-29.3,MR
95,312.3,-15.7,MR
96,269.8,5.9,MR
97,318.2,-24.9,MR
98,0.4,-40.0,MR
99,309.0,-15.2,MR
100,310.4,-21.6,MR
101,348.0,-43.3,MR
102,291.9,41.0,MR
103,272.2,51.4,MR
104,273.0,43.9,MR
105,338.2,-25.1,MR
106,318.5,-4.7,MR
107,298.2,19.2,MR
