// Seismic data of intermediate depth earthquakes (100 to 300 km) from the 
// Tonga- Kermadec region, epicenters between 16S and 28S, and 175E and 170W. 
// This set includes both nodal planes as Domain 1 and 2.
//
// From: Global Centroid-Moment-Tensor (CMT) Project
// www.globalcmt.org 
//
// Dziewonski, A. M., T.-A. Chou and J. H. Woodhouse, Determination of earthquake source 
//    parameters from waveform data for studies of global and regional seismicity, 
//    J. Geophys. Res., 86, 2825-2852, 1981. doi:10.1029/JB086iB04p02825
// Ekström, G., M. Nettles, and A. M. Dziewonski, The global CMT project 2004-2010: 
//    Centroid-moment tensors for 13,017 earthquakes, Phys. Earth Planet. Inter., 
//    200-201, 1-9, 2012. doi:10.1016/j.pepi.2012.04.002 
//
ID	Station	Elevation	Latitude	Longitude	Strike	Dip	Rake	Weight	Type	Domain	Notes
11949	B112986A	-100.500	-16.0600000	-173.7700000	76.000000	30.000000	-112.000000	5.689	CMT	1	TONGA ISLANDS
11950	B112986A	-100.500	-16.0600000	-173.7700000	231.000000	62.000000	-78.000000	5.689	CMT	2	TONGA ISLANDS
43341	C072104E	-101.800	-23.7800000	-177.4900000	284.000000	42.000000	-129.000000	4.878	CMT	1	SOUTH OF FIJI ISLANDS
43342	C072104E	-101.800	-23.7800000	-177.4900000	57.000000	58.000000	-60.000000	4.878	CMT	2	SOUTH OF FIJI ISLANDS
69317	C201104200309A	-104.200	-20.8800000	-175.0900000	275.000000	53.000000	-3.000000	5.178	CMT	1	TONGA ISLANDS
69318	C201104200309A	-104.200	-20.8800000	-175.0900000	183.000000	87.000000	-143.000000	5.178	CMT	2	TONGA ISLANDS
89009	C201509121642A	-104.700	-25.2200000	-176.8300000	218.000000	15.000000	86.000000	5.256	CMT	1	SOUTH OF FIJI ISLANDS
89010	C201509121642A	-104.700	-25.2200000	-176.8300000	34.000000	75.000000	91.000000	5.256	CMT	2	SOUTH OF FIJI ISLANDS
13659	B123087B	-104.800	-26.9400000	-177.3400000	125.000000	30.000000	171.000000	5.357	CMT	1	SOUTH OF FIJI ISLANDS
13660	B123087B	-104.800	-26.9400000	-177.3400000	27.000000	85.000000	60.000000	5.357	CMT	2	SOUTH OF FIJI ISLANDS
76735	C201212290438A	-105.200	-26.0800000	-176.9600000	125.000000	50.000000	-140.000000	5.029	CMT	1	SOUTH OF FIJI ISLANDS
76736	C201212290438A	-105.200	-26.0800000	-176.9600000	244.000000	60.000000	-48.000000	5.029	CMT	2	SOUTH OF FIJI ISLANDS
405	B032677B	-105.200	-18.5300000	-174.1500000	110.000000	32.000000	-20.000000	5.595	CMT	1	TONGA ISLANDS
406	B032677B	-105.200	-18.5300000	-174.1500000	2.000000	79.000000	-120.000000	5.595	CMT	2	TONGA ISLANDS
12953	B071387A	-105.800	-25.9500000	-177.2300000	128.000000	20.000000	-177.000000	5.218	CMT	1	SOUTH OF FIJI ISLANDS
12954	B071387A	-105.800	-25.9500000	-177.2300000	221.000000	89.000000	-70.000000	5.218	CMT	2	SOUTH OF FIJI ISLANDS
717	C081177A	-106.000	-17.7700000	-174.1400000	106.000000	11.000000	153.000000	6.749	CMT	1	TONGA ISLANDS
718	C081177A	-106.000	-17.7700000	-174.1400000	350.000000	85.000000	80.000000	6.749	CMT	2	TONGA ISLANDS
79953	C201309281113A	-106.000	-16.5000000	-173.3700000	266.000000	41.000000	150.000000	5.536	CMT	1	TONGA ISLANDS
79954	C201309281113A	-106.000	-16.5000000	-173.3700000	152.000000	71.000000	53.000000	5.536	CMT	2	TONGA ISLANDS
89309	C201510012249A	-106.300	-16.1900000	-173.5400000	171.000000	51.000000	137.000000	5.362	CMT	1	TONGA ISLANDS
89310	C201510012249A	-106.300	-16.1900000	-173.5400000	51.000000	58.000000	48.000000	5.362	CMT	2	TONGA ISLANDS
13429	B110387A	-107.300	-17.0600000	-173.5500000	124.000000	15.000000	-27.000000	6.221	CMT	1	TONGA ISLANDS
13430	B110387A	-107.300	-17.0600000	-173.5500000	8.000000	83.000000	-103.000000	6.221	CMT	2	TONGA ISLANDS
97879	C201710011006A	-107.800	-24.7600000	-176.6700000	128.000000	16.000000	-157.000000	5.109	CMT	1	SOUTH OF FIJI ISLANDS
97880	C201710011006A	-107.800	-24.7600000	-176.6700000	241.000000	84.000000	-75.000000	5.109	CMT	2	SOUTH OF FIJI ISLANDS
74191	C201206061611A	-107.900	-27.0700000	-177.2800000	144.000000	45.000000	-162.000000	5.156	CMT	1	KERMADEC ISLANDS REGION
74192	C201206061611A	-107.900	-27.0700000	-177.2800000	248.000000	77.000000	-46.000000	5.156	CMT	2	KERMADEC ISLANDS REGION
4953	B082581A	-108.000	-22.4700000	-175.7000000	295.000000	66.000000	165.000000	5.709	CMT	1	SOUTH OF FIJI ISLANDS
4954	B082581A	-108.000	-22.4700000	-175.7000000	199.000000	76.000000	24.000000	5.709	CMT	2	SOUTH OF FIJI ISLANDS
98985	C201712271233A	-108.200	-23.7800000	-176.5500000	145.000000	14.000000	137.000000	5.124	CMT	1	SOUTH OF FIJI ISLANDS
98986	C201712271233A	-108.200	-23.7800000	-176.5500000	13.000000	80.000000	80.000000	5.124	CMT	2	SOUTH OF FIJI ISLANDS
24217	B112994A	-108.300	-21.8700000	-175.8700000	240.000000	23.000000	6.000000	5.255	CMT	1	TONGA ISLANDS REGION
24218	B112994A	-108.300	-21.8700000	-175.8700000	336.000000	88.000000	113.000000	5.255	CMT	2	TONGA ISLANDS REGION
80995	C201312281906A	-108.400	-18.1500000	-174.0000000	9.000000	6.000000	-94.000000	5.889	CMT	1	TONGA ISLANDS
80996	C201312281906A	-108.400	-18.1500000	-174.0000000	185.000000	84.000000	-90.000000	5.889	CMT	2	TONGA ISLANDS
85475	C201411271505A	-108.800	-21.3400000	-175.0600000	287.000000	7.000000	-31.000000	5.083	CMT	1	TONGA ISLANDS
85476	C201411271505A	-108.800	-21.3400000	-175.0600000	167.000000	87.000000	-96.000000	5.083	CMT	2	TONGA ISLANDS
36991	C100201B	-108.900	-16.2000000	-173.3600000	346.000000	31.000000	90.000000	6.119	CMT	1	TONGA ISLANDS
36992	C100201B	-108.900	-16.2000000	-173.3600000	166.000000	59.000000	90.000000	6.119	CMT	2	TONGA ISLANDS
11473	B072786A	-109.200	-25.9800000	-177.4200000	142.000000	42.000000	175.000000	5.869	CMT	1	SOUTH OF FIJI ISLANDS
11474	B072786A	-109.200	-25.9800000	-177.4200000	48.000000	87.000000	48.000000	5.869	CMT	2	SOUTH OF FIJI ISLANDS
50871	C200606100600A	-109.400	-20.7500000	-175.9200000	37.000000	65.000000	13.000000	5.056	CMT	1	FIJI ISLANDS REGION
50872	C200606100600A	-109.400	-20.7500000	-175.9200000	133.000000	78.000000	154.000000	5.056	CMT	2	FIJI ISLANDS REGION
88627	C201508100743A	-109.400	-19.6200000	-174.4700000	51.000000	4.000000	-141.000000	5.677	CMT	1	TONGA ISLANDS
88628	C201508100743A	-109.400	-19.6200000	-174.4700000	179.000000	87.000000	-87.000000	5.677	CMT	2	TONGA ISLANDS
87199	C201504120045A	-109.900	-18.8600000	-173.8000000	290.000000	37.000000	-166.000000	4.944	CMT	1	TONGA ISLANDS
87200	C201504120045A	-109.900	-18.8600000	-173.8000000	31.000000	82.000000	-54.000000	4.944	CMT	2	TONGA ISLANDS
90137	C201512162038A	-110.100	-19.6400000	-174.4400000	55.000000	21.000000	-168.000000	5.145	CMT	1	TONGA ISLANDS
90138	C201512162038A	-110.100	-19.6400000	-174.4400000	155.000000	86.000000	-70.000000	5.145	CMT	2	TONGA ISLANDS
70667	C201108101939A	-110.100	-16.0400000	-173.5500000	59.000000	24.000000	-96.000000	5.231	CMT	1	TONGA ISLANDS
70668	C201108101939A	-110.100	-16.0400000	-173.5500000	232.000000	67.000000	-87.000000	5.231	CMT	2	TONGA ISLANDS
15421	B020789B	-110.300	-26.5200000	-177.2200000	251.000000	39.000000	-169.000000	5.431	CMT	1	KERMADEC ISLANDS REGION
15422	B020789B	-110.300	-26.5200000	-177.2200000	349.000000	83.000000	-52.000000	5.431	CMT	2	KERMADEC ISLANDS REGION
97809	C201709260420A	-110.700	-23.7900000	-176.4700000	118.000000	15.000000	173.000000	6.460	CMT	1	SOUTH OF FIJI ISLANDS
97810	C201709260420A	-110.700	-23.7900000	-176.4700000	21.000000	88.000000	75.000000	6.460	CMT	2	SOUTH OF FIJI ISLANDS
34949	B091400C	-111.100	-21.9600000	-175.5600000	33.000000	37.000000	-161.000000	5.480	CMT	1	SOUTH OF FIJI ISLANDS
34950	B091400C	-111.100	-21.9600000	-175.5600000	138.000000	79.000000	-54.000000	5.480	CMT	2	SOUTH OF FIJI ISLANDS
46023	C200503042135A	-111.400	-22.6500000	-176.0000000	340.000000	36.000000	-61.000000	5.185	CMT	1	SOUTH OF FIJI ISLANDS
46024	C200503042135A	-111.400	-22.6500000	-176.0000000	194.000000	59.000000	-109.000000	5.185	CMT	2	SOUTH OF FIJI ISLANDS
97043	C201707210915A	-111.500	-16.3500000	-173.4400000	348.000000	67.000000	9.000000	5.164	CMT	1	TONGA ISLANDS
97044	C201707210915A	-111.500	-16.3500000	-173.4400000	82.000000	81.000000	156.000000	5.164	CMT	2	TONGA ISLANDS
68233	C201102121757A	-111.600	-20.9300000	-175.1900000	272.000000	57.000000	35.000000	6.144	CMT	1	TONGA ISLANDS
68234	C201102121757A	-111.600	-20.9300000	-175.1900000	23.000000	61.000000	141.000000	6.144	CMT	2	TONGA ISLANDS
50257	C200604242115A	-112.000	-16.1500000	-173.1400000	323.000000	27.000000	110.000000	5.114	CMT	1	TONGA ISLANDS
50258	C200604242115A	-112.000	-16.1500000	-173.1400000	164.000000	65.000000	80.000000	5.114	CMT	2	TONGA ISLANDS
23029	B030294B	-112.300	-19.5500000	-174.4900000	281.000000	47.000000	55.000000	5.360	CMT	1	TONGA ISLANDS
23030	B030294B	-112.300	-19.5500000	-174.4900000	55.000000	53.000000	121.000000	5.360	CMT	2	TONGA ISLANDS
74841	C201208030252A	-112.400	-16.6700000	-173.7600000	292.000000	41.000000	11.000000	5.129	CMT	1	TONGA ISLANDS
74842	C201208030252A	-112.400	-16.6700000	-173.7600000	31.000000	83.000000	131.000000	5.129	CMT	2	TONGA ISLANDS
94567	C201612180224A	-113.100	-22.9200000	-175.8700000	304.000000	43.000000	-15.000000	5.169	CMT	1	TONGA ISLANDS REGION
94568	C201612180224A	-113.100	-22.9200000	-175.8700000	203.000000	80.000000	-132.000000	5.169	CMT	2	TONGA ISLANDS REGION
5863	C061182A	-113.200	-17.4000000	-174.0900000	237.000000	16.000000	38.000000	6.837	CMT	1	TONGA ISLANDS
5864	C061182A	-113.200	-17.4000000	-174.0900000	4.000000	80.000000	103.000000	6.837	CMT	2	TONGA ISLANDS
5713	B042982A	-114.000	-24.7300000	-177.3700000	148.000000	19.000000	167.000000	5.359	CMT	1	SOUTH OF FIJI ISLANDS
5714	B042982A	-114.000	-24.7300000	-177.3700000	46.000000	86.000000	71.000000	5.359	CMT	2	SOUTH OF FIJI ISLANDS
25355	B062395B	-114.100	-24.7700000	-176.8900000	142.000000	21.000000	170.000000	5.806	CMT	1	SOUTH OF FIJI ISLANDS
