"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
-94.3,17.0,EQ,
126.3,7.8,EQ,
48.5,32.7,EQ,
-79.2,2.1,EQ,
21.8,-53.0,EQ,
128.1,29.2,EQ,
149.2,44.2,EQ,
-79.2,2.2,EQ,
126.5,3.0,EQ,
150.7,-5.3,EQ,
160.4,-9.8,EQ,
179.0,-34.5,EQ,
-26.8,-55.6,EQ,
-173.3,-15.4,EQ,
161.4,54.4,EQ,
56.5,28.2,EQ,
170.0,-21.9,EQ,
138.3,32.9,EQ,
-79.3,2.0,EQ,
-79.2,2.0,EQ,
166.6,-11.8,EQ,
-177.9,-21.0,EQ,
-70.6,-23.8,EQ,
-114.1,-49.9,EQ,
121.2,19.2,EQ,
139.7,28.2,EQ,
-178.8,-18.1,EQ,
-174.0,-15.0,EQ,
-61.5,16.8,EQ,
122.0,19.5,EQ,
-127.6,-55.4,EQ,
71.4,36.4,EQ,
142.4,28.1,EQ,
142.0,38.7,EQ,
98.1,2.1,EQ,
161.4,-10.4,EQ,
-178.0,-30.2,EQ,
153.0,45.9,EQ,
140.9,-5.1,EQ,
-166.8,52.8,EQ,
154.1,47.1,EQ,
149.0,-3.5,EQ,
150.6,46.8,EQ,
-71.5,-18.0,EQ,
131.0,30.7,EQ,
-174.2,-21.2,EQ,
1.6,36.4,EQ,
149.3,46.1,EQ,
-116.0,37.1,EQ,
15.4,40.9,EQ,
102.9,-5.4,EQ,
147.5,-6.8,EQ,
142.1,29.2,EQ,
126.9,7.5,EQ,
145.5,-5.7,EQ,
-55.4,-61.1,EQ,
143.0,38.5,EQ,
143.0,38.5,EQ,
143.1,38.5,EQ,
-55.6,-60.9,EQ,
142.9,38.5,EQ,
142.8,38.6,EQ,
142.8,38.6,EQ,
142.8,38.7,EQ,
142.5,38.8,EQ,
142.9,38.6,EQ,
124.8,-8.5,EQ,
143.0,38.7,EQ,
142.8,38.4,EQ,
139.2,-4.6,EQ,
139.4,-4.7,EQ,
139.4,-4.7,EQ,
139.4,-4.5,EQ,
146.1,-3.5,EQ,
146.0,-3.4,EQ,
-175.1,-15.8,EQ,
-172.5,-16.0,EQ,
139.3,-4.6,EQ,
38.5,38.1,EQ,
-73.2,-38.3,EQ,
-73.0,-38.2,EQ,
-68.4,-22.8,EQ,
124.5,2.2,EQ,
139.4,-4.7,EQ,
140.2,40.2,EQ,
-74.2,-10.5,EQ,
-27.0,-59.3,EQ,
-177.6,-31.0,EQ,
126.0,2.5,EQ,
143.1,38.6,EQ,
142.7,38.2,EQ,
-70.5,-14.6,EQ,
125.6,5.5,EQ,
142.1,42.5,EQ,
142.8,38.1,EQ,
46.2,-40.1,EQ,
-26.1,-56.0,EQ,
101.1,30.9,EQ,
60.8,-29.7,EQ,
142.7,-3.2,EQ,
102.9,-5.4,EQ,
125.9,2.8,EQ,
-75.5,-10.2,EQ,
127.7,-8.4,EQ,
-86.3,11.4,EQ,
-72.2,-33.9,EQ,
130.2,-6.6,EQ,
-68.0,-23.0,EQ,
146.6,-6.3,EQ,
127.6,-7.6,EQ,
139.7,36.2,EQ,
-174.2,-22.6,EQ,
126.7,1.9,EQ,
-178.7,-17.9,EQ,
158.0,-54.6,EQ,
121.9,24.5,EQ,
146.7,43.4,EQ,
-180.0,-32.2,EQ,
145.4,13.1,EQ,
-27.4,-56.0,EQ,
129.8,32.4,EQ,
-27.2,-56.1,EQ,
176.3,51.7,EQ,
176.0,51.7,EQ,
110.2,-5.6,EQ,
176.1,51.6,EQ,
136.2,-2.9,EQ,
166.4,-11.9,EQ,
119.2,14.3,EQ,
134.7,-3.2,EQ,
-179.5,-30.6,EQ,
-177.7,-26.9,EQ,
126.4,9.7,EQ,
145.9,21.3,EQ,
147.9,-6.3,EQ,
117.3,-11.1,EQ,
126.2,5.5,EQ,
176.8,51.3,EQ,
1.7,36.4,EQ,
-27.2,-56.4,EQ,
162.4,53.0,EQ,
63.9,3.8,EQ,
73.1,37.6,EQ,
-163.5,52.8,EQ,
176.6,51.3,EQ,
-176.3,50.2,EQ,
116.9,-11.5,EQ,
108.0,-10.7,EQ,
-177.9,-20.4,EQ,
-173.3,-15.4,EQ,
-178.9,-21.1,EQ,
146.4,48.3,EQ,
-24.2,-56.3,EQ,
127.1,22.1,EQ,
180.0,-23.6,EQ,
128.0,-2.9,EQ,
166.0,55.0,EQ,
165.9,55.0,EQ,
89.8,27.0,EQ,
129.9,-6.8,EQ,
165.9,55.0,EQ,
143.3,42.8,EQ,
87.0,36.2,EQ,
165.8,55.0,EQ,
165.9,55.0,EQ,
123.4,23.9,EQ,
97.2,4.0,EQ,
-26.7,38.5,EQ,
167.1,-11.3,EQ,
139.3,-4.5,EQ,
126.6,9.6,EQ,
126.4,9.5,EQ,
126.6,9.6,EQ,
139.4,-4.6,EQ,
-74.5,-15.6,EQ,
-96.3,16.1,EQ,
125.8,2.6,EQ,
-88.5,12.4,EQ,
-122.2,46.4,EQ,
128.1,3.3,EQ,
1.3,35.9,EQ,
66.5,-20.1,EQ,
-171.5,51.0,EQ,
-69.0,18.5,EQ,
-174.9,-16.1,EQ,
169.2,-19.2,EQ,
-13.0,-11.4,EQ,
-16.3,-40.6,EQ,
-74.5,-13.1,EQ,
158.3,48.8,EQ,
169.4,-21.7,EQ,
39.5,-23.1,EQ,
130.2,29.3,EQ,
169.3,-21.2,EQ,
169.2,-21.4,EQ,
-174.9,-18.0,EQ,
169.5,-21.5,EQ,
-178.2,-18.2,EQ,
130.0,-5.7,EQ,
149.3,44.6,EQ,
-175.1,-23.1,EQ,
178.2,52.0,EQ,
-178.9,-33.3,EQ,
169.3,-21.3,EQ,
-175.6,-19.8,EQ,
149.4,44.5,EQ,
130.5,-6.8,EQ,
121.4,22.9,EQ,
154.9,-61.7,EQ,
140.5,36.4,EQ,
174.8,-22.2,EQ,
46.0,41.8,EQ,
143.3,39.1,EQ,
166.6,-13.8,EQ,
169.2,-21.4,EQ,
129.4,28.3,EQ,
-178.6,-20.9,EQ,
148.7,-6.1,EQ,
142.9,38.5,EQ,
169.2,-21.5,EQ,
155.0,48.3,EQ,
22.9,38.2,EQ,
23.1,38.1,EQ,
143.1,38.3,EQ,
140.3,11.3,EQ,
130.8,28.3,EQ,
149.0,-6.2,EQ,
169.4,-21.3,EQ,
-173.3,-15.5,EQ,
169.3,-21.3,EQ,
156.2,49.8,EQ,
166.5,-13.9,EQ,
166.6,-12.4,EQ,
-38.1,8.2,EQ,
176.4,51.8,EQ,
166.5,-10.6,EQ,
139.4,-4.5,EQ,
-174.1,-21.2,EQ,
-81.4,-6.4,EQ,
-104.0,-3.9,EQ,
-173.2,-16.6,EQ,
107.7,-9.5,EQ,
