"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
"// "
"// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate "
"// science education through climate modeling research projects. In Proceedings of the "
"// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on "
"// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu"
"// "
"// Note: This file contains NaN (Not a Number) values for latitude and longitude to "
"// indicate the end of a polygon. The original file used a single ""999"" value instead."
"// A type ""CO"" is assigned, and a comment column contains the polygon name."
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
180.0,-83.8,CO,CO-01(AN)
176.0,-83.5,CO,CO-01(AN)
171.5,-83.5,CO,CO-01(AN)
168.5,-83.3,CO,CO-01(AN)
166.0,-82.8,CO,CO-01(AN)
164.0,-82.4,CO,CO-01(AN)
162.3,-81.9,CO,CO-01(AN)
161.0,-81.5,CO,CO-01(AN)
160.3,-81.0,CO,CO-01(AN)
160.3,-80.5,CO,CO-01(AN)
160.0,-80.0,CO,CO-01(AN)
160.0,-79.7,CO,CO-01(AN)
160.0,-79.2,CO,CO-01(AN)
161.5,-78.7,CO,CO-01(AN)
164.0,-78.5,CO,CO-01(AN)
166.0,-78.4,CO,CO-01(AN)
164.7,-78.0,CO,CO-01(AN)
163.7,-77.8,CO,CO-01(AN)
163.7,-77.3,CO,CO-01(AN)
163.3,-76.9,CO,CO-01(AN)
163.0,-76.5,CO,CO-01(AN)
162.7,-76.1,CO,CO-01(AN)
162.7,-75.7,CO,CO-01(AN)
163.0,-75.2,CO,CO-01(AN)
164.3,-74.8,CO,CO-01(AN)
165.3,-74.5,CO,CO-01(AN)
165.3,-74.2,CO,CO-01(AN)
166.7,-74.1,CO,CO-01(AN)
167.0,-73.7,CO,CO-01(AN)
167.0,-73.3,CO,CO-01(AN)
168.5,-73.2,CO,CO-01(AN)
169.7,-72.8,CO,CO-01(AN)
170.5,-72.5,CO,CO-01(AN)
170.2,-72.0,CO,CO-01(AN)
171.0,-71.8,CO,CO-01(AN)
170.2,-71.2,CO,CO-01(AN)
170.0,-71.5,CO,CO-01(AN)
168.7,-71.2,CO,CO-01(AN)
167.3,-70.8,CO,CO-01(AN)
166.0,-70.5,CO,CO-01(AN)
164.7,-70.6,CO,CO-01(AN)
163.2,-70.6,CO,CO-01(AN)
163.3,-70.1,CO,CO-01(AN)
162.3,-70.2,CO,CO-01(AN)
162.2,-70.6,CO,CO-01(AN)
161.7,-70.8,CO,CO-01(AN)
161.2,-70.5,CO,CO-01(AN)
161.0,-70.1,CO,CO-01(AN)
161.0,-69.7,CO,CO-01(AN)
160.0,-69.5,CO,CO-01(AN)
158.7,-69.3,CO,CO-01(AN)
157.5,-69.1,CO,CO-01(AN)
156.5,-69.0,CO,CO-01(AN)
156.0,-69.3,CO,CO-01(AN)
155.0,-69.1,CO,CO-01(AN)
154.3,-68.6,CO,CO-01(AN)
152.7,-68.6,CO,CO-01(AN)
151.5,-68.7,CO,CO-01(AN)
151.0,-68.3,CO,CO-01(AN)
150.3,-68.5,CO,CO-01(AN)
149.0,-68.3,CO,CO-01(AN)
148.3,-68.4,CO,CO-01(AN)
147.0,-68.3,CO,CO-01(AN)
146.8,-67.8,CO,CO-01(AN)
146.0,-67.5,CO,CO-01(AN)
145.0,-67.6,CO,CO-01(AN)
144.3,-67.5,CO,CO-01(AN)
144.3,-67.0,CO,CO-01(AN)
143.3,-66.8,CO,CO-01(AN)
142.5,-67.0,CO,CO-01(AN)
142.0,-66.8,CO,CO-01(AN)
140.5,-66.7,CO,CO-01(AN)
139.3,-66.6,CO,CO-01(AN)
138.3,-66.5,CO,CO-01(AN)
137.3,-66.3,CO,CO-01(AN)
136.3,-66.3,CO,CO-01(AN)
135.3,-66.1,CO,CO-01(AN)
134.3,-66.2,CO,CO-01(AN)
133.3,-66.1,CO,CO-01(AN)
132.0,-66.2,CO,CO-01(AN)
130.8,-66.1,CO,CO-01(AN)
130.0,-66.3,CO,CO-01(AN)
130.0,-66.9,CO,CO-01(AN)
129.5,-67.2,CO,CO-01(AN)
129.0,-67.0,CO,CO-01(AN)
128.3,-66.9,CO,CO-01(AN)
127.7,-66.5,CO,CO-01(AN)
127.0,-66.3,CO,CO-01(AN)
126.5,-66.3,CO,CO-01(AN)
125.8,-66.6,CO,CO-01(AN)
124.8,-66.5,CO,CO-01(AN)
124.3,-66.8,CO,CO-01(AN)
123.3,-66.8,CO,CO-01(AN)
122.5,-66.4,CO,CO-01(AN)
121.5,-66.7,CO,CO-01(AN)
120.3,-66.8,CO,CO-01(AN)
119.0,-66.8,CO,CO-01(AN)
117.7,-66.8,CO,CO-01(AN)
116.5,-66.5,CO,CO-01(AN)
115.5,-66.3,CO,CO-01(AN)
114.5,-66.0,CO,CO-01(AN)
113.7,-65.8,CO,CO-01(AN)
112.7,-65.8,CO,CO-01(AN)
111.7,-65.9,CO,CO-01(AN)
110.7,-66.1,CO,CO-01(AN)
110.7,-66.4,CO,CO-01(AN)
110.3,-66.7,CO,CO-01(AN)
109.5,-66.6,CO,CO-01(AN)
109.0,-66.8,CO,CO-01(AN)
108.0,-66.6,CO,CO-01(AN)
107.0,-66.5,CO,CO-01(AN)
106.0,-66.3,CO,CO-01(AN)
105.0,-66.1,CO,CO-01(AN)
104.0,-65.9,CO,CO-01(AN)
102.7,-65.8,CO,CO-01(AN)
101.5,-66.1,CO,CO-01(AN)
100.7,-66.4,CO,CO-01(AN)
100.0,-66.4,CO,CO-01(AN)
99.3,-66.6,CO,CO-01(AN)
98.5,-66.5,CO,CO-01(AN)
97.7,-66.7,CO,CO-01(AN)
97.0,-66.5,CO,CO-01(AN)
96.0,-66.7,CO,CO-01(AN)
95.0,-66.5,CO,CO-01(AN)
94.0,-66.6,CO,CO-01(AN)
93.0,-66.6,CO,CO-01(AN)
92.0,-66.5,CO,CO-01(AN)
91.0,-66.7,CO,CO-01(AN)
89.7,-66.8,CO,CO-01(AN)
88.5,-66.8,CO,CO-01(AN)
87.7,-66.7,CO,CO-01(AN)
86.3,-66.8,CO,CO-01(AN)
85.0,-67.0,CO,CO-01(AN)
83.7,-67.2,CO,CO-01(AN)
82.5,-67.3,CO,CO-01(AN)
81.7,-67.8,CO,CO-01(AN)
80.5,-68.0,CO,CO-01(AN)
79.0,-68.3,CO,CO-01(AN)
78.3,-68.5,CO,CO-01(AN)
78.0,-69.1,CO,CO-01(AN)
77.2,-69.2,CO,CO-01(AN)
76.2,-69.5,CO,CO-01(AN)
75.5,-69.8,CO,CO-01(AN)
74.5,-69.7,CO,CO-01(AN)
73.5,-69.6,CO,CO-01(AN)
72.3,-69.7,CO,CO-01(AN)
71.0,-70.1,CO,CO-01(AN)
71.7,-70.4,CO,CO-01(AN)
70.7,-70.5,CO,CO-01(AN)
69.8,-70.1,CO,CO-01(AN)
69.8,-69.6,CO,CO-01(AN)
69.5,-69.2,CO,CO-01(AN)
70.5,-69.0,CO,CO-01(AN)
70.0,-68.6,CO,CO-01(AN)
69.5,-68.2,CO,CO-01(AN)
69.5,-67.7,CO,CO-01(AN)
68.7,-67.8,CO,CO-01(AN)
67.7,-67.8,CO,CO-01(AN)
66.3,-67.8,CO,CO-01(AN)
65.0,-67.6,CO,CO-01(AN)
63.7,-67.5,CO,CO-01(AN)
62.7,-67.7,CO,CO-01(AN)
61.7,-67.6,CO,CO-01(AN)
60.7,-67.3,CO,CO-01(AN)
59.3,-67.5,CO,CO-01(AN)
59.0,-67.2,CO,CO-01(AN)
58.0,-67.0,CO,CO-01(AN)
57.0,-66.9,CO,CO-01(AN)
56.3,-66.8,CO,CO-01(AN)
57.2,-66.7,CO,CO-01(AN)
57.2,-66.4,CO,CO-01(AN)
56.0,-66.3,CO,CO-01(AN)
55.2,-65.9,CO,CO-01(AN)
53.7,-65.8,CO,CO-01(AN)
52.2,-65.9,CO,CO-01(AN)
51.5,-66.3,CO,CO-01(AN)
50.5,-66.5,CO,CO-01(AN)
50.2,-67.0,CO,CO-01(AN)
50.5,-67.6,CO,CO-01(AN)
49.8,-67.8,CO,CO-01(AN)
49.3,-67.4,CO,CO-01(AN)
48.5,-67.4,CO,CO-01(AN)
48.2,-67.7,CO,CO-01(AN)
47.0,-67.6,CO,CO-01(AN)
46.0,-67.8,CO,CO-01(AN)
44.5,-67.8,CO,CO-01(AN)
43.3,-67.8,CO,CO-01(AN)
42.0,-68.2,CO,CO-01(AN)
41.3,-68.5,CO,CO-01(AN)
40.0,-68.8,CO,CO-01(AN)
39.8,-69.2,CO,CO-01(AN)
39.8,-69.5,CO,CO-01(AN)
39.3,-69.7,CO,CO-01(AN)
38.7,-70.1,CO,CO-01(AN)
38.3,-69.6,CO,CO-01(AN)
37.0,-69.5,CO,CO-01(AN)
36.0,-69.3,CO,CO-01(AN)
35.0,-68.9,CO,CO-01(AN)
34.3,-68.6,CO,CO-01(AN)
33.5,-68.7,CO,CO-01(AN)
33.3,-69.0,CO,CO-01(AN)
33.5,-69.5,CO,CO-01(AN)
32.0,-69.5,CO,CO-01(AN)
31.3,-69.6,CO,CO-01(AN)
30.0,-69.8,CO,CO-01(AN)
28.3,-69.9,CO,CO-01(AN)
27.0,-70.2,CO,CO-01(AN)
25.3,-70.2,CO,CO-01(AN)
24.7,-70.4,CO,CO-01(AN)
23.0,-70.6,CO,CO-01(AN)
21.5,-70.4,CO,CO-01(AN)
20.0,-70.3,CO,CO-01(AN)
18.3,-70.2,CO,CO-01(AN)
17.0,-70.2,CO,CO-01(AN)
15.7,-70.2,CO,CO-01(AN)
14.3,-70.2,CO,CO-01(AN)
12.7,-70.1,CO,CO-01(AN)
11.3,-70.1,CO,CO-01(AN)
10.0,-70.2,CO,CO-01(AN)
8.7,-70.1,CO,CO-01(AN)
7.3,-70.1,CO,CO-01(AN)
6.3,-70.3,CO,CO-01(AN)
4.7,-70.3,CO,CO-01(AN)
3.5,-70.6,CO,CO-01(AN)
2.7,-70.9,CO,CO-01(AN)
1.3,-71.3,CO,CO-01(AN)
0.0,-71.5,CO,CO-01(AN)
-0.7,-71.3,CO,CO-01(AN)
-1.5,-71.0,CO,CO-01(AN)
-1.0,-70.7,CO,CO-01(AN)
-1.7,-70.4,CO,CO-01(AN)
-2.5,-70.3,CO,CO-01(AN)
-3.3,-70.4,CO,CO-01(AN)
-3.0,-70.7,CO,CO-01(AN)
-3.0,-71.3,CO,CO-01(AN)
-4.5,-71.3,CO,CO-01(AN)
