//
// Example data file for Orient 3 (Vollmer, 2015)
// Latitude and longitude formated as spherical projection data
//
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
//
// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate 
// science education through climate modeling research projects. In Proceedings of the 
// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on 
// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu
//
// Note: This file contains NaN (Not a Number) values for latitude and longitude to 
// indicate the end of a polygon. The original file used a single "999" value instead.
// A type "CO" is assigned, and a comment column contains the polygon name.
//
// -------------------------------------------------------------------------------------
Lat Sphere	Long Sphere	Type	Comment
-83.83	180.00	CO	CO-01(AN)
-83.50	176.00	CO	CO-01(AN)
-83.50	171.50	CO	CO-01(AN)
-83.25	168.50	CO	CO-01(AN)
-82.83	166.00	CO	CO-01(AN)
-82.42	164.00	CO	CO-01(AN)
-81.92	162.33	CO	CO-01(AN)
-81.50	161.00	CO	CO-01(AN)
-81.00	160.33	CO	CO-01(AN)
-80.50	160.33	CO	CO-01(AN)
-80.00	160.00	CO	CO-01(AN)
-79.67	160.00	CO	CO-01(AN)
-79.17	160.00	CO	CO-01(AN)
-78.75	161.50	CO	CO-01(AN)
-78.50	164.00	CO	CO-01(AN)
-78.42	166.00	CO	CO-01(AN)
-78.00	164.67	CO	CO-01(AN)
-77.75	163.67	CO	CO-01(AN)
-77.33	163.67	CO	CO-01(AN)
-76.92	163.33	CO	CO-01(AN)
-76.50	163.00	CO	CO-01(AN)
-76.08	162.67	CO	CO-01(AN)
-75.67	162.67	CO	CO-01(AN)
-75.17	163.00	CO	CO-01(AN)
-74.83	164.33	CO	CO-01(AN)
-74.50	165.33	CO	CO-01(AN)
-74.17	165.33	CO	CO-01(AN)
-74.08	166.67	CO	CO-01(AN)
-73.67	167.00	CO	CO-01(AN)
-73.25	167.00	CO	CO-01(AN)
-73.17	168.50	CO	CO-01(AN)
-72.83	169.67	CO	CO-01(AN)
-72.50	170.50	CO	CO-01(AN)
-72.00	170.17	CO	CO-01(AN)
-71.75	171.00	CO	CO-01(AN)
-71.17	170.17	CO	CO-01(AN)
-71.50	170.00	CO	CO-01(AN)
-71.17	168.67	CO	CO-01(AN)
-70.83	167.33	CO	CO-01(AN)
-70.50	166.00	CO	CO-01(AN)
-70.58	164.67	CO	CO-01(AN)
-70.58	163.17	CO	CO-01(AN)
-70.08	163.33	CO	CO-01(AN)
-70.17	162.33	CO	CO-01(AN)
-70.58	162.17	CO	CO-01(AN)
-70.83	161.67	CO	CO-01(AN)
-70.50	161.17	CO	CO-01(AN)
-70.08	161.00	CO	CO-01(AN)
-69.67	161.00	CO	CO-01(AN)
-69.50	160.00	CO	CO-01(AN)
-69.25	158.67	CO	CO-01(AN)
-69.08	157.50	CO	CO-01(AN)
-69.00	156.50	CO	CO-01(AN)
-69.33	156.00	CO	CO-01(AN)
-69.08	155.00	CO	CO-01(AN)
-68.58	154.33	CO	CO-01(AN)
-68.58	152.67	CO	CO-01(AN)
-68.67	151.50	CO	CO-01(AN)
-68.33	151.00	CO	CO-01(AN)
-68.50	150.33	CO	CO-01(AN)
-68.25	149.00	CO	CO-01(AN)
-68.42	148.33	CO	CO-01(AN)
-68.25	147.00	CO	CO-01(AN)
-67.83	146.83	CO	CO-01(AN)
-67.50	146.00	CO	CO-01(AN)
-67.58	145.00	CO	CO-01(AN)
-67.50	144.33	CO	CO-01(AN)
-67.00	144.33	CO	CO-01(AN)
-66.83	143.33	CO	CO-01(AN)
-67.00	142.50	CO	CO-01(AN)
-66.75	142.00	CO	CO-01(AN)
-66.67	140.50	CO	CO-01(AN)
-66.58	139.33	CO	CO-01(AN)
-66.50	138.33	CO	CO-01(AN)
-66.33	137.33	CO	CO-01(AN)
-66.33	136.33	CO	CO-01(AN)
-66.08	135.33	CO	CO-01(AN)
-66.17	134.33	CO	CO-01(AN)
-66.08	133.33	CO	CO-01(AN)
-66.17	132.00	CO	CO-01(AN)
-66.08	130.83	CO	CO-01(AN)
-66.33	130.00	CO	CO-01(AN)
-66.92	130.00	CO	CO-01(AN)
-67.17	129.50	CO	CO-01(AN)
-67.00	129.00	CO	CO-01(AN)
-66.92	128.33	CO	CO-01(AN)
-66.50	127.67	CO	CO-01(AN)
-66.25	127.00	CO	CO-01(AN)
-66.25	126.50	CO	CO-01(AN)
-66.58	125.83	CO	CO-01(AN)
-66.50	124.83	CO	CO-01(AN)
-66.75	124.33	CO	CO-01(AN)
-66.75	123.33	CO	CO-01(AN)
-66.42	122.50	CO	CO-01(AN)
-66.67	121.50	CO	CO-01(AN)
-66.83	120.33	CO	CO-01(AN)
-66.83	119.00	CO	CO-01(AN)
-66.75	117.67	CO	CO-01(AN)
-66.50	116.50	CO	CO-01(AN)
-66.33	115.50	CO	CO-01(AN)
-66.00	114.50	CO	CO-01(AN)
-65.75	113.67	CO	CO-01(AN)
-65.83	112.67	CO	CO-01(AN)
-65.92	111.67	CO	CO-01(AN)
-66.08	110.67	CO	CO-01(AN)
-66.42	110.67	CO	CO-01(AN)
-66.67	110.33	CO	CO-01(AN)
-66.58	109.50	CO	CO-01(AN)
-66.83	109.00	CO	CO-01(AN)
-66.58	108.00	CO	CO-01(AN)
-66.50	107.00	CO	CO-01(AN)
-66.25	106.00	CO	CO-01(AN)
-66.08	105.00	CO	CO-01(AN)
-65.92	104.00	CO	CO-01(AN)
-65.83	102.67	CO	CO-01(AN)
-66.08	101.50	CO	CO-01(AN)
-66.42	100.67	CO	CO-01(AN)
-66.42	100.00	CO	CO-01(AN)
-66.58	99.33	CO	CO-01(AN)
-66.50	98.50	CO	CO-01(AN)
-66.67	97.67	CO	CO-01(AN)
-66.50	97.00	CO	CO-01(AN)
-66.67	96.00	CO	CO-01(AN)
-66.50	95.00	CO	CO-01(AN)
-66.58	94.00	CO	CO-01(AN)
-66.58	93.00	CO	CO-01(AN)
-66.50	92.00	CO	CO-01(AN)
-66.67	91.00	CO	CO-01(AN)
-66.75	89.67	CO	CO-01(AN)
-66.75	88.50	CO	CO-01(AN)
-66.67	87.67	CO	CO-01(AN)
-66.83	86.33	CO	CO-01(AN)
-67.00	85.00	CO	CO-01(AN)
-67.17	83.67	CO	CO-01(AN)
-67.33	82.50	CO	CO-01(AN)
-67.83	81.67	CO	CO-01(AN)
-68.00	80.50	CO	CO-01(AN)
-68.25	79.00	CO	CO-01(AN)
-68.50	78.33	CO	CO-01(AN)
-69.08	78.00	CO	CO-01(AN)
-69.17	77.17	CO	CO-01(AN)
-69.50	76.17	CO	CO-01(AN)
-69.83	75.50	CO	CO-01(AN)
-69.67	74.50	CO	CO-01(AN)
-69.58	73.50	CO	CO-01(AN)
-69.75	72.33	CO	CO-01(AN)
-70.08	71.00	CO	CO-01(AN)
-70.42	71.67	CO	CO-01(AN)
-70.50	70.67	CO	CO-01(AN)
-70.08	69.83	CO	CO-01(AN)
-69.58	69.83	CO	CO-01(AN)
-69.17	69.50	CO	CO-01(AN)
-69.00	70.50	CO	CO-01(AN)
-68.58	70.00	CO	CO-01(AN)
-68.17	69.50	CO	CO-01(AN)
-67.67	69.50	CO	CO-01(AN)
-67.83	68.67	CO	CO-01(AN)
-67.83	67.67	CO	CO-01(AN)
-67.75	66.33	CO	CO-01(AN)
-67.58	65.00	CO	CO-01(AN)
-67.50	63.67	CO	CO-01(AN)
-67.67	62.67	CO	CO-01(AN)
-67.58	61.67	CO	CO-01(AN)
-67.33	60.67	CO	CO-01(AN)
-67.50	59.33	CO	CO-01(AN)
-67.17	59.00	CO	CO-01(AN)
-67.00	58.00	CO	CO-01(AN)
-66.92	57.00	CO	CO-01(AN)
-66.75	56.33	CO	CO-01(AN)
-66.67	57.17	CO	CO-01(AN)
-66.42	57.17	CO	CO-01(AN)
-66.25	56.00	CO	CO-01(AN)
-65.92	55.17	CO	CO-01(AN)
-65.83	53.67	CO	CO-01(AN)
-65.92	52.17	CO	CO-01(AN)
-66.25	51.50	CO	CO-01(AN)
-66.50	50.50	CO	CO-01(AN)
-67.00	50.17	CO	CO-01(AN)
-67.58	50.50	CO	CO-01(AN)
-67.83	49.83	CO	CO-01(AN)
-67.42	49.33	CO	CO-01(AN)
-67.42	48.50	CO	CO-01(AN)
-67.67	48.17	CO	CO-01(AN)
-67.58	47.00	CO	CO-01(AN)
-67.75	46.00	CO	CO-01(AN)
-67.75	44.50	CO	CO-01(AN)
-67.83	43.33	CO	CO-01(AN)
-68.17	42.00	CO	CO-01(AN)
-68.50	41.33	CO	CO-01(AN)
-68.83	40.00	CO	CO-01(AN)
-69.17	39.83	CO	CO-01(AN)
-69.50	39.83	CO	CO-01(AN)
-69.67	39.33	CO	CO-01(AN)
-70.08	38.67	CO	CO-01(AN)
-69.58	38.33	CO	CO-01(AN)
-69.50	37.00	CO	CO-01(AN)
-69.33	36.00	CO	CO-01(AN)
-68.92	35.00	CO	CO-01(AN)
-68.58	34.33	CO	CO-01(AN)
-68.67	33.50	CO	CO-01(AN)
-69.00	33.33	CO	CO-01(AN)
-69.50	33.50	CO	CO-01(AN)
-69.50	32.00	CO	CO-01(AN)
-69.58	31.33	CO	CO-01(AN)
-69.83	30.00	CO	CO-01(AN)
-69.92	28.33	CO	CO-01(AN)
-70.17	27.00	CO	CO-01(AN)
-70.17	25.33	CO	CO-01(AN)
-70.42	24.67	CO	CO-01(AN)
-70.58	23.00	CO	CO-01(AN)
-70.42	21.50	CO	CO-01(AN)
-70.33	20.00	CO	CO-01(AN)
-70.17	18.33	CO	CO-01(AN)
-70.17	17.00	CO	CO-01(AN)
-70.17	15.67	CO	CO-01(AN)
-70.17	14.33	CO	CO-01(AN)
-70.08	12.67	CO	CO-01(AN)
-70.08	11.33	CO	CO-01(AN)
