% ini datanya
%  stike   dip   rake
   12   66   100
   134   34   42
   359   24   -36
   192   70   -86
   177   63   91
   107   17   57
   321   76   99
   6   46   92
   12   47   88
   26   71   123
   176   32   90
   127   21   30
   17   54   113
   3   60   89
   10   42   82
   200   48   97
   200   42   109
   195   51   177
   7   25   133
   26   54   96
   196   37   82
   14   48   116
   18   26   139
   349   59   82
   213   40   106
   213   40   106
   278   18   -128
   251   69   166
   307   37   73
   313   30   74
   149   19   28
   298   23   45
   357   37   37
   177   27   59
   175   20   79
   184   11   66
   20   43   90
   16   31   83
   353   48   50
   353   48   50
   9   39   90
   132   86   -3
   97   52   5
   141   18   37
   169   37   53
   123   48   45
   283   68   -42
   171   8   73
   9   43   83
   217   42   109
   11   42   87
   170   25   69
   20   41   101
   170   46   52
   22   49   121
   319   73   31
   206   39   96
   243   46   135
   353   53   44
   21   66   123
   188   46   104
   19   52   132
   140   40   51
   155   40   71
   161   36   59
   2   50   93
   14   62   103
   22   75   111
   346   52   77
   22   77   115
   13   63   116
   35   47   130
   14   43   95
   180   44   103
   148   33   30
   175   25   58
   270   11   166
   62   82   151
   213   37   110
   163   38   53
   225   57   146
   171   45   55
   342   64   12
   336   52   59
   164   47   47
   346   48   60
   175   28   86
   338   45   73
   194   13   122
   123   9   52
   207   45   112
   158   71   71
   33   69   129
   164   46   36
   335   56   37
   183   37   109
   12   51   98
   263   7   180
   25   44   113
   25   44   113
   130   28   23
   204   36   109
   352   40   79
   127   35   9
   127   56   5
   176   27   54
   229   24   128
   144   17   24
   189   27   83
   229   42   140
   188   49   57
   346   40   94
   206   7   115
   194   30   92
   15   64   102
   176   26   86
   193   30   84
   81   49   155
   326   51   55
   173   24   79
   128   73   -21
   13   48   62
   175   23   88
   171   41   87
   198   33   116
   182   28   92
   183   33   104
   225   35   -168
   194   30   83
   349   41   23
   229   50   135
   182   38   68
   188   41   76
   167   33   53
   127   44   2
   207   48   121
   293   33   -133
   204   36   96
   129   43   12
   67   41   -36
