#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
122.929 1.252 33.6 1.26766 -1.26386 -0.00380042 -1.51022 0.0409575 0.0764823 25.0 X Y 0 R
122.879 1.205 43.9 2.185 -2.13139 -0.053615 -2.42459 -0.129981 -0.399647 24.0 X Y 1 R
122.975 1.291 25.0 4.74105 -4.76487 0.0238189 -4.56931 -0.339752 0.257846 25.0 X Y 2 R
123.118 1.391 30.0 0.830318 -0.898165 0.067847 -0.532073 0.238271 -0.178264 25.0 X Y 3 R-SS
122.92 1.34 40.5 -0.733657 1.17595 -0.442293 0.125583 -2.32017 -2.47627 25.0 X Y 4 SS-N
123.473 1.182 30.0 -0.747766 1.24702 -0.49925 0.162876 -2.33123 -2.43852 25.0 X Y 5 SS-N
123.357 1.226 35.3 1.49458 -1.63665 0.142073 -1.11421 0.462183 -0.390441 24.0 X Y 6 R-SS
122.932 1.241 30.7 7.99269 -6.48592 -1.50677 -5.05377 2.86453 3.14123 24.0 X Y 7 R
123.36 1.54 41.3 0.619733 -0.449779 -0.169954 -0.872746 -0.314814 -0.300839 24.0 X Y 8 R
123.29 1.19 15.0 1.02627 -0.714099 -0.312172 -0.452938 -0.546082 -0.501222 25.0 X Y 9 R
123.36 1.33 33.0 1.71784 -1.57049 -0.147349 -4.06421 0.62643 0.568181 24.0 X Y 10 R
122.849 1.164 30.5 1.40978 -1.3194 -0.0903804 -1.09137 0.063118 -0.498 24.0 X Y 11 R
123.501 1.336 28.0 1.11522 -0.86189 -0.253333 -1.3989 -1.56487 -0.568577 24.0 X Y 12 R
123.019 1.132 30.4 5.83714 -6.98478 1.14764 -5.08606 3.84988 0.631283 23.0 X Y 13 R
123.089 1.338 29.3 1.10888 -1.08898 -0.0198953 -0.89455 -0.00881377 -0.183021 24.0 X Y 14 R
123.024 1.252 34.9 2.56494 -2.56934 0.00440327 -3.26635 0.333315 0.0872294 24.0 X Y 15 R
123.42 1.66 33.0 3.87571 -4.21457 0.338859 -3.58615 1.52081 -0.0133838 23.0 X Y 16 R
123.14 1.37 18.1 1.48979 -1.47087 -0.0189206 -1.63531 0.333353 0.186715 24.0 X Y 17 R
123.62 1.42 33.0 0.333291 -0.283182 -0.0501089 -1.03177 0.284526 0.128571 24.0 X Y 18 R
122.962 1.177 23.7 1.81003 -1.79539 -0.0146411 -1.58232 0.755401 0.363664 26.0 X Y 19 R
123.065 1.147 31.2 1.03361 -1.15296 0.119349 -0.737776 0.388414 -0.0658319 24.0 X Y 20 R
122.74 1.56 15.0 0.641103 -1.45014 0.809036 0.191131 0.754133 0.567814 24.0 X Y 21 SS-R
122.551 1.261 27.2 3.88311 -4.06969 0.186577 -1.49894 -0.923607 0.748805 23.0 X Y 22 R
122.542 1.088 30.0 7.39587 -7.40755 0.0116819 -6.18991 0.467079 0.0826545 25.0 X Y 23 R
122.755 1.397 25.0 0.981076 -0.966587 -0.0144897 -0.165711 0.143432 0.163568 24.0 X Y 24 R
123.08 1.37 47.9 0.636695 0.143252 -0.779947 0.316379 -0.768137 -0.227344 24.0 X Y 25 R
122.613 1.277 34.2 0.691936 -0.757146 0.0652097 -1.50982 -0.371741 0.0729257 25.0 X Y 26 R
123.357 1.372 34.6 1.29406 -1.70003 0.40597 -1.64332 1.54361 0.371164 24.0 X Y 27 R
123.575 1.256 35.0 1.24252 -1.2728 0.0302808 -0.904848 0.281543 -0.459471 24.0 X Y 28 R-SS
123.44 1.34 15.0 7.03874 -7.63005 0.591303 1.80307 2.11617 1.14495 23.0 X Y 29 R
123.0 1.1 29.0 1.84462 -2.07219 0.227569 -0.762267 0.739381 0.0997178 24.0 X Y 30 R
122.8 1.61 17.7 1.15841 -1.52748 0.369069 -0.377205 -0.681106 -0.00585061 24.0 X Y 31 R-SS
123.394 1.245 25.0 3.85697 -3.51201 -0.344958 -7.6234 2.14977 1.10556 23.0 X Y 32 R
122.869 1.381 32.8 2.75184 -2.85752 0.105677 -3.08821 2.21434 0.770546 24.0 X Y 33 R
122.6 1.3 40.0 4.73059 -4.67556 -0.0550287 -5.25086 0.38866 0.524328 25.0 X Y 34 R
123.465 1.281 41.6 0.435215 -0.533251 0.0980363 -0.833654 0.399668 -0.00861274 24.0 X Y 35 R
122.88 1.53 41.6 0.466341 -0.571389 0.105048 -0.893277 0.428252 -0.00922872 24.0 X Y 36 R
123.4 1.46 29.0 -0.0957448 -1.31885 1.41459 -0.624456 -0.487879 0.0955117 24.0 X Y 37 SS-N
122.822 1.322 34.8 1.91352 -1.96576 0.052236 -2.56517 0.606332 0.0566868 24.0 X Y 38 R
122.62 1.54 34.4 1.65908 -1.78618 0.127104 -1.65911 -0.656952 1.33397 23.0 X Y 39 R-SS
122.926 1.421 18.9 4.22053 -4.24811 0.0275751 -2.6652 -0.753538 -0.32065 23.0 X Y 40 R
122.723 1.305 25.0 1.99137 -1.96648 -0.0248931 -2.73205 0.22068 0.228287 24.0 X Y 41 R
122.727 1.264 39.5 4.07611 -4.06794 -0.00817244 -4.52762 0.00278442 0.269602 24.0 X Y 42 R
123.494 1.34 19.3 0.924633 -0.886012 -0.0386208 -1.27398 0.174209 0.194373 24.0 X Y 43 R
123.27 1.06 34.7 -2.16399 2.19214 -0.02815 -1.72633 0.450509 -0.124637 23.0 X Y 44 N
122.89 1.52 27.8 1.87554 -1.8468 -0.0287353 -2.0972 0.127473 0.253406 23.0 X Y 45 R
123.46 1.58 29.0 3.22838 -3.39127 0.162891 -1.43885 1.48032 0.782579 23.0 X Y 46 R
