date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
1991-11-01,02:51:13.83,1.238,122.098,30.0,5.93,286.0,66.0,108.0,66.0,30.0,55.0,9.75,17.0,2.28,2.25,6.26,-5.75,-0.3,-8.54,15
1995-11-08,16:01:22.82,1.241,121.618,28.0,5.95,9.0,53.0,-87.0,185.0,37.0,-93.0,1.04,18.0,1.03,-0.28,-0.94,-0.07,0.14,-0.09,15
1995-11-08,16:01:26.80,1.32,121.72,17.8,5.9,185.0,37.0,-93.0,9.0,53.0,-87.0,1.04e+25,25.0,,,,,,,15
2002-07-11,17:30:41.15,1.087,121.917,27.5,5.21,105.0,23.0,95.0,280.0,67.0,88.0,8.11,16.0,0.95,0.91,5.13,-5.62,1.56,-6.08,15
2006-06-16,02:56:16.62,1.205,121.836,24.4,5.52,69.0,63.0,-97.0,264.0,27.0,-76.0,2.38,17.0,0.1,-0.64,-1.9,-1.27,0.43,1.8,15
2006-06-16,05:35:55.00,1.25,121.832,36.6,5.33,240.0,28.0,-98.0,69.0,62.0,-86.0,1.25,17.0,0.32,-0.2,-1.11,-0.68,0.31,0.79,15
2006-08-19,19:47:36.00,1.28,121.79,46.3,4.9,85.0,37.0,90.0,265.0,53.0,90.0,2.39e+23,23.0,,,,,,,15
2008-11-16,17:02:32.00,1.41,122.18,10.0,7.7,92.0,20.0,84.0,278.0,70.0,92.0,,,,,,,,,15
2008-11-16,17:02:33.70,1.29,122.077,34.0,7.35,278.0,70.0,92.0,92.0,20.0,84.0,1.31,20.0,0.03,0.15,0.82,-0.99,0.08,-0.85,15
2009-01-01,10:35:33.89,1.336,121.888,30.0,5.07,119.0,29.0,121.0,265.0,66.0,74.0,5.06,16.0,1.59,-0.31,3.04,-3.12,0.94,-4.64,15
2009-06-28,14:19:28.83,1.351,122.295,29.2,5.68,270.0,74.0,88.0,95.0,16.0,96.0,4.05,17.0,0.06,-0.05,2.06,-3.46,0.09,-2.13,15
2011-11-23,22:05:57.30,1.4,121.57,20.5,5.0,354.0,42.0,-100.0,187.0,48.0,-81.0,4.06e+23,23.0,,,,,,,15
2012-11-01,23:37:02.00,1.28,122.12,45.0,5.2,105.0,22.0,99.0,275.0,68.0,86.0,,,,,,,,,15
2012-11-01,23:37:17.97,1.198,122.131,35.0,5.51,276.0,67.0,87.0,103.0,23.0,96.0,2.3,17.0,0.26,0.15,1.5,-1.62,0.33,-1.76,15
2012-11-06,01:36:21.00,1.45,122.21,10.0,5.7,102.0,20.0,101.0,270.0,70.0,86.0,,,,,,,,,15
2013-09-09,21:41:33.47,1.446,122.285,21.0,5.6,278.0,68.0,87.0,105.0,22.0,97.0,3.2,17.0,0.08,0.26,2.13,-2.29,0.47,-2.21,15
2013-09-10,01:12:38.35,1.407,122.363,21.2,5.37,105.0,19.0,98.0,276.0,71.0,87.0,1.45,17.0,0.08,0.11,0.83,-1.14,0.18,-0.91,15
2016-06-30,10:46:17.10,1.19,121.77,44.4,4.9,98.0,36.0,91.0,278.0,54.0,90.0,2.8e+23,23.0,,,,,,,15
2019-05-21,18:42:47.20,1.16,122.16,46.4,5.1,93.0,39.0,92.0,270.0,51.0,88.0,5.3e+23,23.0,,,,,,,15
2021-09-15,00:49:49.10,1.3,122.05,40.2,5.2,2.0,53.0,35.0,249.0,62.0,138.0,7.84e+23,23.0,,,,,,,15
