date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
1965-01-24,00:11:17.26,-2.608,125.952,20.0,8.2,315.0,25.0,90.0,135.0,65.0,90.0,2.4,21.0,       ,       ,       ,       ,       ,       ,-1
1967-04-21,08:14:24.31,-5.401,126.688,10.0,6.2,235.0,69.0,21.0,137.0,70.0,158.0,2.65,18.0,       ,       ,       ,       ,       ,       ,-1
1976-07-26,02:56:38.68,4.924,118.243,13.2,6.28,327.0,83.0,-20.0,59.0,70.0,-172.0,3.24,18.0,-2.47,-1,-0.5,0.36,-1.36,2.97,-1
1977-01-01,19:01:40.70,-2.88,126.15,43.4,6.3,91.0,83.0,3.0,1.0,87.0,173.0,3.8199999999999996e+25,25.0,,,,,,,-1
1977-04-22,05:26:35.77,-7.715,118.965,20.0,5.5,171.0,76.0,-162.0,76.0,72.0,-15.0,2.19,17.0,1.14,0.42,-0.62,-0.41,1.9,-0.52,-1
1977-05-28,05:51:48.38,-1.909,120.486,35.0,6.12,33.0,86.0,167.0,123.0,77.0,4.0,1.85,18.0,-1.76,0.3,0.23,0.27,0.73,1.53,-1
1977-09-19,05:13:09.10,-2.31,126.11,15.0,6.2,104.0,43.0,-75.0,264.0,48.0,-104.0,2.88e+25,25.0,,,,,,,-1
1977-09-19,05:13:10.19,-1.955,126.656,25.0,6.25,264.0,48.0,-104.0,104.0,43.0,-75.0,2.88,18.0,-0.51,0.36,-2.58,0.28,-0.23,3.09,-1
1977-11-27,09:33:45.91,-0.808,120.653,35.0,5.84,310.0,65.0,-140.0,201.0,55.0,-31.0,7.15,17.0,5.95,0.21,-3.23,4.47,-2.3,-2.72,-1
1978-01-20,21:31:15.74,-4.267,123.377,30.0,5.44,123.0,24.0,19.0,15.0,82.0,112.0,1.83,17.0,-0.86,1.57,0.39,0.41,0.44,0.47,-1
1978-04-25,04:24:54.86,4.664,124.597,35.0,6.22,135.0,88.0,-14.0,226.0,76.0,-178.0,2.64,18.0,-2.68,0.62,0.27,-0.31,-0.01,2.42,-1
1979-05-12,09:09:31.30,-2.12,121.26,36.4,5.2,2.0,46.0,56.0,226.0,53.0,120.0,8.28e+23,23.0,,,,,,,-1
1979-09-29,12:41:49.10,-2.95,119.8,15.0,5.9,18.0,36.0,-150.0,263.0,73.0,-58.0,8.68e+24,24.0,,,,,,,-1
1980-05-15,18:58:28.45,-6.201,125.744,40.3,6.41,305.0,88.0,163.0,35.0,73.0,2.0,5.02,18.0,4.21,0.77,0.63,-1.24,-1.6,-4.84,-1
1980-11-05,18:15:02.63,-2.704,122.014,20.0,6.07,221.0,82.0,-110.0,110.0,22.0,-22.0,1.56,18.0,-0.31,1.09,-0.36,0.9,0.35,0.68,-1
1980-11-05,18:15:07.30,-3.55,121.98,15.0,6.1,110.0,22.0,-22.0,221.0,82.0,-110.0,1.56e+25,25.0,,,,,,,-1
1981-07-08,10:15:34.54,-1.947,124.676,18.2,5.33,103.0,59.0,-14.0,201.0,78.0,-148.0,12.63,16.0,-3.48,5.11,-4.41,1.63,9.53,7.9,-1
1981-07-08,10:15:41.50,-2.46,125.21,36.0,5.3,103.0,59.0,-14.0,201.0,78.0,-148.0,1.26e+24,23.0,,,,,,,-1
1981-12-25,00:28:14.38,4.748,118.38,15.0,5.55,122.0,72.0,20.0,25.0,71.0,161.0,2.64,17.0,-2.04,0.35,0.23,1.28,1.26,1.82,-1
1981-12-25,00:28:19.80,4.41,118.91,15.0,5.5,25.0,71.0,161.0,122.0,72.0,60.0,2.64e+24,24.0,,,,,,,-1
1982-04-27,08:06:25.30,-4.22,118.85,15.7,5.6,38.0,24.0,100.0,207.0,66.0,86.0,3.67e+24,24.0,,,,,,,-1
1982-05-07,05:36:15.69,-0.561,123.327,35.0,5.74,357.0,61.0,67.0,220.0,36.0,126.0,4.99,17.0,-4.37,2.36,3.59,-0.66,-1.73,0.78,-1
1982-05-07,05:36:23.80,-0.01,123.39,36.0,5.7,220.0,36.0,126.0,357.0,61.0,67.0,4.99e+24,24.0,,,,,,,-1
1982-08-02,10:49:10.40,-7.99,124.23,34.8,5.2,134.0,38.0,-140.0,11.0,67.0,-58.0,8.18e+23,23.0,,,,,,,-1
1982-08-27,23:30:06.70,-2.22,121.31,26.3,5.6,20.0,59.0,-146.0,271.0,61.0,-36.0,3.49e+24,24.0,,,,,,,-1
1982-10-23,00:08:06.18,-1.874,126.631,20.2,5.46,174.0,49.0,-64.0,317.0,47.0,-118.0,1.92,17.0,1.6,0.28,-1.62,0.43,-0.92,0.01,-1
1982-12-25,12:28:03.40,-7.85,123.36,39.8,5.9,6.0,78.0,7.0,275.0,83.0,168.0,9.73e+24,24.0,,,,,,,-1
