% ini datanya
%  stike   dip   rake
   49   19   56
   44   18   61
   63   36   79
   47   19   77
   272   16   -59
   43   18   63
   95   21   82
   64   17   84
   66   10   83
   16   21   21
   40   21   50
   148   20   124
   60   15   82
   70   25   68
   285   56   -18
   165   72   161
   58   22   66
   281   75   83
   260   69   114
   262   76   97
   267   88   93
   70   25   68
   85   83   -41
   257   77   95
   257   74   97
   57   16   71
   256   75   95
   63   14   71
   257   76   94
   57   16   71
   263   82   90
   63   14   71
   262   76   95
   264   77   96
