date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
03-05-01,14:13.5,-5.35,122.53,33.0,4.2,296,30,69,139,62,101,,,,,,,,,-1
16-05-00,16:16.5,-1.41,123.57,21.0,4.3,223,67,-178,132,88,-23,,,,,,,,,-1
26-02-01,32:38.6,-1.09,121.12,33.0,4.3,211,42,98,21,48,83,,,,,,,,,-1
08-08-04,42:11.9,-2.88,120.02,33.0,4.3,318,41,83,147,49,96,,,,,,,,,-1
16-06-00,08:29.8,1.3,118.31,21.0,4.4,68,16,64,275,75,97,,,,,,,,,-1
28-12-00,06:46.5,-0.49,119.95,20.0,4.5,108,54,-150,359,66,-40,,,,,,,,,-1
08-02-02,30:58.3,-3.66,120.07,33.0,4.5,272,30,-7,8,87,-120,,,,,,,,,-1
14-03-01,56:22.1,0.28,122.16,33.0,4.6,351,45,48,223,58,124,,,,,,,,,-1
01-01-96,41:58.5,1.0,119.3,33.0,4.7,165,72,161,261,72,19,,,,,,,,,-1
05-05-00,24:24.4,-1.54,123.1,33.0,4.7,219,77,175,310,85,13,,,,,,,,,-1
18-12-01,09:56.6,-0.2,123.4,33.0,4.7,233,56,141,347,59,40,,,,,,,,,-1
05-03-02,40:47.5,-1.11,119.41,35.0,4.7,100,37,-165,358,81,-54,,,,,,,,,-1
07-01-04,57:46.7,0.67,123.08,9.4,4.7,147,39,143,267,68,57,,,,,,,,,-1
09-11-04,51:59.8,-1.26,121.8,42.0,4.7,24,35,17,280,80,124,,,,,,,,,-1
09-07-05,40:34.3,-2.8,125.9,33.0,4.7,80,44,-141,320,64,-53,,,,,,,,,-1
27-08-05,43:35.1,-7.98,125.5,25.2,4.7,122,40,135,240,63,60,1.66e+23,23.0,,,,,,,-1
01-01-15,20:03.0,-2.09,120.95,19.9,4.7,39,70,173,131,84,20,1.58e+23,23.0,,,,,,,-1
03-11-18,44:06.6,-2.82,119.54,12.0,4.7,6,64,173,99,84,26,1.51e+23,23.0,,,,,,,-1
