date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
25-03-22,20:16.2,-3.75,122.9,18.6,4.7,176,63,21,76,72,152,1.57e+23,23.0,,,,,,,6
27-08-13,31:35.4,-3.28,123.33,15.2,4.9,175,33,-91,357,57,-89,2.41e+23,23.0,,,,,,,6
01-07-01,40:57.5,-3.9,123.39,33.0,5.0,228,11,142,355,83,82,,,,,,,,,6
06-05-07,03:44.5,-3.615,123.308,15.0,5.08,96,33,-74,258,58,-100,5.18,16.0,-0.56,0.85,-4.34,2.15,0.35,4.9,6
26-03-22,16:54.3,-3.75,122.75,15.1,5.2,75,70,168,169,79,21,7.51e+23,23.0,,,,,,,6
09-07-84,22:20.0,-3.433,123.193,20.0,5.35,179,22,97,351,69,87,13.51,16.0,-8.73,9.71,9.68,-1.81,0.55,-0.94,6
18-10-09,23:24.7,-3.62,123.242,15.0,5.39,84,50,-55,217,51,-124,1.52,17.0,0.12,0.47,-1.21,-0.26,0.84,1.09,6
06-05-07,03:15.2,-3.56,123.54,0.6,5.4,96,33,-74,258,58,-100,,,,,,,,,6
02-12-20,36:27.2,-3.4,123.38,15.5,5.4,150,14,74,346,76,94,1.79e+24,24.0,,,,,,,6
15-03-02,36:36.0,-4.174,123.295,15.0,5.42,225,27,143,349,74,68,1.71,17.0,-1.01,1.28,0.85,-0.45,-0.44,0.17,6
20-01-78,31:15.7,-4.267,123.377,30.0,5.44,123,24,19,15,82,112,1.83,17.0,-0.86,1.57,0.39,0.41,0.44,0.47,6
18-10-09,26:13.6,-3.572,123.262,15.0,5.49,72,38,-89,250,52,-91,2.1,17.0,0.11,0.19,-2.02,0.47,0.7,1.91,6
01-07-01,40:58.1,-4.258,123.28,20.0,5.59,355,83,82,228,11,142,2.95,17.0,-0.87,2.83,0.53,-0.22,-0.34,0.34,6
01-07-01,41:01.7,-3.9,123.82,16.0,5.6,228,11,142,355,83,82,2.95e+24,24.0,,,,,,,6
27-10-98,38:53.4,-3.493,123.154,25.0,5.61,222,53,-102,62,39,-74,3.17,17.0,0.78,0.73,-2.59,0.41,2.16,1.8,6
15-10-09,33:36.4,-3.557,123.228,15.0,5.75,240,52,-107,87,41,-69,5.23,17.0,0.11,1.43,-4.83,0.58,1.48,4.72,6
24-05-89,05:48.8,-3.759,123.266,19.9,5.82,330,73,69,204,27,140,6.57,17.0,-4.52,4.08,3.39,-3.11,0.3,1.14,6
14-05-00,08:34.0,-4.34,123.197,20.0,6.24,16,64,70,235,32,125,2.85,18.0,-1.65,1.58,1.92,0.26,-1.59,-0.26,6
