% ini datanya
%  stike   dip   rake
   354   83   -20
   86   70   -173
   272   70   89
   265   69   94
   268   67   86
   278   62   109
   85   48   -168
   346   81   -43
   278   64   110
   298   63   92
   47   18   70
   65   29   106
   119   12   109
   57   29   66
   224   76   82
   72   29   49
   75   26   80
   275   71   92
   74   26   61
   94   21   84
   296   36   75
   122   9   106
   291   67   98
   69   31   58
   321   63   150
   115   38   115
   273   65   92
   93   40   80
   39   29   138
   258   78   82
   307   75   110
   53   33   56
   295   42   117
   74   37   59
   116   44   133
   333   29   65
   109   13   93
   301   72   102
   98   21   93
   66   18   45
   66   18   45
   138   60   -176
   281   72   96
   147   39   143
   92   29   101
   275   72   89
   271   69   88
   106   18   97
   266   26   -103
   105   19   98
   101   21   96
   85   34   61
