latitude,longitude,depth,strike,dip,rake
-1.909,120.486,35,33,86,-167
-0.808,120.653,35,310,65,140
-1.562,119.699,25,160,83,-19
-1.17,120.08,48.4,68,72,-173
-1.1,120.2,30,129,29,58
-1.95,120.33,42.1,287,46,59
-0.8,120.1,28,355,31,-35
-0.3,119.8,33,359,34,-41
-0.49,119.95,20,108,54,150
-0.62,120.25,27.2,108,54,150
-1.161,119.901,38.3,170,50,-12
-1.34,120.51,38.3,170,50,-12
-1.776,120.215,23,221,64,-175
-1.545,119.61,35.8,9,20,-49
-0.95,120.45,15,271,34,97
-1.485,120.191,15,271,34,97
-0.96,119.57,26.5,351,63,21
-1.101,120.043,15,76,52,151
-1.19,120.013,10,321,61,59
-1.04,120.62,28.1,90,44,91
-1.227,119.998,10,320,64,53
-0.24,119.94,12,89,75,170
-0.338,119.63,35,230,47,-125
-1.105,119.843,20,309,50,87
-0.5,120,19.9,73,65,179
-1.25,120.09,11,336,68,16
-0.85,119.78,23,73,74,178
-1.17,119.48,10,17,21,-72
-0.35,119.93,12.7,250,62,161
-1.21,120.08,10,339,83,5
-0.64,119.8,28.2,330,38,19
-1.097,120.248,24.8,114,28,79
-0.17,120.02,39.7,147,32,-54
-0.952,120.418,18.1,159,38,22
-1.14,120.08,21,63,67,159
-1.297,120.427,16.8,277,57,98
-1.01,120.69,17.9,130,65,-2
-1.25,120.48,18.1,139,59,29
-1.29,120.23,14.8,268,30,143
-1.328,119.94,20,64,74,179
-1.314,120.013,19.1,67,84,-178
-1.34,120.48,26.8,275,38,97
-0.78,119.67,30.2,7,34,-56
-1.44,120.22,12,127,59,-4
-0.4,120.02,12,181,77,1
-0.345,119.852,25.4,359,66,14
-1.51,120.19,22.3,52,76,176
-1.51,120.15,14.7,101,38,69
-1.43,120.19,12,116,37,56
-1.25,120.24,26.1,111,35,86
-0.695,119.867,24.2,349,38,3
-0.52,119.89,12,258,76,-167
-1.44,119.95,15,115,13,-6
-0.87,120.04,27,145,33,48
-1.65,120.23,22.1,47,72,165
-1.24,120.46,14.4,120,37,80
-1.25,120.41,13.1,124,44,60
-1.48,120.29,19.7,109,41,54
-1.77,120.53,12.3,136,41,-63
-1.68,120.18,18.9,36,86,-177
-1.52,120.19,17.2,87,42,82
-1.29,120.65,16.1,234,60,157
