% ini datanya
%  stike   dip   rake
   235   69   21
   327   83   -20
   91   83   3
   171   76   -162
   104   43   -75
   264   48   -104
   123   24   19
   135   88   -14
   2   46   56
   18   36   -150
   305   88   163
   221   82   -110
   110   22   -22
   103   59   -14
   103   59   -14
   25   71   161
   122   72   20
   38   24   100
   134   38   -140
   20   59   -146
   174   49   -64
   6   78   7
   40   35   57
   258   61   111
   194   74   90
   19   26   133
   246   79   -13
   179   22   97
   44   61   165
   307   41   -19
   51   78   -130
   153   88   53
   312   72   -28
   283   84   -3
   14   87   -174
   309   15   146
   344   49   62
   187   61   100
   359   29   76
   359   29   76
   69   83   -14
   56   60   8
   176   87   9
   330   73   69
   83   45   139
   61   62   29
   61   62   29
   71   62   -21
   87   83   171
   58   17   57
   264   55   -15
   352   40   107
   322   48   67
   153   49   97
   283   59   106
   62   29   89
   14   83   -1
   212   82   -178
   334   52   107
   273   52   84
   97   50   95
   280   41   83
   68   72   173
   72   61   -3
   72   61   -3
   203   43   91
   203   43   91
   309   10   127
   98   35   102
   274   24   -138
   35   11   122
   41   37   56
   42   41   -6
   216   68   177
   39   73   -3
   130   88   -163
   142   74   16
   142   74   16
   24   81   178
   24   81   178
   24   81   178
   280   70   -5
   109   57   -24
   109   57   -24
   185   37   -93
   165   72   161
   36   6   54
   297   62   3
   279   33   101
   47   24   38
   200   63   -102
   142   57   175
   229   68   9
   322   86   2
   313   65   27
   13   40   110
   206   81   175
   297   85   9
   109   66   22
   207   72   28
   268   69   -3
   37   27   89
   181   29   130
   181   29   130
   201   33   129
   355   31   35
   359   34   41
   222   53   -102
   332   86   5
   15   87   -16
   149   41   142
   308   51   -25
   93   58   -31
   227   30   70
   216   86   -170
   145   74   21
   265   43   -93
   234   40   70
   234   40   70
   88   50   118
   45   37   -76
   203   58   -168
   219   77   175
   310   85   13
   213   70   -158
   15   85   166
   336   58   48
   16   64   70
   223   67   -178
   68   16   64
   68   16   64
   5   63   -19
   218   80   153
   261   18   89
   261   18   89
   42   77   178
   124   8   -49
   124   8   -49
   211   42   98
   351   45   48
   296   30   69
   296   30   69
   296   30   69
   318   47   -35
   180   42   -155
   223   26   92
   228   11   142
   355   83   82
   228   11   142
   14   28   70
   14   28   70
   313   11   -177
   185   72   -172
   97   44   9
   101   76   17
   104   24   12
   170   50   12
   277   19   -160
   272   30   -7
   221   64   175
   225   27   143
   225   27   143
   217   16   119
   46   44   126
   46   44   126
   9   20   49
   199   50   -5
   199   50   -5
   210   52   112
   357   43   65
   224   62   154
   327   40   -98
   294   46   -110
   125   17   113
   91   74   -175
   319   53   8
   319   53   8
   281   23   -84
   299   10   74
   61   69   2
   345   41   121
   126   56   66
   230   39   26
   167   36   -163
   45   71   3
   30   40   88
   30   40   88
   318   41   83
   318   41   83
   24   35   17
   108   46   146
   92   45   -103
   92   45   -103
   49   73   -174
   90   51   -48
   179   49   59
   41   49   121
   161   37   88
   227   32   43
   143   81   12
   27   38   93
   80   44   -141
   225   31   -134
   101   60   171
   259   31   140
   89   75   -170
   120   38   93
   318   75   51
   221   80   -2
   351   45   -94
   97   62   106
   175   44   121
   140   39   79
   331   28   78
   329   25   84
   340   20   91
   340   20   91
   315   27   80
   164   62   92
   114   44   -110
   209   46   110
   166   85   -2
   345   83   176
   96   33   -74
   96   33   -74
   28   19   95
   234   37   44
   129   82   177
   67   45   78
   207   48   63
   261   53   128
   105   79   175
   134   80   8
   177   63   -20
   230   47   125
   314   35   35
   119   29   121
   325   79   180
   250   29   37
   344   80   176
   149   84   5
   40   42   133
   240   52   -107
   84   50   -55
   72   38   -89
   88   22   96
   128   39   -62
   348   66   0
   218   61   158
   218   61   158
   218   61   158
   161   34   83
   161   34   83
   108   72   169
   62   29   139
   82   76   4
   156   77   -168
   19   87   161
   236   81   -148
   28   22   100
   110   48   -148
   142   45   -75
   131   45   -79
   334   37   104
   10   51   -28
   300   42   26
   337   85   -4
   250   62   -161
   36   82   -4
   121   59   4
   118   44   1
   12   57   3
   129   54   8
   111   54   -3
   132   68   -2
   110   52   -16
   111   54   -3
   93   29   114
   268   27   113
   330   76   174
   11   61   172
   19   63   172
   79   45   81
   224   73   -155
   132   81   -177
   330   37   37
   221   78   178
   146   74   8
   346   51   53
   43   75   169
   175   33   -91
   15   44   179
   8   43   79
   249   30   -134
   352   29   -82
   144   59   -3
   147   32   54
   159   48   -176
   69   66   16
   125   62   11
   38   81   158
   39   70   173
   174   19   -143
   198   37   128
   52   43   -159
   263   29   -161
   52   70   165
   167   45   -7
   94   79   4
   10   71   -4
   102   89   -163
   323   39   90
   91   47   114
   81   46   122
   301   45   53
   152   46   115
   119   41   -8
   129   45   -3
   260   90   -3
   111   72   -167
   77   70   1
   315   26   72
   304   44   55
   50   75   175
   359   66   -14
   311   27   12
   325   78   170
   6   64   173
   121   51   2
   357   23   81
   76   27   -68
   8   68   175
   87   49   -8
   77   28   -60
   55   22   -29
   111   53   -14
   60   60   164
   342   45   70
   43   83   -175
   251   16   72
   27   68   -162
   351   58   -167
   129   72   5
   192   39   78
   352   21   91
   128   70   169
   18   22   106
   332   77   -177
   115   32   -7
   252   79   -5
   7   36   84
   354   32   54
   167   46   46
   150   14   74
   95   32   -13
   353   28   60
   330   17   59
   69   43   -109
   81   34   -60
   138   41   -61
   139   42   -59
   138   75   6
   40   44   -129
   293   85   0
   176   63   21
   75   70   168
   100   76   -2
   126   74   -5
   327   53   6
   120   67   165
   87   37   98
   37   71   -178
