date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
21-04-67,14:24.3,-5.401,126.688,10.0,6.2,235,69,21,137,70,158,2.65,18.0,       ,       ,       ,       ,       ,       ,-1
26-07-76,56:38.7,4.924,118.243,13.2,6.28,327,83,-20,59,70,-172,3.24,18.0,-2.47,-1,-0.5,0.36,-1.36,2.97,-1
01-01-77,01:40.7,-2.88,126.15,43.4,6.3,91,83,3,1,87,173,3.8199999999999996e+25,25.0,,,,,,,-1
22-04-77,26:35.8,-7.715,118.965,20.0,5.5,171,76,-162,76,72,-15,2.19,17.0,1.14,0.42,-0.62,-0.41,1.9,-0.52,-1
19-09-77,13:09.1,-2.31,126.11,15.0,6.2,104,43,-75,264,48,-104,2.88e+25,25.0,,,,,,,-1
19-09-77,13:10.2,-1.955,126.656,25.0,6.25,264,48,-104,104,43,-75,2.88,18.0,-0.51,0.36,-2.58,0.28,-0.23,3.09,-1
20-01-78,31:15.7,-4.267,123.377,30.0,5.44,123,24,19,15,82,112,1.83,17.0,-0.86,1.57,0.39,0.41,0.44,0.47,-1
25-04-78,24:54.9,4.664,124.597,35.0,6.22,135,88,-14,226,76,-178,2.64,18.0,-2.68,0.62,0.27,-0.31,-0.01,2.42,-1
12-05-79,09:31.3,-2.12,121.26,36.4,5.2,2,46,56,226,53,120,8.28e+23,23.0,,,,,,,-1
29-09-79,41:49.1,-2.95,119.8,15.0,5.9,18,36,-150,263,73,-58,8.68e+24,24.0,,,,,,,-1
15-05-80,58:28.5,-6.201,125.744,40.3,6.41,305,88,163,35,73,2,5.02,18.0,4.21,0.77,0.63,-1.24,-1.6,-4.84,-1
05-11-80,15:02.6,-2.704,122.014,20.0,6.07,221,82,-110,110,22,-22,1.56,18.0,-0.31,1.09,-0.36,0.9,0.35,0.68,-1
05-11-80,15:07.3,-3.55,121.98,15.0,6.1,110,22,-22,221,82,-110,1.56e+25,25.0,,,,,,,-1
08-07-81,15:41.5,-2.46,125.21,36.0,5.3,103,59,-14,201,78,-148,1.26e+24,23.0,,,,,,,-1
08-07-81,15:34.5,-1.947,124.676,18.2,5.33,103,59,-14,201,78,-148,12.63,16.0,-3.48,5.11,-4.41,1.63,9.53,7.9,-1
25-12-81,28:19.8,4.41,118.91,15.0,5.5,25,71,161,122,72,60,2.64e+24,24.0,,,,,,,-1
25-12-81,28:14.4,4.748,118.38,15.0,5.55,122,72,20,25,71,161,2.64,17.0,-2.04,0.35,0.23,1.28,1.26,1.82,-1
27-04-82,06:25.3,-4.22,118.85,15.7,5.6,38,24,100,207,66,86,3.67e+24,24.0,,,,,,,-1
02-08-82,49:10.4,-7.99,124.23,34.8,5.2,134,38,-140,11,67,-58,8.18e+23,23.0,,,,,,,-1
27-08-82,30:06.7,-2.22,121.31,26.3,5.6,20,59,-146,271,61,-36,3.49e+24,24.0,,,,,,,-1
25-12-82,28:03.4,-7.85,123.36,39.8,5.9,6,78,7,275,83,168,9.73e+24,24.0,,,,,,,-1
09-06-83,26:54.9,-6.08,123.26,18.0,5.5,40,35,57,258,61,111,2.57e+24,24.0,,,,,,,-1
09-06-83,26:50.5,-5.968,122.614,30.0,5.55,258,61,111,40,35,57,2.57,17.0,-0.4,0.14,2.01,-1.37,-1.14,-1.6,-1
08-01-84,24:15.1,-2.803,118.779,28.1,6.66,194,74,90,13,16,89,12.05,18.0,-6.36,-9.84,6.28,-2.45,-1.62,0.08,-1
10-04-84,10:39.5,4.95,125.27,29.8,5.6,19,26,133,154,71,72,2.98e+24,24.0,,,,,,,-1
06-06-84,38:26.4,-4.784,125.978,39.5,6.15,246,79,-13,338,78,-168,2.04,18.0,1.52,-0.17,-0.24,0.51,1.36,-1.28,-1
09-07-84,22:20.0,-3.433,123.193,20.0,5.35,179,22,97,351,69,87,13.51,16.0,-8.73,9.71,9.68,-1.81,0.55,-0.94,-1
24-02-85,26:52.9,-2.43,119.42,40.5,5.9,44,61,165,142,77,30,9.8e+24,25.0,,,,,,,-1
01-03-85,22:11.8,-2.14,119.625,20.0,5.89,153,88,53,61,37,176,8.32,17.0,-5.68,-6.98,0.68,0.64,-1.42,5,-1
13-08-85,25:21.9,-2.3,125.64,13.6,5.5,309,15,146,71,82,77,2.49e+24,24.0,,,,,,,-1
07-07-87,36:02.8,4.406,125.158,45.8,5.68,344,49,62,203,48,119,4.04,17.0,-4.12,0.11,3.45,-1.25,-0.28,0.67,-1
22-07-87,03:16.4,4.054,125.596,31.7,5.58,187,61,100,347,30,73,2.92,17.0,-2.63,-1.5,2.3,-0.35,0.13,0.33,-1
06-12-87,48:25.5,3.63,124.88,34.4,5.2,359,29,76,196,62,98,9.42e+23,23.0,,,,,,,-1
06-12-87,48:22.4,3.724,125.428,19.9,5.25,359,29,76,196,62,98,9.42,16.0,-8.5,-4.9,6.94,-1.71,-1.6,1.57,-1
08-03-88,38:27.6,-2.033,125.3,30.0,5.92,69,83,-14,161,76,-173,9.37,17.0,6.64,-0.13,-1.8,-2.06,7.04,-4.84,-1
17-08-88,09:37.2,1.51,125.21,29.6,5.1,56,60,8,322,83,149,6.46e+23,23.0,,,,,,,-1
28-10-88,37:54.8,-0.297,122.141,20.0,5.52,176,87,9,85,81,177,2.37,17.0,-0.3,-0.37,-0.07,0.19,-2.31,0.38,-1
