date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
01-01-77,01:40.7,-2.88,126.15,43.4,6.3,91,83,3,1,87,173,3.8199999999999996e+25,25.0,,,,,,,7
19-09-77,13:09.1,-2.31,126.11,15.0,6.2,104,43,-75,264,48,-104,2.88e+25,25.0,,,,,,,7
03-02-90,43:39.7,-2.36,126.03,34.6,5.1,61,62,29,316,64,148,6.13e+23,23.0,,,,,,,7
03-02-90,43:38.7,-2.946,126.311,25.0,5.12,61,62,29,316,64,148,6.13,16.0,3.46,3.09,2.38,0.26,1.46,-5.84,7
23-12-91,57:39.1,-3.42,126.81,33.0,5.1,212,82,-178,122,88,-8,6.19e+23,23.0,,,,,,,7
28-01-93,51:48.7,-3.22,126.65,15.0,5.2,72,61,-3,164,87,-151,9.05e+23,23.0,,,,,,,7
28-01-93,51:54.0,-3.088,126.732,17.3,5.24,72,61,-3,164,87,-151,9.05,16.0,4.84,4.13,-0.65,-1.43,6.49,-4.19,7
26-09-94,31:27.1,-2.56,126.9,42.5,5.4,42,41,-6,136,86,-131,1.52e+24,24.0,,,,,,,7
02-08-98,13:06.4,-2.761,126.23,30.0,5.22,181,29,130,317,68,71,8.59,16.0,-5.61,3.53,5.7,-4.92,2.3,-0.09,7
01-03-99,51:02.7,-2.79,126.5,15.0,5.7,149,41,142,270,66,56,4e+24,24.0,,,,,,,7
20-11-04,32:39.3,-2.8,125.87,20.0,5.3,92,45,-103,290,46,-78,,,,,,,,,7
20-11-04,32:42.0,-3.389,126.101,10.0,5.33,92,45,-103,290,46,-78,1.23,17.0,-0.1,-0.16,-1.13,0,-0.28,1.24,7
13-06-05,02:32.0,-2.8,126.5,18.7,5.6,27,38,93,204,52,88,,,,,,,,,7
09-07-05,40:34.3,-2.8,125.9,33.0,4.7,80,44,-141,320,64,-53,,,,,,,,,7
21-08-06,28:36.0,-2.86,126.21,21.0,5.0,175,44,121,314,53,63,,,,,,,,,7
21-08-06,49:14.0,-2.87,126.21,10.0,5.4,140,39,79,334,52,99,,,,,,,,,7
04-04-09,29:46.0,-2.91,126.64,15.0,5.2,325,79,180,55,90,11,,,,,,,,,7
18-07-16,16:33.5,-2.4,126.28,22.9,4.9,301,45,53,168,55,121,3.23e+23,23.0,,,,,,,7
16-10-16,23:21.1,-2.65,126.69,17.1,4.9,152,46,115,298,49,66,2.61e+23,23.0,,,,,,,7
26-02-18,34:53.2,-2.735,126.735,9.9,6.0,315,26,72,155,65,99,1.26,18.0,-0.68,-0.74,0.84,0.31,0.61,-0.16,7
27-02-18,20:44.3,-2.65,126.85,14.4,4.9,304,44,55,168,55,119,3.28e+23,23.0,,,,,,,7
