date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
13-02-77,06:53.0,-0.073,125.12,35,5.91,34,72,104,175,22,53,9.08,17,-5.38,5.55,5.15,4.62,-1.55,0.24
13-12-77,27:12.6,-0.31,124.08,46.1,5.4,97,83,-175,7,85,-7,1.8e+24,24,,,,,,
25-05-78,20:52.2,-0.065,125.289,41.8,5.5,24,73,85,219,17,105,2.22,17,-0.84,1.71,1.33,0.68,-0.45,-0.48
29-10-78,01:10.6,-0.08,124.88,45.1,5.4,202,23,90,22,67,90,1.62e+24,24,,,,,,
07-12-84,50:16.0,0.368,125.382,35,5.76,24,76,83,233,15,118,5.45,17,-1.61,4.43,2.34,1.86,-1.54,-0.73
27-11-87,02:10.6,-0.177,125.106,43,6.06,17,62,72,232,33,121,1.53,18,-0.8,0.88,1.29,-0.06,-0.56,-0.48
27-11-87,02:14.9,-0.24,125.78,18.6,6.1,232,33,121,17,62,72,1.53e+25,25,,,,,,
28-11-87,03:48.0,-0.243,124.92,40,6.26,21,71,75,240,24,126,3.04,18,-0.97,2.32,2.05,0.43,-0.86,-1.07
28-11-87,03:54.0,-0.14,125.68,15,6.3,240,24,126,21,71,75,3.04e+25,25,,,,,,
30-11-87,41:41.1,0.032,125.11,41,5.62,34,60,83,229,30,103,3.26,17,-1.58,1.51,2.91,0.72,-1.25,-1.32
23-12-87,10:24.5,0.05,125.62,49.3,5.6,229,28,106,31,64,82,3.29e+24,24,,,,,,
23-12-87,10:17.8,-0.155,124.955,24.6,5.62,31,64,82,229,28,106,3.29,17,-1.52,1.79,2.63,0.83,-1.28,-1.11
26-09-88,31:09.2,-0.292,125.102,49.5,5.56,10,61,39,259,57,144,2.69,17,-0.66,1.39,1.3,-1.24,-1.69,-0.64
08-03-89,34:27.7,-0.053,124.924,35,5.85,11,74,77,232,21,129,7.32,17,-2.73,6.06,4.12,0.48,-1.96,-1.39
06-05-92,52:51.2,-0.331,125.89,48.7,5.5,85,78,96,237,13,62,2.17,17,0.36,0.19,0.65,1.97,-0.37,-1.01
11-08-92,01:33.5,-0.05,125.64,45.8,5.5,223,23,98,35,67,87,1.95e+24,24,,,,,,
20-05-93,08:14.6,0.098,124.891,45,5.67,28,61,82,224,30,103,3.91,17,-2.19,1.89,3.29,0.72,-1.66,-1.1
20-05-93,08:18.3,-0.13,125.29,49.2,5.7,224,30,103,28,61,82,3.91e+24,24,,,,,,
26-11-94,21:00.5,-0.4,124.1,35,5.5,180,38,12,80,82,127,,,,,,,,
04-01-96,54:20.9,0.08,125,40.1,5,202,28,78,35,62,96,4.65e+23,23,,,,,,
12-08-96,00:29.9,-0.108,125.078,47.4,6,31,65,79,235,27,112,12.36,17,-5.01,7.28,9.43,3.12,-4.83,-4.41
13-08-96,38:20.2,-0.184,124.995,41.6,5.67,270,56,-129,145,50,-47,3.9,17,0.9,2.69,-3.05,1.71,-1.11,2.14
13-08-96,38:14.8,0.3,125.1,28,6.4,145,50,-47,270,56,-129,,,,,,,,
11-12-96,22:03.4,-0.2,125.3,31,5.6,235,18,123,20,75,80,,,,,,,,
14-02-97,04:23.9,-0.02,125.31,37.3,5.3,208,19,80,29,72,93,1.21e+24,23,,,,,,
28-08-98,40:58.1,-0.086,125.019,50,6.11,34,63,78,240,29,113,1.78,18,-0.64,0.95,1.39,0.46,-0.78,-0.75
17-10-99,13:40.4,0.31,125.46,41.3,5.1,231,29,141,356,72,67,5.42e+23,23,,,,,,
07-10-01,13:00.0,-0.4,125.1,33,4.9,278,29,113,72,63,78,,,,,,,,
20-03-03,16:02.4,-0.04,125.67,45,5.4,246,27,117,36,67,77,1.69e+24,24,,,,,,
22-05-03,01:35.4,-0.17,124.15,39,5.1,176,36,89,358,54,91,,,,,,,,
24-07-03,23:20.7,-0.17,124.63,31,5.8,96,54,20,354,74,142,,,,,,,,
24-09-03,03:40.4,-0.44,125.29,26,4.8,14,32,99,183,58,84,,,,,,,,
02-04-04,41:30.6,-0.116,124.852,25,5.56,19,73,68,254,27,142,2.69,17,-0.59,2.08,1.39,0.37,-1.14,-0.8
12-08-04,01:38.0,-0.34,125.09,41,5.1,248,36,125,28,61,67,,,,,,,,
