date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
28-05-77,51:48.4,-1.909,120.486,35.0,6.12,33,86,167,123,77,4,1.85,18.0,-1.76,0.3,0.23,0.27,0.73,1.53,7
27-11-77,33:45.9,-0.808,120.653,35.0,5.84,310,65,-140,201,55,-31,7.15,17.0,5.95,0.21,-3.23,4.47,-2.3,-2.72,7
03-01-93,23:34.5,-1.562,119.699,25.0,5.67,160,83,19,68,72,173,3.93,17.0,-3.38,-1,1.51,0.13,-2.71,1.88,7
03-01-93,23:41.8,-1.17,120.08,48.4,5.7,68,72,173,160,83,19,3.93e+24,24.0,,,,,,,7
19-05-95,29:58.5,-1.1,120.2,30.0,5.8,129,29,-58,274,65,-160,,,,,,,,,7
03-06-97,23:55.1,-1.95,120.33,42.1,5.4,287,46,-59,67,52,-118,1.5e+24,24.0,,,,,,,7
10-10-98,32:23.4,-0.8,120.1,28.0,5.5,355,31,35,235,73,116,,,,,,,,,7
10-10-98,29:04.5,-0.3,119.8,33.0,6.0,359,34,41,233,69,117,,,,,,,,,7
28-12-00,06:46.5,-0.49,119.95,20.0,4.5,108,54,-150,359,66,-40,,,,,,,,,7
28-12-00,06:54.2,-0.62,120.25,27.2,5.4,108,54,-150,359,66,-40,1.42e+24,24.0,,,,,,,7
30-11-01,22:07.5,-1.161,119.901,38.3,5.18,170,50,12,72,81,140,7.49,16.0,-3.43,-1.96,0.16,6.02,-3.98,3.27,7
30-11-01,22:08.8,-1.34,120.51,38.3,5.2,170,50,12,72,81,140,7.49e+23,23.0,,,,,,,7
14-02-02,14:26.9,-1.776,120.215,23.0,5.05,221,64,175,313,86,26,4.7,16.0,-3.87,0.7,-0.57,-2.26,0.29,4.45,7
30-05-02,45:17.3,-1.545,119.61,35.8,5.24,9,20,49,232,75,104,9.18,16.0,-3.76,-4.31,4.5,-6.36,-2.79,-0.74,7
01-07-02,11:07.8,-0.95,120.45,15.0,5.3,271,34,-97,99,56,-86,1.15e+24,24.0,,,,,,,7
01-07-02,11:05.5,-1.485,120.191,15.0,5.31,271,34,-97,99,56,-86,1.15,17.0,-0.03,0.12,-1.03,-0.44,-0.1,1.07,7
02-11-04,48:17.2,-0.96,119.57,26.5,4.9,351,63,-21,91,71,-151,2.87e+23,23.0,,,,,,,7
23-01-05,59:43.7,-1.101,120.043,15.0,5.26,76,52,-151,327,68,-42,0.99,17.0,-0.31,-0.36,-0.53,0.15,-0.6,0.84,7
23-01-05,10:12.9,-1.19,120.013,10.0,6.24,321,61,-59,90,41,-133,2.8,18.0,-0.22,-1.1,-1.9,0.51,-1.62,2.13,7
05-04-05,43:31.0,-1.04,120.62,28.1,4.8,90,44,-91,270,46,-90,1.72e+23,23.0,,,,,,,7
09-07-05,59:14.3,-1.227,119.998,10.0,5.88,320,64,-53,80,44,-141,0.8,18.0,-0.19,-0.31,-0.49,0.16,-0.42,0.69,7
03-01-06,00:17.3,-0.24,119.94,12.0,5.0,89,75,-170,356,80,-15,4.02e+23,23.0,,,,,,,7
21-08-08,30:46.2,-0.338,119.63,35.0,5.04,230,47,125,4,53,58,4.59,16.0,-3.46,1.15,3.77,-1.41,-2.16,-0.32,7
02-03-09,03:41.5,-1.105,119.843,20.0,5.56,309,50,-87,125,40,-93,2.7,17.0,0.77,-0.32,-2.47,0.3,-1.56,1.7,7
08-01-10,15:25.1,-0.5,120.0,19.9,4.8,73,65,-179,343,89,-25,2.25e+23,23.0,,,,,,,7
12-05-10,07:53.0,-1.25,120.09,11.0,5.1,336,68,-16,73,75,-157,,,,,,,,,7
08-01-11,15:13.0,-0.85,119.78,23.0,5.3,73,74,-178,343,88,-16,,,,,,,,,7
19-12-11,23:25.0,-1.17,119.48,10.0,5.6,17,21,72,216,70,97,,,,,,,,,7
08-02-12,52:23.9,-0.35,119.93,12.7,4.8,250,62,-161,151,73,-30,1.85e+23,23.0,,,,,,,7
18-08-12,41:53.0,-1.21,120.08,10.0,6.2,339,83,-5,70,85,-173,,,,,,,,,7
30-06-13,04:20.8,-0.64,119.8,28.2,4.9,330,38,-19,75,79,-126,2.78e+23,23.0,,,,,,,7
23-02-14,06:52.2,-1.097,120.248,24.8,5.4,114,28,-79,282,63,-96,1.56,17.0,0.03,-0.14,-1.22,0.9,-0.41,1.18,7
15-07-14,38:00.6,-0.17,120.02,39.7,4.9,147,32,54,8,65,110,3.23e+23,23.0,,,,,,,7
07-09-16,32:40.0,-0.952,120.418,18.1,5.27,159,38,-22,267,76,-126,1.01,17.0,-0.21,-0.05,-0.37,0.69,-0.6,0.59,7
20-04-17,54:01.5,-1.14,120.08,21.0,4.8,63,67,-159,324,71,-24,1.73e+23,23.0,,,,,,,7
29-05-17,35:23.2,-1.297,120.427,16.8,6.58,277,57,-98,111,34,-78,0.94,19.0,-0.11,-0.01,-0.77,0.38,-0.26,0.89,7
31-05-17,42:05.4,-1.01,120.69,17.9,4.9,130,65,2,39,88,154,3.13e+23,23.0,,,,,,,7
02-06-17,59:17.0,-1.25,120.48,18.1,4.9,139,59,-29,245,66,-146,2.6e+23,23.0,,,,,,,7
02-11-17,02:15.4,-1.29,120.23,14.8,4.9,268,30,-143,145,72,-65,3.1e+23,23.0,,,,,,,7
25-11-17,14:50.9,-1.328,119.94,20.0,5.02,64,74,-179,334,89,-16,4.32,16.0,-2.82,-0.91,-0.83,0.72,-2.62,3.65,7
25-11-17,11:24.6,-1.314,120.013,19.1,5.07,67,84,178,157,88,6,5.0,16.0,-2.98,-0.41,-1.18,0.61,-3.44,4.16,7
14-02-18,28:55.1,-1.34,120.48,26.8,4.8,275,38,-97,104,53,-85,2.04e+23,23.0,,,,,,,7
21-09-18,20:33.3,-0.78,119.67,30.2,4.9,7,34,56,226,62,111,2.52e+23,23.0,,,,,,,7
