latitude,longitude,depth,strike,dip,rake
-2.704,122.014,20,221,82,110
-2.668,121.879,38,213,70,158
-2.608,122.471,45,15,85,-166
-2.963,122.236,35.2,104,24,-12
-2.65,121.94,15,121,59,-4
-2.59,121.85,10,118,44,-1
-2.63,121.87,16.4,129,54,-8
-2.618,121.939,15,111,54,3
-2.67,122.02,10,132,68,2
-2.63,122.02,12,111,54,3
-2.8,122.56,27.4,125,62,-11
-2.928,122.383,19.8,38,81,-158
-2.76,122.15,16,119,41,8
-2.62,121.81,15.7,129,45,3
-2.6,121.65,12,129,72,-5
-2.68,122.16,12,115,32,7
-2.66,122.25,13.2,95,32,13
-2.59,122.51,29.2,69,43,109
-2.72,122.34,12,100,76,2
