// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		-0.0100	123.3900	220.00	36.00	268.07	28.39	Rev	-126.00	
2		-0.5610	123.3270	357.00	61.00	128.20	53.62	Rev	-67.00	
3		-0.1700	123.3800	348.00	77.00	349.58	6.82	Sin	7.00	
4		-0.7000	123.3000	266.00	31.00	288.69	13.05	Dex	-154.00	
5		-0.5000	123.1000	226.00	29.00	341.89	26.50	Rev	-67.00	
6		-0.2000	123.4000	233.00	56.00	257.36	31.45	Dex	-141.00	
7		-0.5980	123.1900	36.00	43.00	200.32	14.15	Sin	-21.00	
8		-0.6830	123.4240	91.00	74.00	269.62	4.81	Dex	175.00	
9		-0.4100	123.1100	171.00	51.00	312.15	37.76	Rev	-52.00	
10		-0.6400	123.3600	281.00	47.00	329.62	38.82	Rev	-121.00	
11		-0.3720	123.2940	163.00	59.00	323.17	29.45	Sin	-35.00	
12		-0.4480	123.3100	178.00	52.00	320.76	37.76	Rev	-51.00	
13		-0.4100	123.2300	21.00	43.00	88.31	40.71	Rev	-107.00	
14		-0.4900	123.5400	168.00	55.00	324.62	29.54	Sin	-37.00	
15		-0.3970	123.2480	168.00	55.00	324.62	29.54	Sin	-37.00	
16		-0.5200	122.7420	177.00	63.00	186.38	17.74	Sin	20.00	
17		-0.2800	123.0500	207.00	44.00	359.41	24.10	Sin	-36.00	
18		-0.1400	123.0200	59.00	40.00	105.52	31.33	Rev	-126.00	
19		-0.2300	123.0100	198.00	40.00	302.24	39.12	Rev	-79.00	
20		-0.1600	123.7200	268.00	27.00	332.53	24.70	Rev	-113.00	
21		-0.6750	123.8630	224.00	73.00	36.24	23.84	Dex	155.00	
22		-0.5900	122.7200	166.00	53.00	170.83	6.38	Sin	8.00	
23		-0.5000	123.2100	144.00	67.00	315.03	20.17	Sin	-22.00	
24		-0.7200	123.6200	158.00	40.00	308.00	22.76	Sin	-37.00	
