latitude,longitude,depth,strike,dip,rake
1.125,120.308,36.9,85,83,41
0.993,120.383,30.5,263,82,-90
0.58,119.91,45,344,18,-6
1.159,120.977,30,278,79,-99
1.196,120.8,28.3,290,79,-104
1.181,120.798,27.7,290,74,-125
0.84,119.61,49,319,21,56
1.076,120.139,29,260,69,-114
0.964,120.09,29.6,16,21,-21
0.802,120.356,37.2,285,56,18
0.722,119.965,35,165,72,-161
0.66,119.88,26.7,53,57,8
0.937,120.169,36.7,148,20,-124
0.945,120.162,21.6,257,77,-95
1.05,120.158,14.9,257,76,-94
1.072,120.373,29.9,58,22,-66
0.86,120.26,0,63,14,-71
1.27,120.35,21,63,14,-71
1.036,120.24,25,262,76,-95
1.027,120.458,28.4,264,77,-96
1.161,120.561,28.1,70,25,-68
0.9,120.5,33,70,25,-68
1.36,120.35,20,57,16,-71
0.971,120.219,28.6,256,75,-95
1,120.2,33,57,16,-71
1.008,120.197,27.3,40,21,-50
1.69,120.26,43.4,40,21,-50
1.026,120.109,29.5,95,21,-82
1.02,120.243,34.3,257,74,-97
1.43,120.32,18,52,17,-66
1.194,120.668,30,267,88,-93
1.2,120,16,49,19,-56
1.219,120.84,30,45,37,76
1.033,120.165,15,262,76,-97
0.692,119.836,35,100,37,165
0.454,119.833,17,84,71,141
1.089,120.438,41.8,281,75,-83
0.946,120.231,22,272,16,59
0.959,120.145,30.6,44,18,-61
1.5,120,33,116,68,21
1.165,120.866,25,262,68,-92
1.18,120.975,38.1,87,24,-96
1.28,120.75,10,87,24,-96
1.033,120.062,20,43,18,-63
1.033,120.034,24.5,63,36,-79
1.026,120.005,25.7,64,17,-84
1.31,119.97,25,60,15,-82
1.23,119.94,28.6,47,19,-77
1.22,119.95,25,66,10,-83
