// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		4.9500	125.2700	19.00	26.00	62.95	18.70	Rev	-133.00	
2		4.4060	125.1580	344.00	49.00	113.02	41.79	Rev	-62.00	
3		4.9300	125.3700	331.00	28.00	74.54	27.34	Rev	-78.00	
4		4.7800	125.6500	329.00	25.00	65.62	24.85	Rev	-84.00	
5		4.9700	125.3800	340.00	20.00	68.94	20.00	Rev	-91.00	
6		4.9050	125.2800	340.00	20.00	68.94	20.00	Rev	-91.00	
7		4.9500	125.2200	315.00	27.00	56.19	26.56	Rev	-80.00	
8		4.9710	125.3120	164.00	62.00	249.75	61.93	Rev	-92.00	
9		4.7220	125.3310	28.00	22.00	107.23	21.65	Rev	-100.00	
10		4.9000	125.3800	337.00	85.00	337.35	3.98	Sin	4.00	
11		4.6100	125.0200	330.00	76.00	331.46	5.82	Dex	-174.00	
12		4.5500	124.9500	11.00	61.00	14.90	6.99	Dex	-172.00	
13		4.7270	125.1940	19.00	63.00	22.65	7.12	Dex	-172.00	
14		4.6700	125.0100	10.00	71.00	11.30	3.78	Sin	4.00	
15		4.7320	125.1530	102.00	89.00	281.69	17.00	Dex	163.00	
16		4.6590	125.0040	50.00	75.00	51.30	4.83	Dex	-175.00	
17		4.8500	125.1200	192.00	39.00	297.30	37.99	Rev	-78.00	
18		4.7200	125.3000	352.00	21.00	80.93	21.00	Rev	-91.00	
