Cluster,Shape Ratio
Before,0.585261956
Before,0.608438504
Before,0.407165865
Before,0.53451055
Before,0.563786644
Before,0.515365813
Before,0.383531384
Before,0.621794569
Before,0.449935531
Before,0.438061761
Before,0.231008751
Before,0.489208044
Before,0.372470241
Before,0.604074732
Before,0.410559136
Before,0.479446039
Before,0.533715165
Before,0.496294026
Before,0.309028523
Before,0.481750998
Before,0.399738398
Before,0.471921123
Before,0.464971391
Before,0.424122787
Before,0.339393565
Before,0.624410789
Before,0.424664478
Before,0.64391749
Before,0.428114244
Before,0.4987517
Before,0.327970753
Before,0.29603953
Before,0.579763648
Before,0.640443195
Before,0.319941531
Before,0.598519413
Before,0.45055384
Before,0.457826863
Before,0.45038813
Before,0.304838078
Before,0.484465629
Before,0.66237851
Before,0.511549929
Before,0.365515982
Before,0.477401788
Before,0.439859396
Before,0.446486526
Before,0.340890374
Before,0.540073726
Before,0.495603298
Before,0.37033599
Before,0.44576484
Before,0.456562886
Before,0.431483768
Before,0.674725795
Before,0.257168062
Before,0.379381732
Before,0.621456493
Before,0.490186652
Before,0.334084265
Before,0.425622434
Before,0.56303319
Before,0.499327794
Before,0.425422887
Before,0.545954341
Before,0.459883837
Before,0.592008744
Before,0.253674807
Before,0.514243122
Before,0.482098095
Before,0.34667306
Before,0.526375276
Before,0.492417323
Before,0.368821733
Before,0.347636108
Before,0.506139217
Before,0.650984036
Before,0.377114013
Before,0.557425229
Before,0.423377967
Before,0.418676516
Before,0.526187898
Before,0.484803839
Before,0.603668758
Before,0.298836911
Before,0.491033949
Before,0.603931054
Before,0.48732803
Before,0.479614206
Before,0.640391862
Before,0.441152779
Before,0.301450721
Before,0.722199113
Before,0.471277242
Before,0.38780616
Before,0.482299386
Before,0.576579115
Before,0.619411329
Before,0.582857955
Before,0.6425966
Before,0.618340901
Before,0.439716966
Before,0.264856756
Before,0.535334316
Before,0.522599455
Before,0.606277691
Before,0.583423394
Before,0.51168129
Before,0.397668312
Before,0.482867233
Before,0.501738585
Before,0.455453474
Before,0.464159288
Before,0.536202047
Before,0.462132238
Before,0.329532364
Before,0.388237977
Before,0.336073044
Before,0.580833358
Before,0.404284338
Before,0.608279758
Before,0.495631594
Before,0.544948408
Before,0.490096412
Before,0.547382954
Before,0.623629531
Before,0.467247996
Before,0.453104234
Before,0.538727225
Before,0.47910965
Before,0.468347412
Before,0.405559093
Before,0.564374207
Before,0.541384781
Before,0.319305393
Before,0.621343809
Before,0.427813321
Before,0.488287801
Before,0.622856505
Before,0.568434919
Before,0.325413544
Before,0.532471364
Before,0.345278288
Before,0.190845028
Before,0.3820216
Before,0.509668645
Before,0.544902856
Before,0.384759882
Before,0.412048386
Before,0.548148469
Before,0.356996787
Before,0.474198169
Before,0.493709785
Before,0.504792798
Before,0.386720988
Before,0.439652421
Before,0.600190905
Before,0.458274178
Before,0.287599584
Before,0.565003131
Before,0.377527334
Before,0.329802408
Before,0.487492589
Before,0.117029753
Before,0.435188066
Before,0.368157769
Before,0.484528568
Before,0.387418754
Before,0.478756696
Before,0.308637174
Before,0.595309142
Before,0.487701398
Before,0.508127225
Before,0.42719673
Before,0.676161286
Before,0.602136374
Before,0.277244681
Before,0.319260991
Before,0.543100924
Before,0.425764189
Before,0.329537235
Before,0.634421152
Before,0.628552376
Before,0.542685213
Before,0.448659783
Before,0.414793467
Before,0.593724493
Before,0.591098682
Before,0.52299413
Before,0.469954954
Before,0.499161379
Before,0.388310754
Before,0.407327668
Before,0.311592436
Before,0.402933367
Before,0.258564451
Before,0.325813607
Before,0.25232999
Before,0.354240757
Before,0.264063484
Before,0.310921564
Before,0.43271408
Before,0.521655188
Before,0.498335875
Before,0.585326997
Before,0.434023978
Before,0.581490709
Before,0.460477557
Before,0.465914711
Before,0.386471993
Before,0.390513301
Before,0.583444751
Before,0.377143479
Before,0.488710829
Before,0.523819506
Before,0.641267905
Before,0.292315533
Before,0.450999679
Before,0.477555816
Before,0.334828061
Before,0.531438622
Before,0.471900518
Before,0.330859146
Before,0.617689482
Before,0.483860523
Before,0.4491968
Before,0.583012623
Before,0.445505761
Before,0.347994441
Before,0.385470397
Before,0.418642576
Before,0.453110689
Before,0.60927942
Before,0.512342162
Before,0.550040253
Before,0.437162277
Before,0.4156493
Before,0.477690193
Before,0.674578987
Before,0.380048294
Before,0.556818595
Before,0.522040424
Before,0.388285554
Before,0.430049273
Before,0.459238531
Before,0.558268777
Before,0.507091324
Before,0.630966559
Before,0.558960098
Before,0.367981477
