Cluster,Shape Ratio
Before,0.640178442
Before,0.453540422
Before,0.424895845
Before,0.616226289
Before,0.662137867
Before,0.428398562
Before,0.448943857
Before,0.645870843
Before,0.377148956
Before,0.617134525
Before,0.294926583
Before,0.605946816
Before,0.586282739
Before,0.651546232
Before,0.401621886
Before,0.73764817
Before,0.30983833
Before,0.707528032
Before,0.644538535
Before,0.553440955
Before,0.574960458
Before,0.458979933
Before,0.587357297
Before,0.499751021
Before,0.713680266
Before,0.426185898
Before,0.468057272
Before,0.325608445
Before,0.661675231
Before,0.524090904
Before,0.367139312
Before,0.565456928
Before,0.594302332
Before,0.446772264
Before,0.719861694
Before,0.525667836
Before,0.728388005
Before,0.483394542
Before,0.516975403
Before,0.624582402
Before,0.388447957
Before,0.533093688
Before,0.190205372
Before,0.62962859
Before,0.511999766
Before,0.649024627
Before,0.522075946
Before,0.645476991
Before,0.650143365
Before,0.651285037
Before,0.438711282
Before,0.706923587
Before,0.561452467
Before,0.533170086
Before,0.512864437
Before,0.439841283
Before,0.368297583
Before,0.377503405
Before,0.585439644
Before,0.716828752
Before,0.45776736
Before,0.718259391
Before,0.562652789
Before,0.700098306
Before,0.463814706
Before,0.528257297
Before,0.501435603
Before,0.543800749
Before,0.682195034
Before,0.553132197
Before,0.600628455
Before,0.562116083
Before,0.685367826
Before,0.55721681
Before,0.445516684
Before,0.594701174
Before,0.604060946
Before,0.519955273
Before,0.733453945
Before,0.561462437
Before,0.259873936
Before,0.636694402
Before,0.708717802
Before,0.581113823
Before,0.501030622
Before,0.503628756
Before,0.270826176
Before,0.556132537
Before,0.469896026
Before,0.318836499
Before,0.676560454
Before,0.584734081
Before,0.568614049
Before,0.556228419
Before,0.715461344
Before,0.453046191
Before,0.618333148
Before,0.617845109
Before,0.610968172
Before,0.563300194
Before,0.543378971
Before,0.646512033
Before,0.731308502
Before,0.567301419
Before,0.571643555
Before,0.551227478
Before,0.626304066
Before,0.600796638
Before,0.49389996
Before,0.379210445
Before,0.492478027
Before,0.561699649
Before,0.516168287
Before,0.589162145
Before,0.619752073
Before,0.638998866
Before,0.546747342
Before,0.479326195
Before,0.662127573
Before,0.459536276
Before,0.631062722
Before,0.576785857
Before,0.738712324
Before,0.268703856
Before,0.340731777
Before,0.647111139
Before,0.508255624
Before,0.671199151
Before,0.429480912
Before,0.606151426
Before,0.554174789
Before,0.662327635
Before,0.689486394
Before,0.51020418
Before,0.497385879
Before,0.701965182
Before,0.483417871
Before,0.692833941
Before,0.590474498
Before,0.573849077
Before,0.740244651
Before,0.598990388
Before,0.268249912
Before,0.371606882
Before,0.51360312
Before,0.464552555
Before,0.449188879
Before,0.572180784
Before,0.54784682
Before,0.40898906
Before,0.53751687
Before,0.39361437
Before,0.598379897
Before,0.590636724
Before,0.517522377
Before,0.512436204
Before,0.666937845
Before,0.601932529
Before,0.448849534
Before,0.641858413
Before,0.609377081
Before,0.624024084
Before,0.598335558
Before,0.577133043
Before,0.56546916
Before,0.664018051
Before,0.515267802
Before,0.629617302
Before,0.47673952
Before,0.476666847
Before,0.49115332
Before,0.594796666
Before,0.581403008
Before,0.619189692
Before,0.377718252
Before,0.20467115
Before,0.686202995
Before,0.539795968
Before,0.616174142
Before,0.718779043
Before,0.702323635
Before,0.618070514
Before,0.530094415
Before,0.391696208
Before,0.445177831
Before,0.491971574
Before,0.559337774
Before,0.561235759
Before,0.53236433
Before,0.636908538
Before,0.595823953
Before,0.563783217
Before,0.577124538
Before,0.607270824
Before,0.430574229
Before,0.697977442
Before,0.601789411
Before,0.33767199
Before,0.578206934
Before,0.515177085
Before,0.49230105
Before,0.535018296
Before,0.513145694
Before,0.563617369
Before,0.526520477
Before,0.607180748
Before,0.511439865
Before,0.586367203
Before,0.565928129
Before,0.589767689
Before,0.61209834
Before,0.318456625
Before,0.551081132
Before,0.598059896
Before,0.63526328
Before,0.629160615
Before,0.500896445
Before,0.318771271
Before,0.608954206
Before,0.501394309
Before,0.552911449
Before,0.579293851
Before,0.421045719
Before,0.621161034
Before,0.559652002
Before,0.356436314
Before,0.385262539
Before,0.563153545
Before,0.615026328
Before,0.561733006
Before,0.616243364
Before,0.444710571
Before,0.542807616
Before,0.493404808
Before,0.411494708
Before,0.532377187
Before,0.496023274
Before,0.398479061
Before,0.643251736
Before,0.598185239
Before,0.49172688
Before,0.589565823
Before,0.485529049
Before,0.603423046
Before,0.505904456
Before,0.644309243
Before,0.518734569
Before,0.526558928
Before,0.403829843
Before,0.553700818
