date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
2012-11-08,09:37:22.000,-0.28,119.73,7.7,4.43,228,79,101,4,15,47,0,B,0,0,0,0,0,0
2011-06-13,08:40:18.000,-0.21,119.86,8.48,5.23,89,79,-159,354,70,-12,0,B,0,0,0,0,0,0
2018-03-01,05:14:27.000,-0.23,119.88,13.11,4.83,177,45,-18,280,77,-133,0,A,0,0,0,0,0,0
2018-09-28,07:50:44.000,-0.19,119.77,6.34,4.7,183,59,-4,276,87,-149,0,B,0,0,0,0,0,0
2018-03-01,05:30:28.000,-0.22,119.87,18.93,4.12,217,37,86,42,53,93,0,D,0,0,0,0,0,0
2014-07-15,02:37:59.000,-0.32,119.74,27.96,5.23,193,65,114,326,34,49,0,B,0,0,0,0,0,0
2018-09-28,08:25:00.000,-0.34,119.8,7.02,5.3,102,86,179,192,89,4,0,B,0,0,0,0,0,0
2011-08-20,11:35:32.000,-0.24,119.93,8.52,4.33,326,29,-64,117,64,-104,0,C,0,0,0,0,0,0
2015-06-15,11:03:47.000,-0.26,119.87,10.71,4.22,81,84,149,174,60,7,0,C,0,0,0,0,0,0
2010-02-17,01:49:14.000,-0.53,119.83,14.8,4.93,97,69,166,192,77,22,0,B,0,0,0,0,0,0
2011-10-13,11:25:08.000,-0.55,119.73,9.55,4.83,289,58,20,188,73,146,0,B,0,0,0,0,0,0
2011-02-09,11:40:08.000,-0.58,119.72,10.45,4.63,318,60,112,99,37,57,0,D,0,0,0,0,0,0
2016-06-02,22:11:01.000,-0.6,119.84,5.85,4.43,32,41,56,254,57,116,0,C,0,0,0,0,0,0
2010-04-11,17:19:24.000,-0.56,119.82,35.99,4.33,270,83,161,3,71,7,0,B,0,0,0,0,0,0
2016-03-23,10:49:46.000,-0.49,119.97,17.36,4.43,282,64,-118,153,37,-46,0,B,0,0,0,0,0,0
2010-11-20,11:50:32.000,-0.49,119.91,10,4.33,249,56,-85,59,35,-98,0,B,0,0,0,0,0,0
2016-01-13,06:23:19.000,-0.53,119.9,8.13,4.22,340,73,-34,81,58,-159,0,D,0,0,0,0,0,0
2010-12-20,20:11:17.000,-1.76,120.17,20.55,4.63,115,64,-1,205,89,-154,0,B,0,0,0,0,0,0
2014-08-07,13:51:34.000,-1.75,120.03,5.65,4.63,38,76,-179,308,89,-14,0,C,0,0,0,0,0,0
2010-12-20,20:09:37.000,-1.74,120.14,7.77,4.43,135,26,18,28,82,115,0,C,0,0,0,0,0,0
2017-02-07,08:52:04.000,-1.72,120.12,32.93,4.22,184,45,61,43,52,116,0,B,0,0,0,0,0,0
2010-05-15,14:28:47.000,-1.24,119.96,10.94,4.33,225,89,-133,134,43,-1,0,B,0,0,0,0,0,0
2010-09-07,17:22:30.000,-0.64,119.81,8.61,4.73,324,64,8,230,83,154,0,B,0,0,0,0,0,0
2010-12-18,11:23:12.000,-1.12,119.93,8.56,4.63,326,65,-44,79,51,-147,0,B,0,0,0,0,0,0
2011-01-08,08:15:15.000,-1.08,119.87,8.75,5.13,95,48,-172,359,84,-42,0,D,0,0,0,0,0,0
2011-03-21,11:49:17.000,-0.64,119.83,7.95,4.22,304,39,-155,193,74,-54,0,D,0,0,0,0,0,0
2012-03-19,05:04:58.000,-0.77,119.88,31.67,5.03,360,84,29,267,61,174,0,A,0,0,0,0,0,0
2012-04-02,02:19:40.000,-0.82,119.89,8.28,4.73,249,60,117,23,39,51,0,C,0,0,0,0,0,0
2017-04-20,16:54:01.000,-1.12,119.94,10.34,4.63,345,39,-21,91,77,-127,0,B,0,0,0,0,0,0
2017-06-16,23:38:57.000,-1.1,119.85,7.7,4.43,329,31,-39,94,71,-115,0,A,0,0,0,0,0,0
2018-10-03,04:44:23.000,-1.05,119.93,9.16,4.5,242,66,156,342,69,26,0,C,0,0,0,0,0,0
2018-10-03,08:50:07.000,-0.96,119.92,11.16,4.3,38,57,-91,221,33,-88,0,D,0,0,0,0,0,0
2011-12-01,12:24:08.000,-1.1,120.13,29.17,4.73,69,54,113,213,42,62,0,B,0,0,0,0,0,0
2012-08-02,18:55:13.000,-1.22,120.09,9.25,4.43,131,68,4,39,86,158,0,B,0,0,0,0,0,0
2012-08-18,07:45:01.000,-1.21,120.09,7.7,4.83,311,55,-71,100,40,-115,0,B,0,0,0,0,0,0
2015-07-23,15:47:48.000,-0.66,119.85,8.85,4.22,211,63,109,355,33,58,0,B,0,0,0,0,0,0
2015-08-15,12:32:56.000,-1.06,120.05,7.08,4.93,344,38,-26,95,75,-125,0,B,0,0,0,0,0,0
2010-05-12,23:07:54.000,-1.3,120.11,11.5,5.03,83,66,-162,345,73,-25,0,B,0,0,0,0,0,0
2015-02-09,17:06:05.000,-1.44,120.25,12.82,4.22,242,57,-154,138,68,-35,0,C,0,0,0,0,0,0
2015-12-25,00:32:58.000,-1.29,120.03,27.18,4.33,327,58,-40,81,57,-140,0,C,0,0,0,0,0,0
2017-04-29,22:16:48.000,-1.37,120.15,33.49,4.12,244,70,114,12,31,42,0,A,0,0,0,0,0,0
2013-10-22,18:17:52.000,-0.17,119.76,9.79,3.9,28,67,49,274,46,147,0,A,0,0,0,0,0,0
2016-11-27,23:40:27.000,-0.19,119.74,11.19,3.83,228,47,79,64,44,102,0,B,0,0,0,0,0,0
2016-12-19,10:38:37.000,-0.19,119.89,6.29,3.83,88,87,170,179,83,3,0,A,0,0,0,0,0,0
2017-05-10,20:04:22.000,-0.17,119.81,10.11,3.83,242,52,-111,93,43,-66,0,B,0,0,0,0,0,0
2018-09-28,07:00:01.000,-0.34,119.75,9.47,6.1,272,85,165,3,75,5,0,B,0,0,0,0,0,0
2016-03-30,10:56:40.000,-0.29,119.89,21.43,3.9,266,39,-178,175,89,-51,0,D,0,0,0,0,0,0
2017-12-06,16:42:48.000,-0.52,119.86,9.21,3.98,75,35,85,261,55,94,0,C,0,0,0,0,0,0
2016-10-08,15:40:58.000,-1.65,120.15,8.22,3.83,45,46,65,258,49,113,0,D,0,0,0,0,0,0
2016-02-19,01:59:33.000,-0.7,119.75,15.82,4.12,51,88,-115,316,26,-5,0,C,0,0,0,0,0,0
2010-05-31,05:07:29.000,-1.22,119.94,12.32,3.98,311,37,-55,90,61,-113,0,D,0,0,0,0,0,0
2010-05-16,08:40:21.000,-1.23,120.01,13.65,3.9,147,83,24,54,66,173,0,B,0,0,0,0,0,0
2010-05-17,16:19:06.000,-1.23,119.97,12.41,3.9,228,46,138,350,61,52,0,B,0,0,0,0,0,0
2010-01-08,08:15:26.000,-0.62,119.94,14.01,5.13,179,58,-3,270,88,-148,0,C,0,0,0,0,0,0
2016-07-12,01:37:15.000,-0.98,119.96,6.48,3.83,292,36,78,126,55,98,0,D,0,0,0,0,0,0
2010-10-08,17:57:47.000,-1.28,119.96,8.91,3.98,133,34,-92,315,56,-89,0,D,0,0,0,0,0,0
2011-07-24,05:26:29.000,-1.44,119.93,9.07,3.98,171,62,44,56,52,144,0,C,0,0,0,0,0,0
2010-07-25,06:22:43.000,-1.29,120.03,9.96,3.98,55,82,58,313,33,166,0,D,0,0,0,0,0,0
2015-12-08,18:18:51.000,-1.53,120.09,6.73,3.9,259,80,-167,167,77,-10,0,C,0,0,0,0,0,0
2015-12-10,05:13:47.000,-1.56,120.1,8.28,3.83,55,33,-59,200,62,-108,0,D,0,0,0,0,0,0
2016-02-22,06:08:35.000,-1.55,120.08,5.73,3.9,175,46,45,50,60,126,0,C,0,0,0,0,0,0
2010-05-14,04:44:20.000,-1.26,120.03,6.97,3.83,61,45,-176,328,87,-45,0,B,0,0,0,0,0,0
2010-10-31,09:21:33.000,-1.33,120.07,8.53,3.98,109,74,117,222,31,33,0,C,0,0,0,0,0,0
2010-07-30,14:26:28.000,-0.35,119.95,6.2,4.12,113,81,166,206,76,9,0,B,0,0,0,0,0,0
2010-03-18,16:16:15.000,-1.64,120.6,14.18,4.73,202,76,170,295,80,15,0,B,0,0,0,0,0,0
