Cluster,Shape Ratio
After,0.267468841
After,0.57011641
After,0.320692856
After,0.147963126
After,0.418199039
After,0.339030106
After,0.341544484
After,0.328029492
After,0.076431919
After,0.323388249
After,0.454096515
After,0.278110798
After,0.232226467
After,0.505923993
After,0.123055954
After,0.313455383
After,0.264177703
After,0.342959299
After,0.343681903
After,0.598628312
After,0.231353611
After,0.388842085
After,0.535433278
After,0.178366237
After,0.458076966
After,0.506624592
After,0.402067852
After,0.417816578
After,0.386728255
After,0.216615961
After,0.335982042
After,0.318449916
After,0.510317126
After,0.123832781
After,0.319649602
After,0.298426812
After,0.206648729
After,0.497741423
After,0.155883219
After,0.381431867
After,0.239277924
After,0.302432413
After,0.382912962
After,0.155567055
After,0.333386745
After,0.430052924
After,0.253746661
After,0.250754074
After,0.11647527
After,0.360272796
After,0.328593341
After,0.144543479
After,0.338122295
After,0.543372631
After,0.438873554
After,0.354823371
After,0.118386267
After,0.219565884
After,0.238344289
After,0.250028844
After,0.324534281
After,0.538802533
After,0.171212886
After,0.297142913
After,0.230139623
After,0.30714792
After,0.358460067
After,0.272785628
After,0.541442852
After,0.463919115
After,0.232130545
After,0.163818992
After,0.152216825
After,0.261690849
After,0.314276067
After,0.443913577
After,0.316613117
After,0.314916581
After,0.152770852
After,0.442718906
After,0.468107577
After,0.35637929
After,0.328229935
After,0.38797866
After,0.324830803
After,0.372948809
After,0.721558371
After,0.409634748
After,0.247066393
After,0.280438642
After,0.36451569
After,0.436367066
After,0.237029616
After,0.428092199
After,0.307733479
After,0.473371561
After,0.435709852
After,0.090607328
After,0.35054934
After,0.373958668
After,0.315995867
After,0.180217828
After,0.407171646
After,0.113245857
After,0.259429287
After,0.367036312
After,0.483565936
After,0.444467868
After,0.284534779
After,0.312988268
After,0.345230108
After,0.275520389
After,0.181890029
After,0.160921817
After,0.357732407
After,0.431703203
After,0.280594948
After,0.375488256
After,0.474776737
After,0.318134534
After,0.241592477
After,0.335841833
After,0.286836852
After,0.473960997
After,0.533393373
After,0.221380676
After,0.278247771
After,0.238627635
After,0.444845085
After,0.209487575
After,0.226081801
After,0.217851941
After,0.109474029
After,0.252089056
After,0.390928418
After,0.502620298
After,0.491410395
After,0.329569343
After,0.413587889
After,0.330521474
After,0.207544821
After,0.255181334
After,0.440077453
After,0.174816087
After,0.525324951
After,0.3483107
After,0.317330826
After,0.295161707
After,0.286539778
After,0.160281329
After,0.279400836
After,0.324474045
After,0.592190075
After,0.358581262
After,0.427654788
After,0.242348816
After,0.345801524
After,0.402653069
After,0.305543355
After,0.217845297
After,0.180789371
After,0.351491183
After,0.309216517
After,0.495394163
After,0.346087605
After,0.349146215
After,0.256353697
After,0.184404406
After,0.21547569
After,0.269980386
After,0.428692736
After,0.340902429
After,0.287159718
After,0.279265275
After,0.455185635
After,0.504691626
After,0.250440469
After,0.345382264
After,0.273547386
After,0.551637316
After,0.413310816
After,0.319575441
After,0.459413718
After,0.303968951
After,0.27595518
After,0.458298503
After,0.457984849
After,0.335225002
After,0.367571529
After,0.319817322
After,0.179068853
After,0.18655028
After,0.133984157
After,0.199951583
After,0.233073649
After,0.25012756
After,0.379784143
After,0.27540096
After,0.374493851
After,0.142984648
After,0.273015164
After,0.133841854
After,0.427862592
After,0.309425215
After,0.467156446
After,0.516964095
After,0.492462321
After,0.287524512
After,0.268046544
After,0.314617388
After,0.255626852
After,0.375553795
After,0.536628945
After,0.527081917
After,0.51465351
After,0.222463964
After,0.128352577
After,0.334929249
After,0.370458329
After,0.28801289
After,0.324482841
After,0.41407048
After,0.130401809
After,0.083831394
After,0.192549808
After,0.252643523
After,0.294255699
After,0.213432268
After,0.223361924
After,0.287089835
After,0.34715159
After,0.366525383
After,0.32510339
After,0.097370332
After,0.412235156
After,0.337715047
After,0.502328024
After,0.276524447
After,0.315455804
After,0.257215505
After,0.256047081
After,0.235650957
After,0.219199303
After,0.349574122
After,0.297224386
After,0.331491195
After,0.415631002
After,0.398467311
After,0.406099227
After,0.404467796
