Cluster,Shape Ratio
Before,0.480146606
Before,0.556463684
Before,0.512103487
Before,0.658984389
Before,0.577190531
Before,0.462301946
Before,0.50993436
Before,0.529503707
Before,0.45699476
Before,0.465030932
Before,0.544163511
Before,0.46983627
Before,0.66713342
Before,0.432013411
Before,0.413943922
Before,0.708793126
Before,0.413146947
Before,0.644343565
Before,0.417207614
Before,0.375298811
Before,0.581861209
Before,0.452595417
Before,0.748826894
Before,0.605497515
Before,0.537494333
Before,0.528778615
Before,0.556318014
Before,0.480227478
Before,0.587212112
Before,0.431085254
Before,0.451451374
Before,0.319440205
Before,0.665826836
Before,0.467107577
Before,0.620928628
Before,0.600147471
Before,0.560530727
Before,0.660244468
Before,0.332566653
Before,0.65473369
Before,0.655507657
Before,0.452293065
Before,0.640951287
Before,0.616846254
Before,0.51235384
Before,0.571214923
Before,0.616284721
Before,0.605367107
Before,0.577874169
Before,0.597159477
Before,0.300857992
Before,0.416063136
Before,0.298095472
Before,0.664873984
Before,0.680975606
Before,0.487199533
Before,0.474946266
Before,0.353605581
Before,0.62275481
Before,0.483852306
Before,0.459084475
Before,0.582060916
Before,0.502927254
Before,0.588691841
Before,0.552307306
Before,0.51606052
Before,0.501943231
Before,0.580199756
Before,0.695240366
Before,0.483340487
Before,0.605777749
Before,0.55610073
Before,0.581590635
Before,0.473114459
Before,0.542971008
Before,0.606888459
Before,0.405893854
Before,0.458915334
Before,0.524156236
Before,0.516680864
Before,0.317721527
Before,0.478778237
Before,0.543682056
Before,0.46148716
Before,0.553825407
Before,0.453544708
Before,0.57422289
Before,0.610009338
Before,0.462359591
Before,0.473230495
Before,0.498080148
Before,0.496399141
Before,0.53336598
Before,0.501533574
Before,0.574823991
Before,0.557145646
Before,0.61633428
Before,0.590768349
Before,0.657211449
Before,0.41475525
Before,0.452875163
Before,0.650802847
Before,0.540927816
Before,0.518231038
Before,0.458738092
Before,0.601421176
Before,0.605221134
Before,0.413173505
Before,0.266402003
Before,0.418914704
Before,0.321441932
Before,0.298352217
Before,0.647663045
Before,0.489805557
Before,0.371153545
Before,0.628335858
Before,0.462140289
Before,0.621947234
Before,0.331347359
Before,0.610377635
Before,0.609841702
Before,0.62203931
Before,0.484044955
Before,0.514390744
Before,0.438168539
Before,0.330345252
Before,0.49751684
Before,0.532151867
Before,0.618314029
Before,0.408909119
Before,0.526381287
Before,0.52856564
Before,0.553347109
Before,0.698866039
Before,0.462955399
Before,0.363901427
Before,0.605811154
Before,0.642593277
Before,0.498385254
Before,0.509803127
Before,0.607308258
Before,0.349320553
Before,0.525329937
Before,0.460854936
Before,0.404262535
Before,0.437889037
Before,0.65790972
Before,0.553707765
Before,0.353079069
Before,0.548424014
Before,0.407684198
Before,0.418791457
Before,0.522733083
Before,0.431643064
Before,0.523018508
Before,0.583936434
Before,0.549588719
Before,0.560194717
Before,0.574723444
Before,0.451297796
Before,0.527915482
Before,0.520301619
Before,0.491526997
Before,0.44325409
Before,0.49594133
Before,0.590359688
Before,0.477448885
Before,0.462877414
Before,0.608970536
Before,0.599606341
Before,0.473355611
Before,0.449132613
Before,0.712117315
Before,0.700812554
Before,0.479378673
Before,0.541162855
Before,0.61646748
Before,0.492631596
Before,0.451709547
Before,0.567284795
Before,0.529687469
Before,0.562531928
Before,0.682241038
Before,0.658357049
Before,0.709203982
Before,0.451717011
Before,0.526446068
Before,0.450662827
Before,0.612057641
Before,0.424317982
Before,0.448940633
Before,0.633297101
Before,0.486035221
Before,0.572238437
Before,0.547471832
Before,0.640210188
Before,0.43585984
Before,0.457853001
Before,0.401090027
Before,0.563864946
Before,0.569625861
Before,0.359320501
Before,0.482229185
Before,0.533727908
Before,0.515729208
Before,0.581959405
Before,0.484127789
Before,0.549273421
Before,0.518590376
Before,0.642311797
Before,0.400252634
Before,0.588338942
Before,0.668409727
Before,0.412454861
Before,0.589812963
Before,0.723622317
Before,0.549719687
Before,0.532710563
Before,0.74496517
Before,0.319460078
Before,0.451207666
Before,0.436766921
Before,0.627987619
Before,0.549070897
Before,0.470203282
Before,0.60526523
Before,0.521011669
Before,0.477269073
Before,0.566052734
Before,0.347285324
Before,0.377360856
Before,0.584752794
Before,0.421631463
Before,0.688472631
Before,0.497789425
Before,0.47129072
Before,0.365538746
Before,0.537705169
Before,0.550434826
Before,0.508758816
Before,0.468756687
Before,0.431713709
Before,0.220706976
Before,0.552304484
Before,0.500208364
Before,0.546662557
Before,0.417261847
Before,0.598828151
Before,0.449727409
Before,0.405086916
