Cluster,Shape Ratio
After,0.3422905
After,0.254873048
After,0.282173801
After,0.302691742
After,0.19509935
After,0.428319284
After,0.3013008
After,0.436175143
After,0.270819416
After,0.428303058
After,0.208040022
After,0.331419734
After,0.213126541
After,0.17395049
After,0.17217412
After,0.317820862
After,0.396209534
After,0.20906155
After,0.297514951
After,0.305059523
After,0.388919656
After,0.199218686
After,0.295977709
After,0.21749319
After,0.015923718
After,0.374058664
After,0.407255024
After,0.396357094
After,0.384750309
After,0.259834869
After,0.300540268
After,0.223605068
After,0.290662774
After,0.484663082
After,0.427505907
After,0.160281358
After,0.44020425
After,0.594615998
After,0.569673409
After,0.486076507
After,0.434101949
After,0.476331627
After,0.360943252
After,0.35840796
After,0.508979432
After,0.387463274
After,0.503522714
After,0.304327625
After,0.627552899
After,0.433409314
After,0.310386247
After,0.302773043
After,0.403214884
After,0.395487111
After,0.325248275
After,0.384984105
After,0.319413219
After,0.178635287
After,0.339651539
After,0.13183963
After,0.363105065
After,0.150606439
After,0.320873093
After,0.332103542
After,0.393697698
After,0.429528886
After,0.346025544
After,0.465788317
After,0.407115229
After,0.269068778
After,0.432521479
After,0.395055775
After,0.522763004
After,0.48665636
After,0.267722733
After,0.305779959
After,0.39426518
After,0.491710734
After,0.228834723
After,0.359293694
After,0.478129816
After,0.238413393
After,0.352056213
After,0.425439695
After,0.247360282
After,0.23909326
After,0.502018192
After,0.291320893
After,0.52273782
After,0.439431184
After,0.359912751
After,0.473555707
After,0.241581863
After,0.166906112
After,0.482753487
After,0.463348616
After,0.389433145
After,0.161720004
After,0.131053508
After,0.223493178
After,0.465534129
After,0.20755184
After,0.32230472
After,0.310616018
After,0.517977681
After,0.34917756
After,0.090002301
After,0.464787275
After,0.138982158
After,0.253236198
After,0.319372631
After,0.486348354
After,0.41924503
After,0.360277212
After,0.092006301
After,0.478010203
After,0.216743095
After,0.281823822
After,0.336398675
After,0.277300425
After,0.266355845
After,0.41536152
After,0.429386847
After,0.185615189
After,0.203595109
After,0.60677368
After,0.68185422
After,0.234085522
After,0.197254547
After,0.416656201
After,0.625134289
After,0.314167613
After,0.501474759
After,0.315155014
After,0.280012688
After,0.340634835
After,0.329623384
After,0.422454719
After,0.506800199
After,0.188928423
After,0.521278256
After,0.437315088
After,0.304597272
After,0.519774128
After,0.382925834
After,0.417010592
After,0.282076824
After,0.150884563
After,0.495374889
After,0.097238371
After,0.262043974
After,0.343326815
After,0.29595145
After,0.416575802
After,0.41036241
After,0.204778798
After,0.332847819
After,0.485504017
After,0.373819506
After,0.377153
After,0.132188413
After,0.177055491
After,0.129976012
After,0.328141263
After,0.235016156
After,0.627434126
After,0.517526393
After,0.48081705
After,0.65038296
After,0.23908065
After,0.460496178
After,0.460713448
After,0.72951827
After,0.193562859
After,0.337907132
After,0.560685093
After,0.141968559
After,0.194954288
After,0.447510187
After,0.268542879
After,0.433412401
After,0.152800169
After,0.30694734
After,0.222024447
After,0.280024122
After,0.347948653
After,0.142258412
After,0.251499995
After,0.377632746
After,0.244488824
After,0.134852504
After,0.408296207
After,0.157267923
After,0.244402177
After,0.490025438
After,0.71485767
After,0.346823268
After,0.181797934
After,0.19122917
After,0.18195703
After,0.268278002
After,0.439571192
After,0.551253129
After,0.360482348
After,0.290694259
After,0.317806609
After,0.116703335
After,0.121149482
After,0.289276244
After,0.599523165
After,0.139684569
After,0.293621024
After,0.477091829
After,0.253630004
After,0.113396873
After,0.57268
After,0.373994602
After,0.396798875
After,0.43817397
After,0.554446169
After,0.106691472
After,0.378437161
After,0.315723424
After,0.30854042
After,0.330950238
After,0.142549456
After,0.478934722
After,0.347816378
After,0.301129
After,0.282186205
After,0.227182967
After,0.167808707
After,0.380086431
After,0.18780935
After,0.469127819
After,0.296579205
After,0.122498265
After,0.290296474
After,0.427295928
After,0.425168802
After,0.405546845
After,0.107967895
After,0.035045072
After,0.326532389
After,0.42103888
After,0.396274896
After,0.311334579
After,0.154956942
After,0.08347602
After,0.213927795
