Cluster,Shape Ratio
Before,0.725370175
Before,0.557697151
Before,0.538439752
Before,0.63966155
Before,0.491969602
Before,0.560305518
Before,0.575732188
Before,0.652097332
Before,0.558665437
Before,0.687190664
Before,0.422648541
Before,0.557915078
Before,0.486646164
Before,0.568120372
Before,0.616696365
Before,0.61475122
Before,0.538412523
Before,0.60834297
Before,0.46942266
Before,0.616912376
Before,0.621796451
Before,0.498728181
Before,0.64960008
Before,0.584653353
Before,0.615532784
Before,0.576330595
Before,0.77706156
Before,0.596999671
Before,0.643865211
Before,0.493658048
Before,0.631949535
Before,0.708496326
Before,0.665802743
Before,0.607119211
Before,0.545708572
Before,0.509952326
Before,0.542250293
Before,0.581792009
Before,0.563520024
Before,0.605687003
Before,0.651261034
Before,0.619184594
Before,0.606192789
Before,0.659576137
Before,0.696555956
Before,0.67147107
Before,0.72604432
Before,0.584423125
Before,0.572946346
Before,0.60143921
Before,0.449648983
Before,0.550859317
Before,0.591230738
Before,0.511164749
Before,0.68442206
Before,0.617126494
Before,0.571898885
Before,0.614036623
Before,0.41310539
Before,0.466109144
Before,0.626923816
Before,0.636361348
Before,0.61285953
Before,0.649738784
Before,0.693607834
Before,0.594947894
Before,0.447949354
Before,0.512759393
Before,0.50408436
Before,0.562026203
Before,0.580272414
Before,0.581727791
Before,0.749444723
Before,0.61300142
Before,0.460069985
Before,0.35897604
Before,0.603747007
Before,0.507596155
Before,0.687335872
Before,0.635916387
Before,0.537195849
Before,0.675815191
Before,0.507859213
Before,0.544164258
Before,0.58764693
Before,0.556046043
Before,0.566187101
Before,0.611807784
Before,0.669911126
Before,0.425938431
Before,0.63900235
Before,0.495872007
Before,0.706556314
Before,0.715449599
Before,0.5408256
Before,0.633521044
Before,0.704693314
Before,0.443405631
Before,0.490987174
Before,0.482051387
Before,0.576133657
Before,0.509118288
Before,0.594347661
Before,0.567083934
Before,0.649793864
Before,0.628403501
Before,0.503734067
Before,0.411107357
Before,0.678933427
Before,0.5203717
Before,0.550615282
Before,0.548602935
Before,0.520962615
Before,0.510163664
Before,0.694145126
Before,0.572286738
Before,0.570473303
Before,0.476834411
Before,0.739170608
Before,0.558230241
Before,0.531614036
Before,0.43858161
Before,0.506954149
Before,0.682627284
Before,0.488333077
Before,0.660285859
Before,0.698562509
Before,0.395141066
Before,0.503077603
Before,0.571493646
Before,0.561587183
Before,0.634617199
Before,0.724674954
Before,0.36128118
Before,0.54608539
Before,0.520737249
Before,0.699293326
Before,0.677114713
Before,0.681800222
Before,0.472930276
Before,0.635532954
Before,0.417468846
Before,0.557787051
Before,0.447742181
Before,0.576237969
Before,0.709546075
Before,0.433290878
Before,0.548881086
Before,0.661912441
Before,0.593014349
Before,0.628178535
Before,0.590100644
Before,0.492988818
Before,0.605404317
Before,0.593357864
Before,0.699790542
Before,0.629535377
Before,0.529716346
Before,0.60261933
Before,0.637890931
Before,0.581528258
Before,0.506700729
Before,0.672116744
Before,0.612090393
Before,0.489189251
Before,0.599784482
Before,0.565839503
Before,0.777091449
Before,0.608815949
Before,0.623790692
Before,0.603392712
Before,0.564883809
Before,0.459209424
Before,0.499026355
Before,0.470374718
Before,0.52506317
Before,0.624044627
Before,0.607345025
Before,0.717917417
Before,0.525371973
Before,0.392573024
Before,0.730395904
Before,0.643354762
Before,0.737094881
Before,0.597274483
Before,0.459765928
Before,0.646374268
Before,0.425977763
Before,0.716851066
Before,0.547310021
Before,0.56581457
Before,0.725038239
Before,0.669809439
Before,0.590737115
Before,0.569118616
Before,0.531032902
Before,0.530467068
Before,0.633002454
Before,0.558156117
Before,0.509401298
Before,0.3705934
Before,0.559974213
Before,0.608281468
Before,0.526017943
Before,0.463953679
Before,0.584955537
Before,0.685754808
Before,0.364519178
Before,0.549704007
Before,0.562132621
Before,0.533348502
Before,0.508225663
Before,0.554621601
Before,0.567927096
Before,0.527759916
Before,0.57250322
Before,0.635346808
Before,0.54264155
Before,0.695843407
Before,0.517569843
Before,0.402319464
Before,0.591500861
Before,0.577872082
Before,0.621563441
Before,0.649527488
Before,0.609707751
Before,0.666207621
Before,0.507315627
Before,0.389530827
Before,0.649255536
Before,0.62316023
Before,0.533565692
Before,0.476397621
Before,0.64387229
Before,0.634354565
Before,0.536280424
Before,0.633218121
Before,0.580755366
Before,0.673420027
Before,0.560532996
Before,0.473375517
Before,0.548879462
Before,0.58691251
Before,0.526287457
Before,0.505427601
Before,0.666747795
Before,0.681266435
Before,0.55492429
Before,0.480213611
Before,0.679130868
