klaster,shape ratio
5,0.825
5,0.849
5,0.821
5,0.850
5,0.755
5,0.937
5,0.888
5,0.811
5,0.885
5,0.856
5,0.753
5,0.854
5,0.966
5,0.760
5,0.833
5,0.881
5,0.734
5,0.927
5,0.883
5,0.821
5,0.882
5,0.759
5,0.810
5,0.868
5,0.765
5,0.844
5,0.834
5,0.838
5,0.935
5,0.767
5,0.889
5,0.699
5,0.895
5,0.986
5,0.814
5,0.926
5,0.900
5,0.931
5,0.897
5,0.780
5,0.909
5,0.899
5,0.894
5,0.819
5,0.890
5,0.794
5,0.807
5,0.840
5,0.889
5,0.820
5,0.795
5,0.805
5,0.831
5,0.963
5,0.920
5,0.940
5,0.850
5,0.843
5,0.886
5,0.909
5,0.818
5,0.776
5,0.907
5,0.875
5,0.857
5,0.931
5,0.905
5,0.916
5,0.790
5,0.790
5,0.875
5,0.902
5,0.844
5,0.923
5,0.793
5,0.842
5,0.806
5,0.789
5,0.877
5,0.913
5,0.913
5,0.821
5,0.850
5,0.814
5,0.940
5,0.975
5,0.899
5,0.883
5,0.948
5,0.829
5,0.945
5,0.926
5,0.817
5,0.842
5,0.896
5,0.940
5,0.753
5,0.876
5,0.796
5,0.875
5,0.911
5,0.904
5,0.904
5,0.849
5,0.870
5,0.982
5,0.840
5,0.943
5,0.822
5,0.925
5,0.761
5,0.878
5,0.928
5,0.868
5,0.875
5,0.902
5,0.812
5,0.894
5,0.810
5,0.884
5,0.828
5,0.847
5,0.878
5,0.777
5,0.773
5,0.782
5,0.936
5,0.918
5,0.920
5,0.920
5,0.939
5,0.914
5,0.874
5,0.829
5,0.905
5,0.845
5,0.768
5,0.858
5,0.780
5,0.866
5,0.795
5,0.800
5,0.797
5,0.883
5,0.977
5,0.846
5,0.870
5,0.989
5,0.912
5,0.921
5,0.895
5,0.876
5,0.945
5,0.737
5,0.870
5,0.854
5,0.916
5,0.817
5,0.777
5,0.771
5,0.700
5,0.928
5,0.928
5,0.893
5,0.850
5,0.827
5,0.854
5,0.786
5,0.812
5,0.864
5,0.773
5,0.920
5,0.778
5,0.752
5,0.912
5,0.864
5,0.818
5,0.797
5,0.898
5,0.887
5,0.879
5,0.870
5,0.865
5,0.987
5,0.819
5,0.822
5,0.835
5,0.806
5,0.949
5,0.822
5,0.930
5,0.855
5,0.988
5,0.821
5,0.737
5,0.910
5,0.920
5,0.809
5,0.919
5,0.873
5,0.798
5,0.880
5,0.927
5,0.871
5,0.812
5,0.857
5,0.947
5,0.835
5,0.881
5,0.921
5,0.879
5,0.797
5,0.912
5,0.750
5,0.742
5,0.879
5,0.884
5,0.831
5,0.762
5,0.874
5,0.988
5,0.843
5,0.823
5,0.839
5,0.821
5,0.893
5,0.872
5,0.864
5,0.683
5,0.899
5,0.882
5,0.825
5,0.740
5,0.867
5,0.948
5,0.843
5,0.762
5,0.783
5,0.858
5,0.820
5,0.934
5,0.812
5,0.776
5,0.688
5,0.923
5,0.836
5,0.830
5,0.877
5,0.770
5,0.871
6,0.952
6,0.849
6,0.958
6,0.855
6,0.815
6,0.900
6,0.820
6,0.999
6,0.892
6,0.909
6,0.891
6,0.871
6,0.895
6,0.932
6,0.837
6,0.731
6,0.790
6,0.888
6,0.925
6,0.741
6,0.953
6,0.775
6,0.927
6,0.929
6,0.752
6,0.911
6,0.882
6,0.878
6,0.883
6,0.840
6,0.933
6,0.772
6,0.853
6,0.808
6,0.835
6,0.862
6,0.877
6,0.873
6,0.791
6,0.910
6,0.895
6,0.808
6,0.979
6,0.922
6,0.738
6,0.897
6,0.755
6,0.821
6,0.772
6,0.826
6,0.909
6,0.922
6,0.801
6,0.831
6,0.849
6,0.820
6,0.894
6,0.738
6,0.899
6,0.877
6,0.808
6,0.915
6,0.909
6,0.939
6,0.818
6,0.911
6,0.919
6,0.912
6,0.798
6,0.897
6,0.868
6,0.894
6,0.895
6,0.823
6,0.759
6,0.905
6,0.848
6,0.769
6,0.747
6,0.771
6,0.831
6,0.883
6,0.721
6,0.898
6,0.851
6,0.877
6,0.855
6,0.931
6,0.880
6,0.908
6,0.731
6,0.907
6,0.984
6,0.898
6,0.915
6,0.765
6,0.777
6,0.957
6,0.874
6,0.845
6,0.918
6,0.852
6,0.851
6,0.858
6,0.859
6,0.808
6,0.744
6,0.940
6,0.847
6,0.894
6,0.866
6,0.748
6,0.724
6,0.878
6,0.971
6,0.881
6,0.797
6,0.861
6,0.833
6,0.893
6,0.903
6,0.903
6,0.814
6,0.902
6,0.967
6,0.882
6,0.925
6,0.904
6,0.738
6,0.864
6,0.918
6,0.860
6,0.855
6,0.889
6,0.973
6,0.890
6,0.849
6,0.857
6,0.761
6,0.911
6,0.772
6,0.915
6,0.797
6,0.887
6,0.917
6,0.840
6,0.882
6,0.902
6,0.848
6,0.812
6,0.883
6,0.784
6,0.809
6,0.874
6,0.858
6,0.886
6,0.854
6,0.867
6,0.916
6,0.917
6,0.876
6,0.901
6,0.829
6,0.848
6,0.812
6,0.953
6,0.739
6,0.830
6,0.969
6,0.834
6,0.795
6,0.839
6,0.831
6,0.856
6,0.906
6,0.786
6,0.901
6,0.755
6,0.918
6,0.928
6,0.878
6,0.881
6,0.783
6,0.817
6,0.972
6,0.804
6,0.918
6,0.848
6,0.849
6,0.933
6,0.940
6,0.876
6,0.941
6,0.837
6,0.943
6,0.777
6,0.722
6,0.927
6,0.926
6,0.956
6,0.946
6,0.824
6,0.827
6,0.765
6,0.864
6,0.945
6,0.857
6,0.923
6,0.923
6,0.860
6,0.843
6,0.865
6,0.861
6,0.916
6,0.914
6,0.759
6,0.784
6,0.811
6,0.853
6,0.941
6,0.846
6,0.769
6,0.859
6,0.923
6,0.897
6,0.822
6,0.976
6,0.936
6,0.899
6,0.827
6,0.877
6,0.889
6,0.931
6,0.913
