klaster,shape ratio
after,0.294548764
after,0.076119528
after,0.317141366
after,0.331258225
after,0.273915565
after,0.478040237
after,0.184175651
after,0.092027948
after,0.491013555
after,0.494181204
after,0.457643767
after,0.31922754
after,0.277417778
after,0.046932937
after,0.239316215
after,0.406363017
after,0.58782691
after,0.348510461
after,0.363824754
after,0.402898641
after,0.367657517
after,0.398839128
after,0.197259027
after,0.361830942
after,0.072323287
after,0.55545153
after,0.404493818
after,0.283901545
after,0.475463175
after,0.15158003
after,0.404599814
after,0.211882479
after,0.159914498
after,0.357124269
after,0.218703367
after,0.489647077
after,0.086563529
after,0.462346203
after,0.161514714
after,0.17678382
after,0.431812339
after,0.274284309
after,0.377331535
after,0.267064398
after,0.416775544
after,0.376036188
after,0.574581009
after,0.437989554
after,0.218635965
after,0.163505561
after,0.40160793
after,0.521180255
after,0.169999107
after,0.562752285
after,0.305257903
after,0.352655044
after,0.221140354
after,0.164924103
after,0.295537723
after,0.308814493
after,0.385806391
after,0.185371263
after,0.291678201
after,0.278363596
after,0.512313066
after,0.188980446
after,0.357108834
after,0.267846348
after,0.234688998
after,0.375483884
after,0.427852476
after,0.372557425
after,0.673756038
after,0.275293359
after,0.185745837
after,0.219475034
after,0.501740407
after,0.263058544
after,0.327977439
after,0.14221838
after,0.506626154
after,0.256081016
after,0.225824259
after,0.359454029
after,0.128081347
after,0.50509171
after,0.493949816
after,0.328707525
after,0.453394588
after,0.295462061
after,0.394624672
after,0.419036702
after,0.389958547
after,0.301259092
after,0.430566038
after,0.362066309
after,0.206258445
after,0.219793946
after,0.571614766
after,0.080155363
after,0.236023832
after,0.277725362
after,0.445070526
after,0.538950667
after,0.534103361
after,0.314805604
after,0.416329633
after,0.30076822
after,0.215732517
after,0.248892624
after,0.535677327
after,0.385697287
after,0.486150305
after,0.381635627
after,0.045016129
after,0.31379395
after,0.285164383
after,0.262096128
after,0.229673424
after,0.39853326
after,0.487589886
after,0.065484333
after,0.495581764
after,0.445812732
after,0.243664482
after,0.273501971
after,0.400142563
after,0.434784663
after,0.366281174
after,0.138535886
after,0.627388524
after,0.400920139
after,0.31868133
after,0.09294837
after,0.534056136
after,0.284027831
after,0.598938709
after,0.424146446
after,0.312346611
after,0.164409586
after,0.524250727
after,0.38855063
after,0.346257482
after,0.246611498
after,0.372560458
after,0.551058734
after,0.136718296
after,0.22685426
after,0.491610187
after,0.3362344
after,0.400213432
after,0.289451092
after,0.322843113
after,0.43136431
after,0.565613814
after,0.288991381
after,0.256803244
after,0.319056102
after,0.149849169
after,0.284608193
after,0.145719954
after,0.256229332
after,0.188512603
after,0.450859477
after,0.340118974
after,0.627402803
after,0.508306025
after,0.55908883
after,0.750176757
after,0.054212626
after,0.056017656
after,0.37661301
after,0.454945346
after,0.540671632
after,0.352113498
after,0.372766677
after,0.032565999
after,0.33899693
after,0.290905076
after,0.363876502
after,0.386107436
after,0.365472397
after,0.349108383
after,0.397445446
after,0.173817573
after,0.598145639
after,0.257159619
after,0.27668207
after,0.333377637
after,0.207795995
after,0.273235159
after,0.545657492
after,0.347252225
after,0.095925332
after,0.227516728
after,0.469043008
after,0.514894419
after,0.372301397
after,0.418091002
after,0.457708124
after,0.227899476
after,0.404184286
after,0.259760903
after,0.286450022
after,0.37205636
after,0.337802613
after,0.221378655
after,0.312534095
after,0.361297002
after,0.313600481
after,0.318922152
after,0.395896694
after,0.528834479
after,0.315260253
after,0.427692811
after,0.623138368
after,0.332649612
after,0.274497113
after,0.205596148
after,0.439954391
after,0.116060634
after,0.244726517
after,0.270457084
after,0.244258177
after,0.625553301
after,0.167301056
after,0.245758639
after,0.20335616
after,0.447854502
after,0.202165314
after,0.322089524
after,0.484883626
after,0.657564712
after,0.288806354
after,0.37064396
after,0.347345166
after,0.552106106
after,0.172825853
after,0.615855673
after,0.243566455
after,0.196042858
after,0.445481055
after,0.260585263
after,0.479825364
after,0.22184558
after,0.300205901
after,0.52380226
after,0.144512082
after,0.292334669
after,0.459105406
