klaster,shape ratio
before,0.450453995
before,0.295244642
before,0.230823205
before,0.248937871
before,0.279497439
before,0.068347527
before,0.503503489
before,0.30840841
before,0.280167954
before,0.255782556
before,0.355156947
before,0.047301224
before,0.277416244
before,0.451013235
before,0.313326338
before,0.256441277
before,0.496917579
before,0.353850047
before,0.359071862
before,0.37635591
before,0.296200734
before,0.139488917
before,0.315292265
before,0.314722796
before,0.391051298
before,0.300269825
before,0.154543579
before,0.417824053
before,0.606651694
before,0.480425133
before,0.53942916
before,0.337634628
before,0.288346466
before,0.139069927
before,0.417376368
before,0.388499104
before,0.456902039
before,0.354796258
before,0.42507638
before,0.340835676
before,0.305616616
before,0.288859994
before,0.263673193
before,0.221186408
before,0.374619666
before,0.399157913
before,0.287756689
before,0.318748444
before,0.286622524
before,0.378979079
before,0.414532361
before,0.177665443
before,0.354664202
before,0.576405229
before,0.16688952
before,0.327185214
before,0.363083556
before,0.120045759
before,0.238147604
before,0.190074918
before,0.137199663
before,0.506355379
before,0.432975021
before,0.325553077
before,0.543361172
before,0.194815037
before,0.542237013
before,0.231734477
before,0.321476315
before,0.278697335
before,0.27515269
before,0.266511327
before,0.478802062
before,0.372960548
before,0.381618966
before,0.544443314
before,0.599768152
before,0.3705768
before,0.472002183
before,0.373298214
before,0.414778585
before,0.459555447
before,0.20169385
before,0.262680466
before,0.165558602
before,0.366214688
before,0.356954558
before,0.378476488
before,0.463116112
before,0.215326277
before,0.487314532
before,0.447628481
before,0.404488561
before,0.418148398
before,0.378608357
before,0.150442828
before,0.31335138
before,0.344601911
before,0.324467534
before,0.293855641
before,0.323234607
before,0.159887586
before,0.214618825
before,0.298728511
before,0.40484415
before,0.102033639
before,0.52087897
before,0.431366293
before,0.402592598
before,0.462170999
before,0.326628438
before,0.139030314
before,0.185008752
before,0.527297241
before,0.349640541
before,0.329750949
before,0.234653111
before,0.334194059
before,0.55614173
before,0.336828453
before,0.374483477
before,0.405327036
before,0.353567186
before,0.575990037
before,0.374414283
before,0.480187551
before,0.208404368
before,0.353027468
before,0.146797595
before,0.475103011
before,0.421602011
before,0.269069419
before,0.157356473
before,0.47439858
before,0.369699172
before,0.19601205
before,0.138880495
before,0.496770525
before,0.307438524
before,0.193687969
before,0.390577166
before,0.295874319
before,0.359095201
before,0.304975395
before,0.242283855
before,0.513675135
before,0.051627245
before,0.480716536
before,0.424017613
before,0.315929088
before,0.232359366
before,0.249081066
before,0.344998638
before,0.454858452
before,0.670281565
before,0.393461118
before,0.443317197
before,0.414739373
before,0.37179526
before,0.350581131
before,0.121811362
before,0.130023008
before,0.415365101
before,0.395722016
before,0.324812502
before,0.377913471
before,0.432891437
before,0.198293765
before,0.594330671
before,0.454016348
before,0.497089171
before,0.102942806
before,0.599977251
before,0.413534346
before,0.183582333
before,0.382980139
before,0.158135017
before,0.470201551
before,0.278170745
before,0.182762908
before,0.408063122
before,0.380402389
before,0.487264624
before,0.376864294
before,0.205214126
before,0.4199035
before,0.462102429
before,0.193998797
before,0.426583917
before,0.560474487
before,0.281279718
before,0.238056555
before,0.202250613
before,0.328008649
before,0.509018615
before,0.415956509
before,0.370466616
before,0.523816669
before,0.095119871
before,0.37329128
before,0.301924836
before,0.118955194
before,0.358170096
before,0.401256519
before,0.407277581
before,0.345786342
before,0.484119485
before,0.312711243
before,0.367556174
before,0.475735293
before,0.441462682
before,0.331847119
before,0.277279607
before,0.37294047
before,0.105027171
before,0.119677639
before,0.394097828
before,0.213634001
before,0.257150603
before,0.273474434
before,0.325587537
before,0.379823332
before,0.353161178
before,0.259694678
before,0.303290311
before,0.202405884
before,0.322643716
before,0.342960186
before,0.326644273
before,0.295943532
before,0.326977029
before,0.070602115
before,0.181251097
before,0.331690238
before,0.287009309
before,0.206046577
before,0.384893059
before,0.428967257
before,0.472772604
before,0.418935867
before,0.613738521
before,0.502798632
before,0.225140323
before,0.488196853
before,0.380159936
before,0.379350998
before,0.474260174
before,0.364020372
before,0.369474153
before,0.183868982
