klaster,shape ratio
1,0.815
1,0.621
1,0.838
1,0.525
1,0.717
1,0.714
1,0.438
1,0.596
1,0.558
1,0.644
1,0.340
1,0.664
1,0.206
1,0.235
1,0.756
1,0.446
1,0.397
1,0.817
1,0.288
1,0.671
1,0.115
1,0.737
1,0.230
1,0.287
1,0.769
1,0.732
1,0.608
1,0.551
1,0.880
1,0.216
1,0.849
1,0.739
1,0.679
1,0.535
1,0.516
1,0.795
1,0.507
1,0.727
1,0.462
1,0.544
1,0.353
1,0.496
1,0.675
1,0.822
1,0.675
1,0.794
1,0.727
1,0.563
1,0.762
1,0.779
1,0.854
1,0.801
1,0.682
1,0.742
1,0.308
1,0.391
1,0.571
1,0.806
1,0.760
1,0.787
1,0.370
1,0.130
1,0.447
1,0.821
1,0.729
1,0.694
1,0.577
1,0.585
1,0.249
1,0.800
1,0.827
1,0.484
1,0.428
1,0.349
1,0.675
1,0.604
1,0.858
1,0.720
1,0.614
1,0.527
1,0.581
1,0.650
1,0.378
1,0.723
1,0.779
1,0.465
1,0.783
1,0.923
1,0.725
1,0.821
1,0.754
1,0.224
1,0.767
1,0.104
1,0.708
1,0.747
1,0.527
1,0.668
1,0.661
1,0.759
1,0.715
1,0.806
1,0.689
1,0.670
1,0.597
1,0.390
1,0.811
1,0.847
1,0.463
1,0.740
1,0.623
1,0.109
1,0.311
1,0.569
1,0.643
1,0.693
1,0.871
1,0.520
1,0.560
1,0.757
1,0.552
1,0.455
1,0.733
1,0.614
1,0.847
1,0.705
1,0.538
1,0.667
1,0.527
1,0.857
1,0.782
1,0.565
1,0.721
1,0.846
1,0.770
1,0.772
1,0.275
1,0.821
1,0.806
1,0.799
1,0.777
1,0.383
1,0.740
1,0.611
1,0.316
1,0.411
1,0.756
1,0.597
1,0.153
1,0.768
1,0.667
1,0.725
1,0.867
1,0.722
1,0.834
1,0.666
1,0.378
1,0.621
1,0.712
1,0.419
1,0.544
1,0.922
1,0.753
1,0.602
1,0.578
1,0.167
1,0.421
1,0.508
1,0.745
1,0.691
1,0.608
1,0.628
1,0.751
1,0.745
1,0.804
1,0.590
1,0.722
1,0.389
1,0.747
1,0.761
1,0.617
1,0.881
1,0.804
1,0.551
1,0.825
1,0.776
1,0.881
1,0.690
1,0.609
1,0.297
1,0.571
1,0.466
1,0.526
1,0.585
1,0.261
1,0.314
1,0.359
1,0.876
1,0.259
1,0.672
1,0.556
1,0.657
1,0.303
1,0.381
1,0.458
1,0.855
1,0.647
1,0.787
1,0.690
1,0.948
1,0.758
1,0.512
1,0.269
1,0.524
1,0.559
1,0.858
1,0.507
1,0.882
1,0.663
1,0.614
1,0.823
1,0.574
1,0.665
1,0.472
1,0.107
1,0.759
1,0.719
1,0.501
