klaster,shape ratio
1,0.318
1,0.457
1,0.555
1,0.527
1,0.595
1,0.533
1,0.341
1,0.417
1,0.568
1,0.481
1,0.564
1,0.192
1,0.462
1,0.543
1,0.410
1,0.340
1,0.429
1,0.368
1,0.478
1,0.534
1,0.503
1,0.484
1,0.388
1,0.495
1,0.591
1,0.539
1,0.518
1,0.327
1,0.258
1,0.455
1,0.411
1,0.286
1,0.555
1,0.635
1,0.512
1,0.320
1,0.518
1,0.547
1,0.498
1,0.509
1,0.490
1,0.441
1,0.358
1,0.562
1,0.488
1,0.549
1,0.599
1,0.320
1,0.538
1,0.517
1,0.482
1,0.475
1,0.464
1,0.508
1,0.494
1,0.621
1,0.329
1,0.533
1,0.624
1,0.267
1,0.413
1,0.497
1,0.315
1,0.453
1,0.380
1,0.602
1,0.539
1,0.422
1,0.572
1,0.722
1,0.643
1,0.512
1,0.591
1,0.363
1,0.520
1,0.685
1,0.340
1,0.503
1,0.333
1,0.448
1,0.478
1,0.271
1,0.682
1,0.393
1,0.427
1,0.480
1,0.550
1,0.520
1,0.386
1,0.588
1,0.332
1,0.459
1,0.577
1,0.384
1,0.270
1,0.475
1,0.413
1,0.461
1,0.457
1,0.542
1,0.550
1,0.504
1,0.614
1,0.449
1,0.255
1,0.420
1,0.559
1,0.360
1,0.331
1,0.507
1,0.470
1,0.335
1,0.616
1,0.545
1,0.531
1,0.318
1,0.545
1,0.434
1,0.304
1,0.487
1,0.296
1,0.577
1,0.538
1,0.543
1,0.583
1,0.588
1,0.540
1,0.335
1,0.467
1,0.396
1,0.367
1,0.325
1,0.528
1,0.192
1,0.346
1,0.458
1,0.481
1,0.457
1,0.631
1,0.540
1,0.418
1,0.542
1,0.330
1,0.446
1,0.575
1,0.396
1,0.508
1,0.181
1,0.599
1,0.319
1,0.431
1,0.460
1,0.494
1,0.404
1,0.545
1,0.183
1,0.446
1,0.485
1,0.537
1,0.574
1,0.428
1,0.434
1,0.528
1,0.367
1,0.372
1,0.367
1,0.464
1,0.498
1,0.542
1,0.467
1,0.563
1,0.562
1,0.574
1,0.491
1,0.481
1,0.517
1,0.432
1,0.425
1,0.291
1,0.328
1,0.368
1,0.309
1,0.380
1,0.452
1,0.476
1,0.447
1,0.522
1,0.349
1,0.518
1,0.588
1,0.540
1,0.609
1,0.486
1,0.339
1,0.627
1,0.404
1,0.474
1,0.344
1,0.511
1,0.590
1,0.545
1,0.456
1,0.507
1,0.517
1,0.561
1,0.599
1,0.490
1,0.481
1,0.607
1,0.167
1,0.533
1,0.577
1,0.481
1,0.343
1,0.245
1,0.605
1,0.374
1,0.617
1,0.536
1,0.388
1,0.513
1,0.592
1,0.357
1,0.599
1,0.523
1,0.519
1,0.380
1,0.458
1,0.400
1,0.547
1,0.540
1,0.325
1,0.420
1,0.529
1,0.362
1,0.563
1,0.485
1,0.078
1,0.545
1,0.536
1,0.527
1,0.499
1,0.467
1,0.531
1,0.532
1,0.404
1,0.239
1,0.521
1,0.499
1,0.490
