klaster,shape ratio
2,0.404
2,0.126
2,0.251
2,0.282
2,0.294
2,0.263
2,0.664
2,0.372
2,0.316
2,0.356
2,0.457
2,0.530
2,0.647
2,0.213
2,0.351
2,0.399
2,0.333
2,0.182
2,0.255
2,0.487
2,0.349
2,0.647
2,0.613
2,0.174
2,0.540
2,0.533
2,0.255
2,0.300
2,0.394
2,0.495
2,0.484
2,0.553
2,0.551
2,0.284
2,0.518
2,0.491
2,0.452
2,0.442
2,0.213
2,0.388
2,0.305
2,0.571
2,0.414
2,0.268
2,0.364
2,0.237
2,0.470
2,0.406
2,0.459
2,0.363
2,0.556
2,0.389
2,0.580
2,0.410
2,0.585
2,0.512
2,0.145
2,0.504
2,0.266
2,0.834
2,0.629
2,0.611
2,0.822
2,0.625
2,0.569
2,0.392
2,0.329
2,0.441
2,0.435
2,0.765
2,0.465
2,0.237
2,0.185
2,0.294
2,0.592
2,0.267
2,0.566
2,0.461
2,0.313
2,0.449
2,0.444
2,0.184
2,0.624
2,0.619
2,0.521
2,0.581
2,0.525
2,0.584
2,0.520
2,0.480
2,0.391
2,0.538
2,0.227
2,0.310
2,0.553
2,0.771
2,0.472
2,0.351
2,0.370
2,0.677
2,0.394
2,0.228
2,0.682
2,0.563
2,0.395
2,0.561
2,0.402
2,0.343
2,0.375
2,0.639
2,0.272
2,0.257
2,0.586
2,0.178
2,0.758
2,0.382
2,0.237
2,0.472
2,0.461
2,0.338
2,0.473
2,0.250
2,0.218
2,0.636
2,0.674
2,0.377
2,0.216
2,0.759
2,0.367
2,0.433
2,0.654
2,0.416
2,0.223
2,0.835
2,0.711
2,0.615
2,0.593
2,0.538
2,0.330
2,0.346
2,0.270
2,0.486
2,0.505
2,0.476
2,0.474
2,0.454
2,0.440
2,0.321
2,0.285
2,0.320
2,0.195
2,0.626
2,0.427
2,0.572
2,0.687
2,0.577
2,0.415
2,0.331
2,0.228
2,0.809
2,0.431
2,0.277
2,0.241
2,0.366
2,0.167
2,0.688
2,0.703
2,0.685
2,0.340
2,0.334
2,0.463
2,0.493
2,0.527
2,0.381
2,0.492
2,0.461
2,0.321
2,0.321
2,0.721
2,0.682
2,0.524
2,0.760
2,0.504
2,0.385
2,0.396
2,0.367
2,0.514
2,0.402
2,0.610
2,0.364
2,0.277
2,0.485
2,0.590
2,0.303
2,0.437
2,0.438
2,0.547
2,0.596
2,0.316
2,0.428
2,0.234
2,0.239
2,0.638
2,0.396
2,0.609
2,0.660
2,0.402
2,0.362
2,0.172
2,0.529
2,0.267
2,0.224
2,0.662
2,0.621
2,0.492
2,0.469
2,0.696
2,0.177
2,0.116
2,0.205
2,0.090
2,0.585
2,0.024
2,0.444
2,0.369
2,0.141
2,0.498
2,0.352
2,0.733
2,0.430
2,0.531
2,0.337
2,0.111
2,0.246
2,0.444
2,0.366
2,0.460
2,0.060
2,0.373
2,0.305
2,0.500
2,0.257
2,0.617
2,0.569
2,0.560
2,0.450
2,0.236
2,0.202
2,0.300
2,0.374
3,0.625
3,0.484
3,0.537
3,0.458
3,0.608
3,0.466
3,0.662
3,0.468
3,0.390
3,0.266
3,0.496
3,0.697
3,0.289
3,0.467
3,0.474
3,0.594
3,0.671
3,0.735
3,0.626
3,0.518
3,0.288
3,0.593
3,0.611
3,0.295
3,0.120
3,0.160
3,0.189
3,0.791
3,0.473
3,0.664
3,0.544
3,0.726
3,0.366
3,0.597
3,0.191
3,0.561
3,0.682
3,0.565
3,0.498
3,0.459
3,0.481
3,0.285
3,0.181
3,0.356
3,0.298
3,0.401
3,0.558
3,0.531
3,0.580
3,0.286
3,0.600
3,0.124
3,0.513
3,0.569
3,0.256
3,0.246
3,0.519
3,0.396
3,0.521
3,0.406
3,0.270
3,0.534
3,0.631
3,0.469
3,0.510
3,0.471
3,0.476
3,0.685
3,0.247
3,0.708
3,0.532
3,0.547
3,0.359
3,0.384
3,0.308
3,0.046
3,0.155
3,0.259
3,0.358
3,0.278
3,0.526
3,0.657
3,0.467
3,0.476
3,0.488
3,0.481
3,0.396
3,0.103
3,0.721
3,0.137
3,0.557
3,0.571
3,0.533
3,0.325
3,0.389
3,0.627
3,0.457
3,0.625
3,0.301
3,0.537
3,0.466
3,0.322
3,0.487
