klaster,shape ratio
1,0.882
1,0.652
1,0.470
1,0.590
1,0.306
1,0.779
1,0.705
1,0.769
1,0.962
1,0.830
1,0.800
1,0.752
1,0.854
1,0.817
1,0.779
1,0.741
1,0.648
1,0.637
1,0.564
1,0.792
1,0.762
1,0.555
1,0.815
1,0.768
1,0.665
1,0.598
1,0.799
1,0.848
1,0.856
1,0.853
1,0.854
1,0.777
1,0.815
1,0.774
1,0.847
1,0.956
1,0.091
1,0.364
1,0.771
1,0.559
1,0.736
1,0.816
1,0.804
1,0.947
1,0.699
1,0.836
1,0.358
1,0.786
1,0.756
1,0.862
1,0.377
1,0.780
1,0.639
1,0.280
1,0.783
1,0.898
1,0.959
1,0.069
1,0.851
1,0.912
1,0.934
1,0.444
1,0.767
1,0.725
1,0.856
1,0.852
1,0.376
1,0.860
1,0.764
1,0.504
1,0.549
1,0.663
1,0.568
1,0.733
1,0.768
1,0.669
1,0.606
1,0.379
1,0.848
1,0.869
1,0.801
1,0.777
1,0.739
1,0.586
1,0.768
1,0.389
1,0.765
1,0.501
1,0.883
1,0.448
1,0.629
1,0.854
1,0.763
1,0.761
1,0.909
1,0.513
1,0.655
1,0.272
1,0.959
1,0.933
1,0.708
1,0.966
1,0.560
1,0.676
1,0.515
1,0.918
1,0.533
1,0.804
1,0.833
1,0.788
1,0.851
1,0.725
1,0.201
1,0.646
1,0.832
1,0.790
1,0.944
1,0.891
1,0.773
1,0.502
1,0.537
1,0.888
1,0.905
1,0.697
1,0.822
1,0.736
1,0.580
1,0.881
1,0.713
1,0.719
1,0.724
1,0.590
1,0.835
1,0.442
1,0.580
1,0.762
1,0.839
1,0.788
1,0.983
1,0.561
1,0.581
1,0.840
1,0.918
1,0.952
1,0.790
1,0.783
1,0.421
1,0.658
1,0.672
1,0.961
1,0.810
1,0.731
1,0.512
1,0.499
1,0.813
1,0.729
1,0.793
1,0.884
1,0.530
1,0.603
1,0.799
1,0.465
1,0.674
1,0.802
1,0.786
1,0.946
1,0.707
1,0.693
1,0.933
1,0.540
1,0.347
1,0.505
1,0.619
1,0.812
1,0.846
1,0.468
1,0.459
1,0.701
1,0.821
1,0.864
1,0.786
1,0.446
1,0.994
1,0.505
1,0.710
1,0.897
1,0.653
1,0.677
1,0.263
1,0.289
1,0.510
1,0.912
1,0.798
1,0.660
1,0.785
1,0.325
1,0.692
1,0.630
1,0.849
1,0.750
1,0.805
1,0.821
1,0.775
1,0.595
1,0.778
1,0.903
1,0.725
1,0.523
1,0.717
1,0.794
1,0.532
1,0.802
1,0.812
1,0.752
1,0.986
1,0.575
1,0.763
1,0.512
1,0.770
1,0.859
1,0.872
1,0.631
1,0.791
1,0.772
1,0.864
1,0.784
1,0.839
1,0.841
1,0.906
1,0.598
1,0.646
1,0.559
1,0.650
1,0.888
1,0.663
1,0.253
1,0.533
1,0.892
1,0.598
1,0.727
1,0.745
1,0.907
1,0.673
1,0.940
1,0.685
1,0.826
1,0.753
1,0.531
1,0.624
1,0.753
