klaster,shape ratio
1,0.778
1,0.902
1,0.810
1,0.813
1,0.818
1,0.924
1,0.940
1,0.665
1,0.893
1,0.833
1,0.753
1,0.972
1,0.745
1,0.795
1,0.680
1,0.789
1,0.843
1,0.902
1,0.740
1,0.846
1,0.882
1,0.743
1,0.826
1,0.769
1,0.949
1,0.680
1,0.684
1,0.793
1,0.797
1,0.585
1,0.828
1,0.526
1,0.966
1,0.908
1,0.735
1,0.872
1,0.934
1,0.779
1,0.631
1,0.829
1,0.768
1,0.889
1,0.638
1,0.657
1,0.933
1,0.846
1,0.650
1,0.844
1,0.871
1,0.902
1,0.992
1,0.907
1,0.787
1,0.847
1,0.885
1,0.752
1,0.859
1,0.673
1,0.930
1,0.824
1,0.809
1,0.829
1,0.827
1,0.670
1,0.689
1,0.852
1,0.849
1,0.815
1,0.797
1,0.683
1,0.649
1,0.926
1,0.770
1,0.927
1,0.791
1,0.805
1,0.831
1,0.932
1,0.970
1,0.821
1,0.773
1,0.793
1,0.836
1,0.881
1,0.816
1,0.864
1,0.809
1,0.782
1,0.834
1,0.889
1,0.872
1,0.795
1,0.726
1,0.903
1,0.915
1,0.918
1,0.760
1,0.934
1,0.808
1,0.613
1,0.967
1,0.805
1,0.818
1,0.863
1,0.938
1,0.894
1,0.756
1,0.665
1,0.709
1,0.788
1,0.816
1,0.792
1,0.731
1,0.887
1,0.816
1,0.805
1,0.856
1,0.840
1,0.887
1,0.676
1,0.728
1,0.933
1,0.842
1,0.774
1,0.814
1,0.685
1,0.901
1,0.745
1,0.793
1,0.789
1,0.877
1,0.875
1,0.907
1,0.830
1,0.871
1,0.916
1,0.853
1,0.785
1,0.925
1,0.773
1,0.761
1,0.822
1,0.712
1,0.652
1,0.827
1,0.808
1,0.831
1,0.842
1,0.845
1,0.866
1,0.936
1,0.842
1,0.977
1,0.727
1,0.900
1,0.844
1,0.899
1,0.769
1,0.881
1,0.903
1,0.602
1,0.900
1,0.650
1,0.933
1,0.843
1,0.913
1,0.879
1,0.826
1,0.796
1,0.943
1,0.791
1,0.798
1,0.859
1,0.743
1,0.888
1,0.920
1,0.821
1,0.806
1,0.874
1,0.776
