x,y,east_velocity,north_velocity,east_sigma,north_sigma,correlation_EN,SITE
126.600000,-7.880000,15.83,70.87,0,0,0,AU(EU)
124.280000,-8.400000,16.33,70.30,0,0,0,AU(EU)
126.000000,3.000000,31.32,-14.99,0,0,0,SU(BH)
125.500000,0.800000,30.62,-14.82,0,0,0,SU(BH)
119.470000,-1.430000,24.43,-9.79,0,0,0,EU(MS)
120.990000,-2.320000,24.21,-10.16,0,0,0,EU(MS)
122.480000,-2.890000,24.08,-10.51,0,0,0,EU(MS)
121.500000,1.190000,-30.77,13.42,0,0,0,MS(SU)
119.470000,3.180000,31.46,-12.69,0,0,0,SU(MS)
121.590000,3.170000,31.43,-13.45,0,0,0,SU(MS)
120.400000,-0.950000,-24.56,10.01,0,0,0,MS(EU)
121.705000,-1.912000,-24.32,10.33,0,0,0,MS(EU)
123.338000,-2.588000,-24.16,10.71,0,0,0,MS(EU)
