x,y,East,North,Std.E.,Std.N.,stasiun
-3272601.5,5467084.7,8.4,5.71,2.336,2.076,MALI
-3868393.5,5070337.2,-58.354,24.093,2.272,1.892,TERN
-3326039.3,5441185,-9.324,27.473,3.152,2.017,AMPA
-3688888.9,5126324.1,35.48,49.742,2.214,2.037,LIRA
-3663237.6,5219288.5,20.309,4.901,2.314,1.888,MANA
-3928641.9,5007338.9,11.227,36.793,2.389,2.052,AMBO
-3270722.3,5475837.2,-26.653,64.841,2.184,1.98,TOMI
-3136018.2,5524660.6,30.04,2.37,2.483,2.11,UJPD
-3321028.2,5421664.5,21.963,8.746,2.137,1.969,TOAR
-3745827.2,5157390.5,-19.473,31.352,2.603,2.27,SANA
-3439875.3,5350712.2,18.564,12.493,4.7,3.421,KEND
-3218355.7,5492703.7,17.341,3.277,3.646,3.913,REDO
