stasiun,nama,negara,lat,lon,x,y,z,North,East,Up,Std.N.,Std.E.,Std.U.
BAKO,Cibinong-Java,Indonesia,-6.26,106.5,-1836968.9,6065617.1,-716257.7,3.714,26.489,17.172,1.925,2.18,4.151
KIT3,Kittab,Usbekistan,39.08,66.54,1944945.3,4556652.2,4004325.9,4.01,29.77,1.88,0,0,0
MALI,Malili-Sulawesi,Indonesia,-2.39,121.04,-3272601.5,5467084.7,-286838.1,5.71,8.4,5.577,2.076,2.336,4.432
TERN,Ternate-Halmahera,Indonesia,0.48,127.23,-3868393.5,5070337.2,95132.1,24.093,-58.354,8.579,1.892,2.272,4.046
TIDB,Tidbinbilla,Australia,-35.24,148.59,-4460996.1,2682557,-3674443.7,55.97,22.82,-3.93,0,0,0
TSKB,Tsukuba,Japan,36.06,140.05,-3957199.2,3310199.6,3737711.7,-10.7,-1.6,-5.35,0,0,0
YAR1,Yarragadee,Australia,-29.03,115.2,-2389025.5,5043316.8,-3078530.7,55.73,42.61,-0.78,0,0,0
COCO,Coco's.Islands,Australia,-12.07,96.5,-741949.9,6190961.6,-1337768.6,56,41,1.59,0,0,0
KARR,Karrahata,Australia,-20.51,117.06,-2713832.2,5303935.1,-2269515,65.628,35.325,-8.097,3.37,2.973,5.444
MEDA,Medan-Sumatra,Indonesia,3.33,98.38,-956109.6,6293771.6,392808.7,14.405,37.138,15.132,2.007,2.603,4.121
BENG,Bengkulu-Sumatra,Indonesia,-3.47,102.15,-1350601.9,6219363.2,-418384.6,30.536,21.73,8.514,2.046,2.503,4.182
CAMP,Cam.Pha,Vietnam,21.01,105.52,-1772773.7,5687232.7,2271331.7,-2.498,42.883,31.848,2.378,2.339,4.023
CHON,Chonburi,Thailand,13.43,100.27,-1190208.2,6097682.8,1438406.3,6.545,40.113,24.67,2.095,2.508,4.078
ILOI,Iloilo-Panay.Is.,Philippines,10.41,122.33,-3386223.9,5268056,1205569.7,12.363,26.195,50.094,2.113,2.4,4.473
KUAL,Kuala.Trengganu,Malaysia,5.2,103.07,-1443668.1,6184650.1,587309.9,7.702,38.638,19.728,1.954,2.45,4.065
NONN,Non.Nuoc,Vietnam,16,108.16,-1921866.2,5823665.7,1747139.6,1.457,39.774,28.225,2.154,2.245,3.957
PHUK,Phuket.Is.,Thailand,7.52,98.22,-912741.8,6253870.4,855385.4,8.019,38.224,11.863,2.072,2.69,4.206
PUER,Puerto.Princessa-Palawan.Is.,Philippines,9.46,117.45,-3030498.6,5500760.6,1109606.5,-7.392,29.755,26.224,2.036,2.201,4.108
SURI,Surigao-Mindanao.Is.,Philippines,9.47,125.29,-3658606.9,5114995.4,1061800.8,27.417,-20.152,34.532,1.985,2.306,4.145
TANJ,Tanjung.Bangka.Is.-Sumatra,Indonesia,-2.05,106.09,-1775928.4,6122391.8,-207918,4.215,32.478,16.016,1.925,2.253,3.975
TEDA,?.-Sumatra,Indonesia,0.34,97.49,-867764,6318529.8,63139.4,41.554,32.931,8.964,2.063,2.843,4.475
VIRA,Virac-Catanduanes.Is.,Philippines,13.35,124.14,-3497936.9,5120717.5,1486361.4,47.842,-19.089,21.77,2.099,2.211,3.969
BRUN,Brunei,Brunei,4.56,114.58,-2688595.1,5757599,548475.2,2.284,26.394,31.453,1.895,2.138,3.942
AMPA,Ampana-Sulawesi,Indonesia,-1,121.26,-3326039.3,5441185,-111672.9,27.473,-9.324,-44.669,2.017,3.152,7.504
DAVA,Davao-Mindanao.Is.,Philippines,7.05,125.28,-3676550.5,5152785.3,781393.5,5.791,-26.622,20.452,1.957,2.297,4.098
ENDE,Ende-Flores,Indonesia,-8.51,121.4,-3319739.7,5361348.7,-959263,38.265,29.806,-17.761,2.087,2.147,4.042
LAOA,LaoAgo,Philippines,18.31,120.36,-3079723.5,5207370.7,2013092.7,20.328,-53.751,36.137,2.271,2.193,3.979
TAWA,Tawau-Sabah,Malaysia,4.16,117.54,-2984278.9,5617684.1,469695.8,-5.859,23.759,23.408,1.89,2.112,3.919
BALI,Denpasar-Bali,Indonesia,-8.4,115.14,-2636544.9,5737527.6,-897945.7,1.467,24.517,-13.737,2.123,2.199,4.154
LIRA,Alor.Is.,Indonesia,-8.15,124.54,-3688888.9,5126324.1,-888258,49.742,35.48,1.229,2.037,2.214,4.014
MANA,Manado-Sulawesi,Indonesia,1.32,124.55,-3663237.6,5219288.5,147156.4,4.901,20.309,19.037,1.888,2.314,4.203
BIAK,Biak.Is.-Irian.Jaya,Indonesia,-0.53,135.57,-4606324.2,4409852.2,-129077.2,905.734,460.013,-139.57,2.01,2.627,4.243
AMBO,Ambon-Ambon.Is.,Indonesia,-3.41,128.1,-3928641.9,5007338.9,-417153,36.793,11.227,8.679,2.052,2.389,4.282
BATU,Batu.bajau-Kalimantan,Indonesia,-3.52,114.47,-2668446.8,5777380.9,-427301.2,2.498,20.826,8.635,1.878,2.057,4.32
ZAMB,Zamboanga-Mindanao.Is.,Philippines,6.55,122.05,-3362109,5365326.2,769178.6,0.641,10.545,1.792,1.954,2.276,4.182
BUTU,Karang.Sambung-Java,Indonesia,-7.21,109.56,-2184031.1,5933410,-841894.7,4.759,24.711,-9.849,2.045,2.233,4.031
TOMI,Tomini-Sulawesi,Indonesia,0.31,120.3,-3270722.3,5475837.2,50109.2,64.841,-26.653,9.71,1.98,2.184,4.082
UJPD,UjungPandang-Sulawesi,Indonesia,-5.08,119.25,-3136018.2,5524660.6,-569129.4,2.37,30.04,-11.987,2.11,2.483,4.806
TABA,Tanjung.Bajau-Kalimantan,Indonesia,-0.05,109.16,-2064804.7,6033942.5,95399.4,4.178,36.408,19.412,1.899,2.344,4.2
KAPA,Kupang-Timor,Indonesia,-10.13,123.38,-3541227.7,5195060.7,-1076055.6,51.137,33.084,-44.326,2.06,2.132,3.929
WAME,Wamena-Irian.Jaya,Indonesia,-2.45,138.24,-4799568.4,4179254.6,-446690.8,62.128,28.201,-9.164,2.134,2.744,4.289
TOAR,Toari-Sulawesi,Indonesia,-4.35,121.29,-3321028.2,5421664.5,-506109.7,8.746,21.963,4.404,1.969,2.137,3.984
SANA,Sanana-Sanana.Is.,Indonesia,-2.03,126,-3745827.2,5157390.5,-226456.9,31.352,-19.473,15.836,2.27,2.603,4.987
TAIW,Taiwan,Taiwan,25.01,121.32,-3024781.9,4928936.8,2681234.4,-11.26,36.46,-5.42,0,0,0
KEND,Kendari-Sulawesi,Indonesia,-4,122.33,-3439875.3,5350712.2,-466957.6,12.493,18.564,15.327,3.421,4.7,13.456
REDO,Redo-Sulawesi,Indonesia,-3.32,120.22,-3218355.7,5492703.7,-391134.5,3.277,17.341,7.966,3.913,3.646,6.861
