Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr,Site
102.791,25.027,-6554.636703082281,6450.351545242221,1.4,1.2,0.012,KUNG
93.897,21.383,-5149.668801394901,8365.372119734468,1.96,1.26,-0.051,MIND
107.313,20.999,-5687.853204258618,5440.540622920387,0.99,0.72,0.014,CAMP
97.094,20.75,-5171.265043575799,7683.671556708443,1.81,1.23,-0.059,TAUN
98.973,18.771,-4791.491653587554,7289.014320807535,0.44,0.31,-0.003,CHMI
120.601,18.52,-5260.531558509261,2302.949098814396,0.95,0.71,-0.037,LAOA
99.371,18.335,-4704.452101443513,7204.891094060599,0.42,0.25,-0.059,OTRI
102.747,17.865,-4724.673211802249,6468.682231659456,1.53,0.96,0.008,NNKI
94.537,17.692,-4352.1921749613975,8240.64246138649,2.04,1.49,-0.035,LAUN
99.862,17.161,-4448.105855615068,7099.074818028034,1.16,0.89,0.003,SISM
97.715,16.938,-4311.2157483991405,7556.658773811535,1.67,1.24,-0.031,HPAA
108.263,16.004,-4437.929370509266,5223.770341239697,1.17,0.79,-0.024,NONN
100.122,15.673,-4109.748401270836,7046.813001033734,1.7,1.04,-0.065,NAKH
100.013,15.384,-4040.6753511649863,7065.767154208448,0.43,0.32,0.006,UTHA
104.871,15.245,-4158.87798068767,5996.012633058551,0.87,0.64,0.038,UBRT
104.416,14.901,-4063.125792967171,6098.233972542881,0.45,0.32,-0.007,SRIS
100.607,13.668,-3664.7076931376614,6938.558138280007,0.46,0.3,0.028,BNKK
124.337,13.566,-4009.6572758886964,1412.6904169889472,1.78,1.26,-0.057,VIRA
101.045,13.121,-3550.5988307083767,6843.3256366540045,0.42,0.28,-0.011,CHON
101.033,12.764,-3468.19437564514,6845.2391460090475,4.56,2.96,-0.009,RYNG
122.732,10.968,-3371.111429102372,1776.4307388913357,1.4,1.13,-0.05,ILOI
99.076,10.61,-2937.2060751276313,7268.554292193486,0.47,0.28,0.064,BANH
118.851,10.086,-3130.1829142319143,2706.6608923507874,1.0,0.71,-0.032,PUER
125.575,9.647,-3008.6365513712735,1090.7593177989147,4.45,2.8,-0.122,SURI
98.308,8.105,-2375.3219961488603,7433.837173492096,0.57,0.37,-0.036,PHKT
98.304,7.759,-2300.279188754966,7433.4612166134375,0.41,0.26,-0.007,PHUK
125.508,7.084,-2356.414285612128,1081.2791384299362,1.05,0.68,-0.021,DAVA
122.073,6.973,-2359.6220661785337,1921.4473220380512,1.35,0.84,-0.088,ZAMB
101.097,6.733,-2117.1507458647143,6832.120292170723,6.91,4.36,-0.006,PATN
100.28,6.45,-2047.5778907696197,7010.783453203718,0.57,0.47,0.032,ARAU
102.105,6.226,-2021.6140765384212,6612.506613859144,0.56,0.41,-0.023,GETI
116.039,5.905,-2069.7258025462006,3387.7713685299823,0.66,0.42,0.02,KINA
118.121,5.842,-2067.8179472354286,2882.5650906771752,0.69,0.47,0.014,SAND
100.304,5.358,-1809.846350204908,7005.02429140975,1.01,0.77,0.001,USMP
103.139,5.319,-1830.7069911883732,6383.414013310163,0.36,0.28,-0.017,KUAL
115.245,5.283,-1913.972280629234,3578.117477436309,0.61,0.4,-0.027,LABU
115.031,4.966,-1840.4961584095643,3631.62153238799,3.3,2.1,-0.033,BRUN
101.126,4.588,-1649.5509500799124,6827.604095110526,0.57,0.42,-0.085,IPOH
114.002,4.372,-1689.4505902220296,3877.2579827424634,0.58,0.41,-0.029,MIRI
117.882,4.263,-1677.0482753368108,2940.21010072063,0.56,0.37,-0.053,TAWX
117.979,4.251,-1676.3698133928574,2915.402871674103,0.62,0.4,-0.019,TAWA
103.35,3.834,-1501.325299637695,6338.618619072824,0.52,0.4,-0.079,KUAN
101.517,3.765,-1471.5515449228476,6742.683756122866,1.28,0.98,-0.02,BEHR
98.715,3.622,-1420.5706945671861,7349.81706485957,0.57,0.36,0.062,SAMP
98.638,3.555,-1408.3137724520386,7364.759175254025,1.16,0.75,0.002,MEDA
113.067,3.262,-1420.7516867551012,4097.437215660164,0.71,0.47,-0.022,BINT
101.718,3.171,-1343.6925251799832,6697.904552636749,0.57,0.43,-0.012,KTPK
102.732,2.486,-1198.7353969311282,6475.808410997614,0.84,0.64,-0.021,SEGA
111.843,2.27,-1175.7694045939024,4386.725069645544,3.09,2.07,-0.018,SIBU
110.195,1.632,-1027.5472449039403,4775.011426262644,0.6,0.44,0.011,KUCH
103.64,1.566,-997.1583379488543,6271.842363148801,0.59,0.43,-0.026,UTMJ
125.064,1.331,-969.2028494809985,1190.2239427790519,2.58,1.45,0.036,MANA
125.064,1.331,-971.4534567219214,1188.593942779052,1.75,1.44,0.079,KEMA
120.863,1.318,-963.7411234869795,2254.5233746968092,3.16,1.79,-0.025,LING
120.794,1.121,-912.487585080579,2268.822855869445,0.82,0.45,0.003,TOLI
108.891,0.863,-849.1414909940228,5079.487195798698,1.26,0.95,0.008,TABA
127.342,0.86,-778.5693077063129,648.3894676128228,1.42,0.86,-0.02,TERN
97.82,0.571,-771.0147926184407,7563.991699566966,1.38,0.79,-0.013,TEDA
117.641,0.558,-778.3310080962547,3001.5378480354693,0.68,0.43,-0.003,TNJB
120.434,0.482,-751.9076455156493,2369.4163167005404,2.34,1.52,-0.009,PALA
120.85,0.453,-748.1519920608597,2260.9638147466867,0.58,0.37,-0.018,TOMI
120.005,-0.248,-574.5519967280063,2465.7083909717408,1.44,0.95,-0.042,DONG
120.095,-0.709,-461.58326833008346,2440.61147156219,0.67,0.53,0.015,TOBP
120.095,-0.709,-463.3734053860512,2438.94147156219,0.7,0.53,-0.01,TOBO
119.587,-0.874,-426.02380986435617,2538.022779875067,0.66,0.51,0.002,WATP
119.587,-0.874,-428.25406933879196,2536.172779875067,0.76,0.6,-0.004,WATA
119.837,-0.906,-417.59955759504663,2484.217163137548,1.34,1.1,-0.007,P14P
119.906,-0.916,-414.9222007958957,2472.5650491485344,1.15,0.92,-0.014,PALP
120.428,-1.007,-389.160451132359,2364.0824365923463,0.9,0.76,0.056,SULI
121.436,-1.01,-367.25776685959363,2103.1276812562055,2.0,1.23,0.073,AMPA
122.772,-1.04,-361.52988648387776,1777.1886054118984,2.74,1.53,0.005,LUWU
136.248,-1.167,-320.846098839875,-1479.9063358893636,1.72,1.14,-0.06,BIAK
116.815,-1.272,-338.5018340966493,3200.345751660206,0.73,0.44,-0.019,BLKP
120.316,-1.424,-284.02523102123394,2371.6152887438047,0.45,0.33,0.005,WUAS
119.46,-1.427,-294.183454165634,2563.3597757263424,0.82,0.58,-0.031,BARA
120.011,-1.512,-261.6526049694111,2443.2941163129653,1.81,1.51,0.157,SUNG
119.382,-1.855,-182.22930924529646,2586.190337878926,2.02,1.61,-0.024,LARA
106.176,-1.881,-221.71739221572878,5701.403035962763,1.11,0.72,-0.083,TANJ
120.904,-1.908,-155.5718063304878,2228.3420050507107,2.2,1.47,-0.02,KAMB
125.991,-2.048,-99.87272314050205,984.9003442748888,1.77,1.05,-0.008,SANA
120.905,-2.595,-4.471097620398128,2218.5973232799274,1.12,0.63,-0.058,MALI
120.367,-3.539,222.04526465825043,2346.406532027379,0.94,0.68,0.005,REDO
128.117,-3.775,302.4426446361786,461.40894722249527,1.85,0.9,0.005,AMBO
102.252,-3.786,184.88314310009844,6600.710380221268,0.68,0.45,-0.016,BENG
114.791,-3.867,280.0730648243093,3688.8934505823277,1.06,0.7,-0.027,BATU
119.65,-3.978,327.605745894798,2518.4164783548963,0.53,0.35,-0.019,PARE
138.952,-4.042,340.1513350147685,-2178.603103018506,1.58,0.81,-0.056,WAME
122.736,-4.227,396.8522554949248,1778.3875643086867,5.14,2.81,0.054,KEND
121.489,-4.582,478.6528885207929,2076.090170044372,0.3,0.21,0.001,TOAR
119.581,-5.154,611.8634080815247,2536.665124845634,0.6,0.41,-0.024,UJPD
122.795,-5.471,700.4020875730416,1763.8847396522935,0.9,0.69,-0.043,BAUB
110.208,-7.635,1142.4561246602098,4774.439417542337,0.31,0.21,-0.095,BUTU
125.739,-8.059,1344.759508254246,1069.0831788499247,0.87,0.58,-0.015,LIRA
114.68,-8.147,1313.3030721158339,3717.253819389194,0.37,0.25,-0.016,BALI
121.766,-8.707,1500.3125686818883,2036.5433946520695,1.04,0.7,-0.03,ENDE
124.28,-9.776,1775.229159667923,1426.3037637114312,0.51,0.36,0.0,KAPA
