Site,Lon,Lat,94,96,97,98,99,0,1,2,3,4,V_lon,V_lat,S_lon,S_lat,Corr,V_up
BATU,114.791,-3.867,X,X,,X,,,,,,,26.4,-10.81,1.05,0.69,-0.027,0
BLKP,116.815,-1.272,,,X,X,X,X,X,X,X,,25.81,-13.16,0.74,0.45,-0.017,0
TNJB,117.641,0.558,,,,,,X,X,X,X,,24.1,-12.64,1.36,0.87,-0.022,0
TAWA,117.979,4.251,X,X,X,X,X,X,,,,,24.27,-16.51,0.62,0.39,-0.019,0
SAND,118.121,5.842,,,,X,P,P,P,X,X,,27.88,-16.93,0.22,0.15,0.012,0
KOEP,123.663,-10.177,,,,,,,,X,X,,47.7,41.79,1.29,0.93,-0.046,0
KAPA,124.28,-9.776,X,X,,X,,,,X,X,,39.02,36.9,0.42,0.29,-0.006,0
ENDE,121.766,-8.707,X,X,,X,,,,X,X,,31.12,23.28,0.4,0.31,-0.026,0
LIRA,125.739,-8.059,X,X,,X,,,,X,X,,39.45,39.17,0.51,0.34,-0.015,0
SANA,125.991,-2.048,X,X,X,X,,,,,,,-13.53,17.27,1.75,1.04,-0.008,0
TERN,127.342,0.86,X,X,X,X,,,,,,,-54,14.9,1.41,0.85,-0.02,0
AMBO,128.117,-3.775,X,X,X,X,,,,,,,13.78,19.75,1.83,0.89,0.005,0
BAUB,122.795,-5.471,,X,X,X,,,,S,,,25.7,6.43,4.07,4.05,-0.042,0
UJPD,119.581,-5.154,X,X,X,X,X,X,,,,,27.74,-5.86,0.73,0.51,-0.024,0
TOAR,121.489,-4.582,X,X,X,X,,,,X,,,26.78,-0.09,0.52,0.36,0.001,0
KEND,122.736,-4.227,X,X,X,X,,,,S,,,24.12,8.29,5.09,2.78,0.054,0
PARE,119.65,-3.978,X,X,X,X,P,P,P,X,X,,25.39,-7.81,0.25,0.16,-0.03,0
REDO,120.367,-3.539,X,X,X,X,,X,,,,,23.83,-4.31,0.93,0.67,0.005,0
MALI,120.905,-2.595,X,X,X,X,,X,,,,,19.95,-0.58,1.11,0.62,-0.058,0
LARA,119.382,-1.855,,,,,,,,X,X,,12.13,-0.54,3.98,3.33,-0.042,0
SUNG,120.01,-1.512,,,,,,X,X,X,X,,15.47,-1.5,1.84,1.48,0.105,0
BARA,119.46,-1.427,,,X,X,X,X,X,X,S,,22.27,-8.66,0.82,0.58,-0.031,0
WATA,119.587,-0.874,,,S,X,X,X,P,P,P,P,21.57,-4.57,0.47,0.36,0.001,0
PL02,119.635,-0.795,,,S,X,X,X,X,X,X,X,22.06,-4.61,1.09,0.57,-0.019,0
PL03,119.681,-0.727,,,S,X,X,X,X,X,X,X,21.15,-3.32,1.07,0.56,-0.018,0
PL04,119.72,-0.708,,,S,X,X,X,X,X,X,X,20.27,-2.39,1.09,0.56,-0.017,0
LOLI,119.788,-0.77,,,,,,X,X,X,X,X,20.16,1.84,1.19,0.59,-0.017,0
PL14,119.837,-0.906,,,S,X,X,X,X,X,X,X,22.12,2.51,1.04,0.55,-0.021,0
P14P,119.837,-0.906,,,,,,,,,P,P,22.13,1.84,1.47,0.7,-0.021,0
PL09,119.866,-0.758,,,S,X,X,X,X,X,X,X,17.95,6.52,1.07,0.56,-0.018,0
PL18,119.867,-0.908,,,,,,X,X,X,X,X,18.35,4.64,1.2,0.6,-0.022,0
PL08,119.88,-0.867,,,S,X,X,X,X,X,X,X,22.59,7,1.05,0.55,-0.022,0
PL10,119.88,-0.735,,,S,X,X,X,X,X,X,X,17.98,8.87,1.06,0.55,-0.018,0
