Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr,Site
114.791,-3.867,280.0830876433883,3688.893450582327,1.05,0.69,-0.027,BATU
116.815,-1.272,-338.55184642083293,3200.265751660206,0.74,0.45,-0.017,BLKP
117.641,0.558,-778.9010351286888,3001.147848035469,1.36,0.87,-0.022,TNJB
117.979,4.251,-1676.329703044939,2915.4028716741027,0.62,0.39,-0.019,TAWA
118.121,5.842,-2069.4263004374784,2880.5550906771755,0.22,0.15,0.012,SAND
123.663,-10.177,1864.7283046101209,1583.824122988782,1.29,0.93,-0.046,KOEP
124.28,-9.776,1774.5086979215935,1426.903763711431,0.42,0.29,-0.006,KAPA
121.766,-8.707,1500.6666493198074,2031.5433946520698,0.4,0.31,-0.026,ENDE
125.739,-8.059,1344.8605056815031,1069.0631788499245,0.51,0.34,-0.015,LIRA
125.991,-2.048,-99.7926720069586,984.8903442748888,1.75,1.04,-0.008,SANA
127.342,0.86,-778.5593065797319,648.3794676128227,1.41,0.85,-0.02,TERN
128.117,-3.775,302.5528838231621,461.3789472224953,1.83,0.89,0.005,AMBO
122.795,-5.471,703.4861367036265,1762.0347396522936,4.07,4.05,-0.042,BAUB
119.581,-5.154,611.9738546343721,2536.6551248456344,0.73,0.51,-0.024,UJPD
121.489,-4.582,478.70304883191824,2076.080170044372,0.52,0.36,0.001,TOAR
122.736,-4.227,396.9625555271379,1778.397564308687,5.09,2.78,0.054,KEND
119.65,-3.978,326.1321957607658,2517.886478354896,0.25,0.16,-0.03,PARE
120.367,-3.539,222.11539840240474,2346.406532027379,0.93,0.67,0.005,REDO
120.905,-2.595,-4.300923110633909,2218.5973232799274,1.11,0.62,-0.058,MALI
119.382,-1.855,-179.87807707667005,2590.4603378789257,3.98,3.33,-0.042,LARA
120.01,-1.512,-266.1052779583496,2436.3881639462306,1.84,1.48,0.105,SUNG
119.46,-1.427,-294.26347898409995,2563.3397757263424,0.82,0.58,-0.031,BARA
119.587,-0.874,-428.25406933879196,2536.482779875067,0.47,0.36,0.001,WATA
119.635,-0.795,-447.97269204311505,2524.743018290235,1.09,0.57,-0.019,PL02
119.681,-0.727,-463.6154082416389,2514.819080875963,1.07,0.56,-0.018,PL03
119.72,-0.708,-467.34701776695096,2506.2403404945608,1.09,0.56,-0.017,PL04
119.788,-0.77,-452.07750777009727,2493.8882208438145,1.19,0.59,-0.017,LOLI
119.837,-0.906,-420.82996145324717,2482.607163137548,1.04,0.55,-0.021,PL14
119.837,-0.906,-420.8399627035822,2481.9371631375484,1.47,0.7,-0.021,P14P
119.866,-0.758,-452.7496317103393,2479.5432331595534,1.07,0.56,-0.018,PL09
119.867,-0.908,-416.55099194156406,2477.419293229332,1.2,0.6,-0.022,PL18
119.88,-0.867,-430.7867419834586,2476.608005617582,1.05,0.55,-0.022,PL08
119.88,-0.735,-458.38335581469374,2478.4780056175814,1.06,0.55,-0.018,PL10
119.896,-0.742,-457.95663335707496,2476.0847078900915,1.21,0.6,-0.019,PL11
119.906,-0.916,-418.02259700425475,2470.945049148534,0.93,0.51,-0.023,PALU
119.906,-0.916,-417.84257399860803,2471.045049148534,1.06,0.56,-0.022,PALP
119.948,-0.716,-463.0525746626258,2467.9476639137065,1.0,0.53,-0.019,PL12
119.971,-0.718,-464.3023150656777,2463.4354416631127,3.44,1.32,-0.019,PL19
119.994,-0.722,-461.6736084929237,2472.9828250312116,1.42,0.67,-0.018,PL17
120.016,-0.723,-463.0778517784475,2452.31386700988,1.76,0.79,-0.016,SLBY
120.044,-0.719,-461.25905558617313,2451.730128290087,1.6,0.73,-0.025,PL16
120.095,-0.709,-463.9034459668685,2439.02147156219,0.8,0.46,-0.017,TOBP
120.095,-0.709,-463.383406151727,2439.26147156219,0.85,0.48,-0.019,TOBO
120.904,-1.908,-155.5718063304878,2228.3520050507104,2.18,1.46,-0.02,KAMB
120.316,-1.424,-284.2653051638232,2371.6552887438047,0.51,0.38,-0.007,WUAS
122.772,-1.04,-361.41986836030867,1777.1986054118986,2.71,1.52,0.006,LUWU
121.436,-1.01,-367.1777544283749,2103.1176812562053,1.98,1.22,0.073,AMPA
120.428,-1.007,-390.7006890136582,2361.5424365923463,1.86,1.59,-0.011,SULI
120.005,-0.248,-574.2619940113825,2462.258390971741,2.07,1.46,-0.045,DONG
120.122,0.127,-663.3096185224208,2438.480230281809,4.54,3.59,0.021,SGTI
120.85,0.453,-748.4620017501986,2261.4338147466865,0.69,0.47,-0.031,TOMI
120.434,0.482,-756.4778072297247,2362.6063167005404,2.4,1.67,-0.013,PALA
120.794,1.121,-916.7884082205567,2277.4328558694447,0.3,0.17,-0.02,TOLI
122.617,0.625,-794.5836566658971,1816.8832976242575,0.61,0.4,-0.006,GT03
122.852,0.639,-794.0450905235941,1757.1517679973695,0.49,0.39,0.001,GT01
122.964,0.559,-776.1471806127568,1725.9925000653816,0.54,0.34,-0.055,GT04
123.029,0.605,-785.8909752476225,1708.4168789073603,0.36,0.29,-0.122,GORO
123.102,0.541,-770.8387879859139,1689.0411922479805,0.48,0.34,-0.041,GT06
123.189,0.528,-768.5440376556085,1664.3783896110428,0.74,0.45,0.017,GT08
123.248,0.51,-766.5302895597708,1650.1316660774348,0.74,0.42,-0.009,GT10
125.064,1.331,-971.5134729150127,1188.603942779052,1.74,1.43,0.079,KEMA
125.064,1.331,-969.302876469484,1190.2239427790516,2.56,1.43,0.036,MANA
