Site,Lon,Lat,94,96,97,98,99,0,1,2,3,4,V_lon,V_lat,S_lon,S_lat,Corr,V_up
BAUB,122.795,-5.471,,X,X,X,,,,S,,,25.7,6.43,4.07,4.05,-0.042,false
UJPD,119.581,-5.154,X,X,X,X,X,X,,,,,27.74,-5.86,0.73,0.51,-0.024,false
TOAR,121.489,-4.582,X,X,X,X,,,,X,,,26.78,-0.09,0.52,0.36,0.001,false
KEND,122.736,-4.227,X,X,X,X,,,,S,,,24.12,8.29,5.09,2.78,0.054,false
PARE,119.65,-3.978,X,X,X,X,P,P,P,X,X,,25.39,-7.81,0.25,0.16,-0.03,false
REDO,120.367,-3.539,X,X,X,X,,X,,,,,23.83,-4.31,0.93,0.67,0.005,false
MALI,120.905,-2.595,X,X,X,X,,X,,,,,19.95,-0.58,1.11,0.62,-0.058,false
LARA,119.382,-1.855,,,,,,,,X,X,,12.13,-0.54,3.98,3.33,-0.042,false
SUNG,120.01,-1.512,,,,,,X,X,X,X,,15.47,-1.5,1.84,1.48,0.105,false
BARA,119.46,-1.427,,,X,X,X,X,X,X,S,,22.27,-8.66,0.82,0.58,-0.031,false
WATA,119.587,-0.874,,,S,X,X,X,P,P,P,P,21.57,-4.57,0.47,0.36,0.001,false
PL02,119.635,-0.795,,,S,X,X,X,X,X,X,X,22.06,-4.61,1.09,0.57,-0.019,false
PL03,119.681,-0.727,,,S,X,X,X,X,X,X,X,21.15,-3.32,1.07,0.56,-0.018,false
PL04,119.72,-0.708,,,S,X,X,X,X,X,X,X,20.27,-2.39,1.09,0.56,-0.017,false
LOLI,119.788,-0.77,,,,,,X,X,X,X,X,20.16,1.84,1.19,0.59,-0.017,false
PL14,119.837,-0.906,,,S,X,X,X,X,X,X,X,22.12,2.51,1.04,0.55,-0.021,false
P14P,119.837,-0.906,,,,,,,,,P,P,22.13,1.84,1.47,0.7,-0.021,false
PL09,119.866,-0.758,,,S,X,X,X,X,X,X,X,17.95,6.52,1.07,0.56,-0.018,false
PL18,119.867,-0.908,,,,,,X,X,X,X,X,18.35,4.64,1.2,0.6,-0.022,false
PL08,119.88,-0.867,,,S,X,X,X,X,X,X,X,22.59,7,1.05,0.55,-0.022,false
PALU,119.906,-0.916,,,S,X,X,X,X,X,X,X,21.8,7.68,0.93,0.51,-0.023,false
PALP,119.906,-0.916,,,,,,,,P,P,P,21.62,7.78,1.06,0.56,-0.022,false
