Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr,Site
122.795,-5.471,345.73368713941716,-280.99653858339235,4.07,4.05,-0.042,BAUB
119.581,-5.154,327.7360661397411,-122.19975412795732,0.73,0.51,-0.024,UJPD
121.489,-4.582,297.5580717511152,-218.07457039239367,0.52,0.36,0.001,TOAR
122.736,-4.227,280.8290955619925,-276.0023704451175,5.09,2.78,0.054,KEND
119.65,-3.978,267.024968092468,-127.82851593046708,0.25,0.16,-0.03,PARE
120.367,-3.539,244.98705135490144,-162.54435926862465,0.93,0.67,0.005,REDO
120.905,-2.595,198.3732460345936,-187.47362140120308,1.11,0.62,-0.058,MALI
119.382,-1.855,166.86424029350943,-106.26906557633679,3.98,3.33,-0.042,LARA
120.01,-1.512,145.18401502384575,-140.70911098910705,1.84,1.48,0.105,SUNG
119.46,-1.427,133.8788017179476,-118.54818798993304,0.82,0.58,-0.031,BARA
119.587,-0.874,105.08085021014524,-121.2296532333424,0.47,0.36,0.001,WATA
119.635,-0.795,100.37697447782301,-123.82879972635692,1.09,0.57,-0.019,PL02
119.681,-0.727,97.66012973985079,-124.99123662344928,1.07,0.56,-0.018,PL03
119.72,-0.708,97.52614673167626,-126.14041523201375,1.09,0.56,-0.017,PL04
119.788,-0.77,100.93973669233733,-125.53551201792106,1.19,0.59,-0.017,LOLI
119.837,-0.906,106.22862166356963,-127.47760318597308,1.04,0.55,-0.021,PL14
119.837,-0.906,106.21862041323465,-128.14760318597305,1.47,0.7,-0.021,P14P
119.866,-0.758,102.50783373793062,-125.01349003240688,1.07,0.56,-0.018,PL09
119.867,-0.908,110.10463832391311,-126.94679587664938,1.2,0.6,-0.022,PL18
119.88,-0.867,103.6778399211081,-125.2797681982858,1.05,0.55,-0.022,PL08
119.906,-0.916,107.07926786766963,-125.98569237646177,0.93,0.51,-0.023,PALU
119.906,-0.916,107.25929087331629,-125.88569237646175,1.06,0.56,-0.022,PALP
