Site,Lon,Lat,94,96,97,98,99,0,1,2,3,4,V_lon,V_lat,S_lon,S_lat,Corr,V_up
PL12,119.948,-0.716,,,S,X,X,X,X,X,X,X,18.05,14.93,1,0.53,-0.019,false
PL19,119.971,-0.718,,,,,,,,,X,X,19.8,16.03,3.44,1.32,-0.019,false
PL17,119.994,-0.722,,,,,,X,X,X,X,X,18.16,31.19,1.42,0.67,-0.018,false
SLBY,120.016,-0.723,,,,,,,,X,X,X,19.82,15.89,1.76,0.79,-0.016,false
PL16,120.044,-0.719,,,,,,X,X,X,X,X,17.04,22.14,1.6,0.73,-0.025,false
TOBP,120.095,-0.709,,,,,,,P,P,P,P,17.27,21.88,0.8,0.46,-0.017,false
TOBO,120.095,-0.709,,,S,X,X,X,X,X,X,,16.75,22.12,0.85,0.48,-0.019,false
WUAS,120.316,-1.424,,X,X,X,X,X,X,X,X,,12.46,8.48,0.51,0.38,-0.007,false
SULI,120.428,-1.007,,,,,,X,X,X,S,,17.07,25.73,1.86,1.59,-0.011,false
DONG,120.005,-0.248,,,,,S,X,X,X,X,,15.07,23.15,2.07,1.46,-0.045,false
SGTI,120.122,0.127,,,,,,,,X,X,,12.59,27.93,4.54,3.59,0.021,false
TOMI,120.85,0.453,S,S,X,X,X,X,X,X,X,,17.92,28.8,0.69,0.47,-0.031,false
PALA,120.434,0.482,,,,,S,X,X,X,X,,18.98,28.26,2.4,1.67,-0.013,false
TOLI,120.794,1.121,,,,,P,P,P,P,P,,22.83,31.1,0.3,0.17,-0.02,false
GT03,122.617,0.625,X,,,,,,X,X,,,21.28,17.53,0.61,0.4,-0.006,false
GT01,122.852,0.639,X,,,,,,S,X,,,17.22,15.56,0.49,0.39,0.001,false
GT04,122.964,0.559,X,,,,,X,X,X,,,18.96,11.94,0.54,0.34,-0.055,false
