Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr,Site
119.948,-0.716,-463.0525746626258,2467.9476639137065,1.0,0.53,-0.019,PL12
119.971,-0.718,-464.3023150656777,2463.4354416631127,3.44,1.32,-0.019,PL19
119.994,-0.722,-461.6736084929237,2472.9828250312116,1.42,0.67,-0.018,PL17
120.016,-0.723,-463.0778517784475,2452.31386700988,1.76,0.79,-0.016,SLBY
120.044,-0.719,-461.25905558617313,2451.730128290087,1.6,0.73,-0.025,PL16
120.095,-0.709,-463.9034459668685,2439.02147156219,0.8,0.46,-0.017,TOBP
120.095,-0.709,-463.383406151727,2439.26147156219,0.85,0.48,-0.019,TOBO
120.316,-1.424,-284.2653051638232,2371.6552887438047,0.51,0.38,-0.007,WUAS
120.428,-1.007,-390.7006890136582,2361.5424365923463,1.86,1.59,-0.011,SULI
120.005,-0.248,-574.2619940113825,2462.258390971741,2.07,1.46,-0.045,DONG
120.122,0.127,-663.3096185224208,2438.480230281809,4.54,3.59,0.021,SGTI
120.85,0.453,-748.4620017501986,2261.4338147466865,0.69,0.47,-0.031,TOMI
120.434,0.482,-756.4778072297247,2362.6063167005404,2.4,1.67,-0.013,PALA
120.794,1.121,-916.7884082205567,2277.4328558694447,0.3,0.17,-0.02,TOLI
122.617,0.625,-794.5836566658971,1816.8832976242575,0.61,0.4,-0.006,GT03
122.852,0.639,-794.0450905235941,1757.1517679973695,0.49,0.39,0.001,GT01
122.964,0.559,-776.1471806127568,1725.9925000653816,0.54,0.34,-0.055,GT04
