Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr.,Site
114.791,-3.867,-2.215,-3.765,1.05,0.69,-0.027,BATU
116.815,-1.272,-23.595,16.925,0.74,0.45,-0.017,BLKP
118.121,5.842,-4.285,0.005,0.22,0.15,0.012,SAND
123.663,-10.177,-43.415,-41.795,1.29,0.93,-0.046,KOEP
124.28,-9.776,4.395,4.895,0.42,0.29,-0.006,KAPA
121.766,-8.707,-35.515,-28.175,0.4,0.31,-0.026,ENDE
125.739,-8.059,-3.935,-10.995,0.51,0.34,-0.015,LIRA
125.991,-2.048,17.465,-6.275,1.75,1.04,-0.008,SANA
127.342,0.86,36.535,-8.625,1.41,0.85,-0.02,TERN
128.117,-3.775,-50.315,-11.125,1.83,0.89,0.005,AMBO
122.795,-5.471,24.615,4.695,4.07,4.05,-0.042,BAUB
119.581,-5.154,-52.355,1.165,0.73,0.51,-0.024,UJPD
121.489,-4.582,25.575,-1.075,0.52,0.36,0.001,TOAR
122.736,-4.227,-49.695,-7.215,5.09,2.78,0.054,KEND
119.65,-3.978,24.305,15.025,0.25,0.16,-0.03,PARE
120.367,-3.539,-48.135,-10.715,0.93,0.67,0.005,REDO
120.905,-2.595,28.185,11.295,1.11,0.62,-0.058,MALI
119.382,-1.855,-40.315,-10.755,3.98,3.33,-0.042,LARA
120.01,-1.512,24.845,12.255,1.84,1.48,0.105,SUNG
119.46,-1.427,-47.115,-3.595,0.82,0.58,-0.031,BARA
119.587,-0.874,25.545,8.165,0.47,0.36,0.001,WATA
119.635,-0.795,-47.605,-3.555,1.09,0.57,-0.019,PL02
119.681,-0.727,26.455,6.875,1.07,0.56,-0.018,PL03
119.72,-0.708,-46.725,-4.485,1.09,0.56,-0.017,PL04
119.788,-0.77,26.565,2.645,1.19,0.59,-0.017,LOLI
119.837,-0.906,-48.685,-5.155,1.04,0.55,-0.021,PL14
119.837,-0.906,26.555,3.315,1.47,0.7,-0.021,P14P
119.866,-0.758,-44.505,-9.835,1.07,0.56,-0.018,PL09
119.867,-0.908,26.155,5.195,1.2,0.6,-0.022,PL18
119.88,-0.867,-48.745,-12.195,1.05,0.55,-0.022,PL08
119.88,-0.735,30.765,3.325,1.06,0.55,-0.018,PL10
119.896,-0.742,-50.035,-13.705,1.21,0.6,-0.019,PL11
119.906,-0.916,28.235,6.025,0.93,0.51,-0.023,PALU
119.906,-0.916,-49.855,-13.805,1.06,0.56,-0.022,PALP
119.948,-0.716,31.805,-1.125,1,0.53,-0.019,PL12
119.971,-0.718,-51.605,-14.905,3.44,1.32,-0.019,PL19
119.994,-0.722,33.445,-16.285,1.42,0.67,-0.018,PL17
120.016,-0.723,-53.265,0.395,1.76,0.79,-0.016,SLBY
120.044,-0.719,36.225,-22.535,1.6,0.73,-0.025,PL16
120.095,-0.709,-53.495,0.655,0.8,0.46,-0.017,TOBP
120.095,-0.709,36.745,-22.775,0.85,0.48,-0.019,TOBO
120.904,-1.908,-39.625,13.845,2.18,1.46,-0.02,KAMB
120.316,-1.424,27.165,-22.325,0.51,0.38,-0.007,WUAS
122.772,-1.04,-24.545,6.385,2.71,1.52,0.006,LUWU
121.436,-1.01,29.575,-20.345,1.98,1.22,0.073,AMPA
120.428,-1.007,-46.645,-5.385,1.86,1.59,-0.011,SULI
120.005,-0.248,31.575,-17.765,2.07,1.46,-0.045,DONG
120.122,0.127,-44.165,-10.165,4.54,3.59,0.021,SGTI
120.85,0.453,26.245,-18.635,0.69,0.47,-0.031,TOMI
120.434,0.482,-45.225,-9.625,2.4,1.67,-0.013,PALA
120.794,1.121,22.395,-21.475,0.3,0.17,-0.02,TOLI
122.617,0.625,-43.675,3.945,0.61,0.4,-0.006,GT03
122.852,0.639,26.455,-19.505,0.49,0.39,0.001,GT01
122.964,0.559,-45.415,7.565,0.54,0.34,-0.055,GT04
123.029,0.605,28.045,-17.915,0.36,0.29,-0.122,GORO
123.102,0.541,-46.085,8.985,0.48,0.34,-0.041,GT06
123.189,0.528,27.165,-14.655,0.74,0.45,0.017,GT08
123.248,0.51,-48.485,8.715,0.74,0.42,-0.009,GT10
125.064,1.331,25.305,-0.725,1.74,1.43,0.079,KEMA
125.064,1.331,-46.275,7.095,2.56,1.43,0.036,MANA
