Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr.,Site
114.791,-3.867,26.4,-10.81,0,0,0,
116.815,-1.272,25.81,-13.16,0,0,0,
117.641,0.558,24.1,-12.64,0,0,0,
117.979,4.251,24.27,-16.51,0,0,0,
118.121,5.842,27.88,-16.93,0,0,0,
123.663,-10.177,47.7,41.79,0,0,0,
124.28,-9.776,39.02,36.9,0,0,0,
121.766,-8.707,31.12,23.28,0,0,0,
125.739,-8.059,39.45,39.17,0,0,0,
125.991,-2.048,-13.53,17.27,0,0,0,
127.342,0.86,-54,14.9,0,0,0,
128.117,-3.775,13.78,19.75,0,0,0,
122.795,-5.471,25.7,6.43,0,0,0,
119.581,-5.154,27.74,-5.86,0,0,0,
121.489,-4.582,26.78,-0.09,0,0,0,
122.736,-4.227,24.12,8.29,0,0,0,
119.65,-3.978,25.39,-7.81,0,0,0,
120.367,-3.539,23.83,-4.31,0,0,0,
120.905,-2.595,19.95,-0.58,0,0,0,
119.382,-1.855,12.13,-0.54,0,0,0,
120.01,-1.512,15.47,-1.5,0,0,0,
119.46,-1.427,22.27,-8.66,0,0,0,
119.587,-0.874,21.57,-4.57,0,0,0,
119.635,-0.795,22.06,-4.61,0,0,0,
119.681,-0.727,21.15,-3.32,0,0,0,
119.72,-0.708,20.27,-2.39,0,0,0,
119.788,-0.77,20.16,1.84,0,0,0,
119.837,-0.906,22.12,2.51,0,0,0,
119.837,-0.906,22.13,1.84,0,0,0,
119.866,-0.758,17.95,6.52,0,0,0,
119.867,-0.908,18.35,4.64,0,0,0,
119.88,-0.867,22.59,7,0,0,0,
119.88,-0.735,17.98,8.87,0,0,0,
119.896,-0.742,19.27,10.38,0,0,0,
119.906,-0.916,21.8,7.68,0,0,0,
119.906,-0.916,21.62,7.78,0,0,0,
119.948,-0.716,18.05,14.93,0,0,0,
119.971,-0.718,19.8,16.03,0,0,0,
119.994,-0.722,18.16,31.19,0,0,0,
120.016,-0.723,19.82,15.89,0,0,0,
120.044,-0.719,17.04,22.14,0,0,0,
120.095,-0.709,17.27,21.88,0,0,0,
120.095,-0.709,16.75,22.12,0,0,0,
120.904,-1.908,2.88,8.93,0,0,0,
120.316,-1.424,12.46,8.48,0,0,0,
122.772,-1.04,-2.62,15.94,0,0,0,
121.436,-1.01,-5.03,13.96,0,0,0,
120.428,-1.007,17.07,25.73,0,0,0,
120.005,-0.248,15.07,23.15,0,0,0,
120.122,0.127,12.59,27.93,0,0,0,
120.85,0.453,17.92,28.8,0,0,0,
120.434,0.482,18.98,28.26,0,0,0,
120.794,1.121,22.83,31.1,0,0,0,
122.617,0.625,21.28,17.53,0,0,0,
122.852,0.639,17.22,15.56,0,0,0,
122.964,0.559,18.96,11.94,0,0,0,
123.029,0.605,17.37,10.35,0,0,0,
123.102,0.541,18.04,8.93,0,0,0,
123.189,0.528,18.92,5.67,0,0,0,
123.248,0.51,21.32,5.94,0,0,0,
125.064,1.331,23.18,-7.99,0,0,0,
125.064,1.331,20.97,-6.37,0,0,0,
