Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr.,Site
114.791,-3.867,26.4,-10.81,1.05,0.69,-0.027,BATU
116.815,-1.272,25.81,-13.16,0.74,0.45,-0.017,BLKP
117.641,0.558,24.1,-12.64,1.36,0.87,-0.022,TNJB
117.979,4.251,24.27,-16.51,0.62,0.39,-0.019,TAWA
118.121,5.842,27.88,-16.93,0.22,0.15,0.012,SAND
123.663,-10.177,47.7,41.79,1.29,0.93,-0.046,KOEP
124.28,-9.776,39.02,36.9,0.42,0.29,-0.006,KAPA
121.766,-8.707,31.12,23.28,0.4,0.31,-0.026,ENDE
125.739,-8.059,39.45,39.17,0.51,0.34,-0.015,LIRA
125.991,-2.048,-13.53,17.27,1.75,1.04,-0.008,SANA
127.342,0.86,-54,14.9,1.41,0.85,-0.02,TERN
128.117,-3.775,13.78,19.75,1.83,0.89,0.005,AMBO
122.795,-5.471,25.7,6.43,4.07,4.05,-0.042,BAUB
119.581,-5.154,27.74,-5.86,0.73,0.51,-0.024,UJPD
121.489,-4.582,26.78,-0.09,0.52,0.36,0.001,TOAR
122.736,-4.227,24.12,8.29,5.09,2.78,0.054,KEND
119.65,-3.978,25.39,-7.81,0.25,0.16,-0.03,PARE
120.367,-3.539,23.83,-4.31,0.93,0.67,0.005,REDO
120.905,-2.595,19.95,-0.58,1.11,0.62,-0.058,MALI
119.382,-1.855,12.13,-0.54,3.98,3.33,-0.042,LARA
120.01,-1.512,15.47,-1.5,1.84,1.48,0.105,SUNG
119.46,-1.427,22.27,-8.66,0.82,0.58,-0.031,BARA
119.587,-0.874,21.57,-4.57,0.47,0.36,0.001,WATA
119.635,-0.795,22.06,-4.61,1.09,0.57,-0.019,PL02
119.681,-0.727,21.15,-3.32,1.07,0.56,-0.018,PL03
119.72,-0.708,20.27,-2.39,1.09,0.56,-0.017,PL04
119.788,-0.77,20.16,1.84,1.19,0.59,-0.017,LOLI
119.837,-0.906,22.12,2.51,1.04,0.55,-0.021,PL14
119.837,-0.906,22.13,1.84,1.47,0.7,-0.021,P14P
119.866,-0.758,17.95,6.52,1.07,0.56,-0.018,PL09
119.867,-0.908,18.35,4.64,1.2,0.6,-0.022,PL18
119.88,-0.867,22.59,7,1.05,0.55,-0.022,PL08
119.88,-0.735,17.98,8.87,1.06,0.55,-0.018,PL10
119.896,-0.742,19.27,10.38,1.21,0.6,-0.019,PL11
119.906,-0.916,21.8,7.68,0.93,0.51,-0.023,PALU
119.906,-0.916,21.62,7.78,1.06,0.56,-0.022,PALP
119.948,-0.716,18.05,14.93,1,0.53,-0.019,PL12
119.971,-0.718,19.8,16.03,3.44,1.32,-0.019,PL19
119.994,-0.722,18.16,31.19,1.42,0.67,-0.018,PL17
120.016,-0.723,19.82,15.89,1.76,0.79,-0.016,SLBY
120.044,-0.719,17.04,22.14,1.6,0.73,-0.025,PL16
120.095,-0.709,17.27,21.88,0.8,0.46,-0.017,TOBP
120.095,-0.709,16.75,22.12,0.85,0.48,-0.019,TOBO
120.904,-1.908,2.88,8.93,2.18,1.46,-0.02,KAMB
120.316,-1.424,12.46,8.48,0.51,0.38,-0.007,WUAS
122.772,-1.04,-2.62,15.94,2.71,1.52,0.006,LUWU
121.436,-1.01,-5.03,13.96,1.98,1.22,0.073,AMPA
120.428,-1.007,17.07,25.73,1.86,1.59,-0.011,SULI
120.005,-0.248,15.07,23.15,2.07,1.46,-0.045,DONG
120.122,0.127,12.59,27.93,4.54,3.59,0.021,SGTI
120.85,0.453,17.92,28.8,0.69,0.47,-0.031,TOMI
120.434,0.482,18.98,28.26,2.4,1.67,-0.013,PALA
120.794,1.121,22.83,31.1,0.3,0.17,-0.02,TOLI
122.617,0.625,21.28,17.53,0.61,0.4,-0.006,GT03
122.852,0.639,17.22,15.56,0.49,0.39,0.001,GT01
122.964,0.559,18.96,11.94,0.54,0.34,-0.055,GT04
123.029,0.605,17.37,10.35,0.36,0.29,-0.122,GORO
123.102,0.541,18.04,8.93,0.48,0.34,-0.041,GT06
123.189,0.528,18.92,5.67,0.74,0.45,0.017,GT08
123.248,0.51,21.32,5.94,0.74,0.42,-0.009,GT10
125.064,1.331,23.18,-7.99,1.74,1.43,0.079,KEMA
125.064,1.331,20.97,-6.37,2.56,1.43,0.036,MANA
