date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1976-01-23,05:45:38.50,-7.37,120.07,623.1,6.7,233,38,-96,61,53,-85,1.58E+026,26,,,,,,
1977-01-01,19:01:40.70,-2.88,126.15,43.4,6.3,91,83,3,1,87,173,3.82E+025,25,,,,,,
1977-02-13,13:06:57.40,-0.05,125.08,50.2,5.9,175,22,53,34,72,104,9.08E+024,24,,,,,,
1977-02-16,10:40:26.10,0.44,125.97,29.4,6,61,35,124,201,62,68,1.29E+025,25,,,,,,
1977-03-09,23:01:16.40,3.07,126.72,20.1,5.5,83,18,123,228,75,80,2.5E+024,24,,,,,,
1977-04-13,12:45:43.50,3.72,126.86,44.9,5.4,134,34,42,8,68,117,1.39E+024,23,,,,,,
1977-04-19,21:46:40.70,-5.62,125.62,555,5.7,53,29,146,174,74,65,5.18E+024,24,,,,,,
1977-05-11,03:22:31.30,2.06,126.36,110,5.2,319,18,-18,65,85,-107,9.97E+023,23,,,,,,
1977-05-28,05:51:53.50,-1.74,120.81,33.6,6.1,123,77,4,33,86,167,1.85E+025,25,,,,,,
1977-06-19,07:32:20.20,4.8,125.41,283.5,5.9,14,36,-73,173,56,-102,8.85E+024,24,,,,,,
1977-07-03,14:39:19.60,1.45,126.37,30.1,6.3,28,32,99,197,58,85,3.15E+025,25,,,,,,
1977-08-27,07:12:33.70,-7.92,125.72,32.3,7,249,46,113,38,49,68,4.39E+026,26,,,,,,
1977-09-06,05:00:45.00,2.19,126.63,34.7,5.5,107,12,116,261,79,85,2.53E+024,24,,,,,,
1977-09-19,05:13:09.10,-2.31,126.11,15,6.2,104,43,-75,264,48,-104,2.88E+025,25,,,,,,
1977-10-09,19:07:35.40,-6.7,126.16,322.9,5.2,146,11,115,301,81,85,7.48E+023,23,,,,,,
1977-10-17,10:41:09.70,-1.06,126.89,63.4,5.7,15,77,-170,283,80,-13,3.81E+024,24,,,,,,
1977-11-27,09:33:50.50,-0.61,120.53,60.9,5.8,201,55,-31,310,65,-140,7.15E+024,24,,,,,,
1977-12-13,14:27:12.60,-0.31,124.08,46.1,5.4,97,83,-175,7,85,-7,1.8E+024,24,,,,,,
1978-01-14,13:49:49.00,1.62,126.3,46.2,5.6,80,42,129,212,59,60,3.4E+024,24,,,,,,
1978-01-20,21:31:20.10,-3.98,123.17,30,5.4,123,24,19,15,82,112,1.83E+024,24,,,,,,
1978-01-25,09:37:17.70,-7.93,121.79,184,5.3,44,22,-102,237,68,-85,1.24E+024,23,,,,,,
1978-02-03,14:33:42.20,4.73,125.59,179.1,5.8,194,12,112,351,79,85,6.45E+024,24,,,,,,
1978-02-07,07:01:44.90,0.09,123.81,81,6.4,311,61,4,219,86,151,4.53E+025,25,,,,,,
1978-02-21,07:47:31.10,-5.04,125.28,555.5,6.2,292,19,28,175,81,107,2.38E+025,25,,,,,,
1978-03-11,04:18:08.60,1.4,125.77,50.9,5.9,349,48,16,248,78,136,7.87E+024,24,,,,,,
1978-04-25,04:24:56.80,4.78,124.6,31,6.2,226,76,-178,135,88,-14,2.64E+025,25,,,,,,
1978-05-03,02:29:57.00,3.76,126.7,39.5,5.4,359,24,-36,123,76,-110,1.34E+024,23,,,,,,
1978-05-25,22:20:55.20,-0.18,125.29,41.8,5.5,219,17,105,24,73,85,2.22E+024,24,,,,,,
1978-06-11,10:22:06.20,4.43,126.68,78,5.2,263,22,174,359,88,68,8.79E+023,23,,,,,,
1978-07-08,03:06:56.60,0.57,126.21,41,6,168,27,50,31,70,108,1.09E+025,24,,,,,,
1978-09-08,12:28:43.40,3.91,126.31,35,5.5,1,21,-101,192,70,-86,2.49E+024,24,,,,,,
1978-09-26,06:07:47.10,1.03,120.43,20,5.6,181,49,-171,85,83,-41,3.45E+024,24,,,,,,
