no,ID BMKG,Date (hari-bulan-tahun),Time BMKG,Latitude,Longitude,Depth,Mw,az,cPhase,Segmen- grid,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2,P azimuth,P plunge,T azimuth,T plunge,Quality,,
1,bmg2012vyty,2012-11-08,09:37:22,-0.28,119.73,7.70,4.43,146,18,offshore-005,228,79,101,4,15,47,309,33,151,55,B,,
2,bmg2011lmhe,2011-06-13,08:40:18,-0.21,119.86,8.48,5.23,93,14,offshore-006,89,79,-159,354,70,-12,313,22,220,6,B,,
3,bmg2018eefb,2018-03-01,05:14:27,-0.23,119.88,13.11,4.83,106,22,offshore-006,177,45,-18,280,77,-133,150,41,41,21,A,,
4,bmg2018szxj,2018-09-28,07:50:44,-0.19,119.77,6.34,4.70,148,11,offshore-006,183,59,-4,276,87,-149,144,24,45,19,B,,
5,bmg2018eefp,2018-03-01,05:30:28,-0.22,119.87,18.93,4.12,113,18,offshore-006,217,37,86,42,53,93,130,8,327,81,D,,
6,bmg2014nsmi,2014-07-15,02:37:59,-0.32,119.74,27.96,5.23,37,82,offshore-007,193,65,114,326,34,49,265,17,141,62,B,,
7,bmg2018szym,2018-09-28,08:25:00,-0.34,119.80,7.02,5.30,45,73,offshore-008,102,86,179,192,89,4,327,2,57,4,B,,
8,bmg2011qgyd,2011-08-20,11:35:32,-0.24,119.93,8.52,4.33,142,14,offshore-008,326,29,-64,117,64,-104,360,68,217,18,C,,
9,bmg2015lqhx,2015-06-15,11:03:47,-0.26,119.87,10.71,4.22,166,15,offshore-008,81,84,149,174,60,7,131,16,33,26,C,,
10,bmg2010dhyv,2010-02-17,01:49:14,-0.53,119.83,14.80,4.93,73,29,offshore-011,97,69,166,192,77,22,323,6,56,24,B,,
11,bmg2011uboz,2011-10-13,11:25:08,-0.55,119.73,9.55,4.83,89,16,offshore-011,289,58,20,188,73,146,241,10,144,35,B,,
12,bmg2011cucn,2011-02-09,11:40:08,-0.58,119.72,10.45,4.63,164,19,offshore-011,318,60,112,99,37,57,33,12,271,67,D,,
13,bmg2016kvfw,2016-06-02,22:11:01,-0.60,119.84,5.85,4.43,80,21,offshore-011,32,41,56,254,57,116,326,9,215,67,C,,
14,bmg2010hbxn,2010-04-11,17:19:24,-0.56,119.82,35.99,4.33,108,19,offshore-011,270,83,161,3,71,7,318,8,225,18,B,,
15,bmg2016fuqq,2016-03-23,10:49:46,-0.49,119.97,17.36,4.43,80,25,offshore-012,282,64,-118,153,37,-46,150,60,32,15,B,,
16,bmg2010wsrb,2010-11-20,11:50:32,-0.49,119.91,10.00,4.33,109,21,offshore-012,249,56,-85,59,35,-98,178,78,335,11,B,,
17,bmg2016awkr,2016-01-13,06:23:19,-0.53,119.90,8.13,4.22,97,17,offshore-012,340,73,-34,81,58,-159,297,36,34,10,D,,
18,bmg2010ywbt,2010-12-20,20:11:17,-1.76,120.17,20.55,4.63,66,32,PalukoroMoa-001,115,64,-1,205,89,-154,73,19,337,18,B,,
19,bmg2014pjjc,2014-08-07,13:51:34,-1.75,120.03,5.65,4.63,83,27,PalukoroMoa-001,38,76,-179,308,89,-14,262,11,354,9,C,,
20,bmg2010ywbr,2010-12-20,20:09:37,-1.74,120.14,7.77,4.43,74,19,PalukoroMoa-001,135,26,18,28,82,115,98,33,324,47,C,,
21,bmg2017cqhe,2017-02-07,08:52:04,-1.72,120.12,32.93,4.22,134,14,PalukoroMoa-001,184,45,61,43,52,116,115,4,14,69,B,,
22,bmg2010jlty,2010-05-15,14:28:47,-1.24,119.96,10.94,4.33,64,33,PalukoroPalu-002,225,89,-133,134,43,-1,100,32,349,30,B,,
23,bmg2010rnza,2010-09-07,17:22:30,-0.64,119.81,8.61,4.73,84,35,PalukoroPalu-002,324,64,8,230,83,154,280,13,184,24,B,,
24,bmg2010yrtj,2010-12-18,11:23:12,-1.12,119.93,8.56,4.63,77,23,PalukoroPalu-002,326,65,-44,79,51,-147,286,48,25,8,B,,
25,bmg2011ankq,2011-01-08,08:15:15,-1.08,119.87,8.75,5.13,80,40,PalukoroPalu-002,95,48,-172,359,84,-42,308,33,54,23,D,,
26,bmg2011fpds,2011-03-21,11:49:17,-0.64,119.83,7.95,4.22,76,19,PalukoroPalu-002,304,39,-155,193,74,-54,142,48,257,21,D,,
27,bmg2012fmxh,2012-03-19,05:04:58,-0.77,119.88,31.67,5.03,55,55,PalukoroPalu-002,360,84,29,267,61,174,130,16,227,24,A,,
28,bmg2012gmgx,2012-04-02,02:19:40,-0.82,119.89,8.28,4.73,70,25,PalukoroPalu-002,249,60,117,23,39,51,320,11,206,64,C,,
