date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1907-05-25,11:50:28.02,-0.595,119.791,35,6.39,,,,,,,,,,,,,,
1907-06-24,03:36:12.17,1.948,118.921,35,6.31,,,,,,,,,,,,,,
1907-07-29,19:28:35.08,-1.112,120.018,35,6.34,,,,,,,,,,,,,,
1908-05-05,06:17:47.17,0.513,125.487,35,7.26,,,,,,,,,,,,,,
1909-03-17,22:53:10.07,-1.213,121.842,35,6.77,,,,,,,,,,,,,,
1910-12-16,14:44:55.85,4.668,126.017,15,7.61,,,,,,,,,,,,,,
1910-12-18,02:45:06.83,4.841,125.537,35,6.5,,,,,,,,,,,,,,
1912-08-17,19:11:56.32,3.568,125.973,35,7.49,,,,,,,,,,,,,,
1912-12-23,23:56:12.49,-0.676,122.745,35,6.67,,,,,,,,,,,,,,
1913-01-11,13:16:58.99,1.373,121.928,35,7.11,,,,,,,,,,,,,,
1913-03-26,21:35:49.96,1.928,126.719,70,6.21,,,,,,,,,,,,,,
1913-11-19,03:20:25.28,-2.39,122.512,35,6.79,,,,,,,,,,,,,,
1915-08-12,07:36:31.10,-2.815,118.142,35,6.28,,,,,,,,,,,,,,
1916-02-14,10:01:46.13,3.544,126.465,70,6.44,,,,,,,,,,,,,,
1917-06-03,14:34:39.40,-2.896,122.586,35,6.14,,,,,,,,,,,,,,
1920-05-19,03:10:53.19,2.511,119.305,35,6.26,,,,,,,,,,,,,,
1921-05-14,11:17:55.44,0.677,118.938,35,6.52,,,,,,,,,,,,,,
1922-09-11,14:44:23.58,-0.336,122.921,35,6.43,,,,,,,,,,,,,,
1923-02-23,05:51:59.70,-0.63,123.161,35,6.43,,,,,,,,,,,,,,
1923-12-05,22:35:10.40,-1.401,121.004,35,6.56,,,,,,,,,,,,,,
1924-02-13,22:50:18.83,-3.065,121.254,35,6.59,,,,,,,,,,,,,,
1924-04-13,13:48:05.26,0.701,117.51,35,6.2,,,,,,,,,,,,,,
1924-05-03,11:19:37.60,0.31,126.604,35,5.85,,,,,,,,,,,,,,
1924-07-29,05:18:42.56,-3.137,121.091,35,6.52,,,,,,,,,,,,,,
1925-05-03,17:21:46.47,1.223,126.303,15,7.13,,,,,,,,,,,,,,
1925-05-05,23:21:08.96,1.114,126.095,15,6.72,,,,,,,,,,,,,,
1925-06-03,04:33:53.63,1.223,125.917,15,6.9,,,,,,,,,,,,,,
1925-10-18,08:26:01.86,4.8,126.408,35,5.97,,,,,,,,,,,,,,
1925-12-27,10:28:20.26,1.76,126.375,35,6.26,,,,,,,,,,,,,,
1925-12-29,16:04:19.30,-1.453,120.268,25,6.45,,,,,,,,,,,,,,
1926-07-10,10:51:11.14,0.585,126.035,15,6.63,,,,,,,,,,,,,,
1926-08-03,10:32:07.98,-2.707,126.3,15,6.71,,,,,,,,,,,,,,
1927-02-18,22:56:22.94,4.788,125.924,35,5.96,,,,,,,,,,,,,,
1927-02-21,12:25:11.84,-0.801,121.893,35,6.01,,,,,,,,,,,,,,
1927-03-03,01:05:10.34,-6.668,122.012,15,7.02,,,,,,,,,,,,,,
1927-08-04,15:47:55.01,-1.404,123,25,6.22,,,,,,,,,,,,,,
1927-08-08,18:43:55.52,1.758,118.382,35,5.69,,,,,,,,,,,,,,
1927-08-25,16:52:40.24,3.218,125.768,15,5.62,,,,,,,,,,,,,,
1927-11-20,17:14:48.72,1.356,120.307,15,5.49,,,,,,,,,,,,,,
1927-12-01,04:37:24.64,-0.881,120.751,20,6.21,,,,,,,,,,,,,,
1927-12-11,17:25:37.11,-1.444,124.542,35,6.08,,,,,,,,,,,,,,
1928-03-26,05:26:25.93,1.019,125.355,35,6.26,,,,,,,,,,,,,,
1928-03-26,06:43:20.87,0.767,125.249,35,5.96,,,,,,,,,,,,,,
1928-03-26,08:06:15.40,1.089,125.608,35,6,,,,,,,,,,,,,,
1928-03-26,09:47:47.93,0.778,125.173,35,5.86,,,,,,,,,,,,,,
1928-05-17,10:55:32.54,2.019,125.998,25,5.84,,,,,,,,,,,,,,
1928-06-01,08:00:16.71,2.081,125.885,35,5.54,,,,,,,,,,,,,,
1928-07-21,02:40:07.29,-3.987,120.118,35,5.75,,,,,,,,,,,,,,
1928-08-12,08:08:41.74,1.908,126.962,15,6.12,,,,,,,,,,,,,,
1928-09-13,03:26:27.35,1.927,126.011,35,6.41,,,,,,,,,,,,,,
1928-09-24,09:12:33.84,0.206,125.423,35,5.58,,,,,,,,,,,,,,
1928-10-13,15:17:06.44,1.062,125.678,35,5.89,,,,,,,,,,,,,,
1929-01-30,16:54:07.21,1.643,125.961,35,6.02,,,,,,,,,,,,,,
1929-02-28,00:13:00.43,0.891,123.427,35,5.55,,,,,,,,,,,,,,
1929-05-19,05:09:38.92,-1.846,124.972,15,5.63,,,,,,,,,,,,,,
1929-11-13,00:34:26.06,2.675,125.302,15,6.07,,,,,,,,,,,,,,
1929-11-14,20:43:28.50,-1.145,121.945,35,5.61,,,,,,,,,,,,,,
1929-12-27,13:32:07.32,-1.775,124.86,35,5.64,,,,,,,,,,,,,,
1930-02-24,20:50:30.35,-0.489,121.814,35,5.89,,,,,,,,,,,,,,
1930-03-26,07:12:07.91,-7.765,125.793,10,6.88,,,,,,,,,,,,,,
1930-03-26,11:32:09.06,-7.414,126.296,15,5.91,,,,,,,,,,,,,,
1930-03-30,15:19:26.11,-7.661,126.358,10,6.23,,,,,,,,,,,,,,
1930-04-02,04:14:28.99,3.779,125.589,15,5.74,,,,,,,,,,,,,,
1931-01-19,12:24:12.07,-7.363,126.634,15,5.89,,,,,,,,,,,,,,
1931-02-27,09:37:44.44,2.052,126.126,35,6.44,,,,,,,,,,,,,,
1931-09-29,05:14:40.13,1.697,126.108,35,6.05,,,,,,,,,,,,,,
1932-05-12,06:07:53.94,0.792,126.071,35,5.5,,,,,,,,,,,,,,
1932-05-14,13:11:03.84,0.386,125.884,15,7.7,,,,,,,4,20,,,,,,
1932-07-30,12:13:49.63,-0.752,119.794,35,5.77,,,,,,,,,,,,,,
1932-08-02,04:25:36.11,1.547,126.055,35,6.16,,,,,,,,,,,,,,
1932-12-04,08:11:17.62,2.433,121.039,15,6.99,,,,,,,,,,,,,,
1932-12-04,10:33:00.04,2.411,120.99,15,6.19,,,,,,,,,,,,,,
1933-02-16,09:08:15.73,2.228,126.138,35,5.75,,,,,,,,,,,,,,
1933-02-22,03:47:55.99,4.24,126.658,25,5.68,,,,,,,,,,,,,,
1934-04-02,04:57:47.39,0.042,125.195,35,5.58,,,,,,,,,,,,,,
1934-04-26,13:39:41.70,1.055,122.88,35,5.75,,,,,,,,,,,,,,
1934-09-11,08:13:36.09,-0.207,122.779,35,5.69,,,,,,,,,,,,,,
1935-02-27,09:09:19.79,2.232,126.33,15,5.97,,,,,,,,,,,,,,
1935-05-20,05:21:35.32,3.722,126.627,15,6.01,,,,,,,,,,,,,,
1935-06-22,15:48:36.89,-5.757,120.292,15,6.2,,,,,,,,,,,,,,
1936-04-01,02:09:27.54,4.264,126.379,35,7.75,,,,,,,,,,,,,,
1936-04-01,20:10:59.87,3.838,126.655,35,6.68,,,,,,,,,,,,,,
1936-06-05,14:37:19.87,0.505,123.677,35,5.86,,,,,,,,,,,,,,
1936-07-06,18:21:01.57,-1.174,127.009,25,5.69,,,,,,,,,,,,,,
1936-10-03,21:50:12.06,1.251,122.806,25,6.43,,,,,,,,,,,,,,
1936-10-05,09:44:21.74,1.668,126.276,15,6.96,,,,,,,,,,,,,,
1936-10-13,06:32:25.61,1.023,126.236,15,5.79,,,,,,,,,,,,,,
1936-10-19,12:04:23.69,-1.99,126.145,15,6.42,,,,,,,,,,,,,,
1936-11-30,23:45:50.20,-2.112,126.098,25,6.2,,,,,,,,,,,,,,
1937-01-15,05:10:59.19,2.144,126.496,15,5.72,,,,,,,,,,,,,,
1937-03-21,18:08:14.03,0.604,122.975,25,5.56,,,,,,,,,,,,,,
1937-07-10,20:43:25.59,0.839,122.347,35,5.86,,,,,,,,,,,,,,
1937-09-21,09:39:48.29,1.972,126.365,15,6.2,,,,,,,,,,,,,,
1938-05-19,17:08:47.32,-0.045,120.537,35,7.7,,,,,,,,,,,,,,
1938-06-09,19:15:10.32,-3.146,126.75,15,7.08,,,,,,,,,,,,,,
1938-09-07,01:54:32.83,4.634,126.532,15,5.99,,,,,,,,,,,,,,
1938-10-07,00:51:41.93,0.661,125.731,25,6.03,,,,,,,,,,,,,,
1938-10-10,20:48:07.01,2.4,126.514,15,7.22,,,,,,,,,,,,,,
1938-10-11,00:08:01.53,2.639,126.352,15,6.13,,,,,,,,,,,,,,
1939-03-25,05:39:54.12,1.132,122.499,25,5.65,,,,,,,,,,,,,,
1939-06-02,03:33:15.98,4.667,126.223,35,6.39,,,,,,,,,,,,,,
1939-06-13,20:39:48.00,0.459,125.343,35,5.84,,,,,,,,,,,,,,
1939-12-21,21:00:45.01,-0.018,122.793,150,8.1,,,,,,,1.8,21,,,,,,
1940-07-21,15:38:28.49,2.275,120.911,15,6.35,,,,,,,,,,,,,,
1941-01-04,03:12:49.26,-6.847,123.187,15,5.73,,,,,,,,,,,,,,
1941-01-05,18:47:02.64,1.659,122.272,25,6.65,,,,,,,,,,,,,,
1941-02-08,18:46:10.44,1.235,120.419,25,6.12,,,,,,,,,,,,,,
1941-06-18,10:15:05.05,-0.517,124.839,25,6.02,,,,,,,,,,,,,,
1941-06-18,19:59:00.72,-0.111,124.894,25,5.96,,,,,,,,,,,,,,
1941-06-23,09:28:50.17,-1.268,119.535,35,6.23,,,,,,,,,,,,,,
1941-09-14,13:33:21.47,-7.15,126.124,25,5.94,,,,,,,,,,,,,,
1941-11-08,23:37:28.84,0.731,122.835,35,7.43,,,,,,,,,,,,,,
1941-12-09,02:43:09.85,-3.154,121.035,15,6.04,,,,,,,,,,,,,,
1942-12-13,19:12:48.43,0.389,126.262,25,6.11,,,,,,,,,,,,,,
1943-07-08,14:35:48.08,3.532,126.629,35,6.2,,,,,,,,,,,,,,
1943-09-05,08:34:39.96,1.029,122.269,35,6.55,,,,,,,,,,,,,,
1943-09-12,01:31:04.59,1.508,122.491,35,5.98,,,,,,,,,,,,,,
1944-09-11,09:45:26.37,1.032,126.15,15,6.72,,,,,,,,,,,,,,
1945-10-16,16:03:02.61,-0.056,123.892,55,6.42,,,,,,,,,,,,,,
1946-01-07,06:14:05.82,1.429,121.385,35,6.19,,,,,,,,,,,,,,
1946-01-24,06:18:52.71,2.16,121.628,15,5.93,,,,,,,,,,,,,,
1946-02-24,09:29:03.63,0.475,120.332,35,6.11,,,,,,,,,,,,,,
1946-02-28,02:22:44.61,0.845,120.631,35,6.24,,,,,,,,,,,,,,
1947-06-12,09:02:28.01,1.153,126.079,15,7.08,,,,,,,,,,,,,,
1948-01-28,03:47:17.67,1.591,126.537,15,6.52,,,,,,,,,,,,,,
1948-03-13,20:02:32.61,1.617,126.48,15,6.59,,,,,,,,,,,,,,
1948-03-26,13:23:23.07,-0.331,119.665,35,5.9,,,,,,,,,,,,,,
1948-06-21,12:05:26.83,3.569,125.469,15,6.35,,,,,,,,,,,,,,
1948-07-18,06:43:28.21,0.624,121.821,35,6.25,,,,,,,,,,,,,,
1948-08-20,18:46:05.46,3.974,125.182,35,5.84,,,,,,,,,,,,,,
1949-04-23,11:15:33.43,-7.831,120.56,20,6.35,,,,,,,,,,,,,,
1949-06-26,08:41:25.45,-0.08,124.861,55,6.24,,,,,,,,,,,,,,
1949-09-14,19:50:18.44,1.036,126.098,15,6.96,,,,,,,,,,,,,,
1949-09-16,19:11:15.32,1.076,126.263,35,5.93,,,,,,,,,,,,,,
1950-08-07,15:47:26.78,1.187,126.357,15,5.87,,,,,,,,,,,,,,
1950-09-14,09:05:52.89,-0.18,124.769,35,6.19,,,,,,,,,,,,,,
1951-01-26,03:25:16.29,1.255,126.04,15,5.89,,,,,,,,,,,,,,
1951-05-16,14:06:14.33,2.081,126.28,15,5.96,,,,,,,,,,,,,,
1951-05-30,19:57:07.87,-2.88,126.587,35,6.14,,,,,,,,,,,,,,
1951-06-26,03:40:55.85,-4.127,123.012,15,5.93,,,,,,,,,,,,,,
1951-08-18,03:38:16.02,0.406,125.783,30,6.13,,,,,,,,,,,,,,
1951-09-21,09:10:23.64,-0.014,124.859,35,5.94,,,,,,,,,,,,,,
1952-02-14,03:38:17.38,-7.78,126.493,25,7.02,,,,,,,,,,,,,,
1952-03-23,15:21:23.06,3.669,126.362,25,6.19,,,,,,,,,,,,,,
1952-04-14,23:49:58.85,3.733,126.642,70,6.23,,,,,,,,,,,,,,
1952-06-17,12:03:48.92,-5.298,123.729,25,6.14,,,,,,,,,,,,,,
1954-05-23,06:56:47.91,3.156,124.037,15,5.97,,,,,,,,,,,,,,
1954-09-20,00:39:36.37,-1.937,120.402,50,6,,,,,,,,,,,,,,
1954-10-03,23:21:46.89,-1.32,126.857,25,6.01,,,,,,,,,,,,,,
1955-02-14,16:53:22.89,3.459,126.864,35,6.3,,,,,,,,,,,,,,
1955-10-21,23:09:49.25,-0.49,123.412,35,6.4,,,,,,,,,,,,,,
1956-03-10,21:37:12.91,0.449,125.186,60,5.79,,,,,,,,,,,,,,
1956-05-26,08:30:23.04,-4.096,126.112,15,5.88,,,,,,,,,,,,,,
1956-06-13,12:07:34.86,-0.175,124.425,60,5.89,,,,,,,,,,,,,,
1956-07-17,07:34:11.66,-6.856,126.245,450.8,6.8,185,52,177,277,88,38,2.3,19,-0.42,0.52,0.36,-1.33,1.82,0.06
1956-07-24,18:56:43.22,2.084,126.673,35,5.88,,,,,,,,,,,,,,
1957-04-25,11:06:11.36,1.717,126.492,35,5.92,,,,,,,,,,,,,,
1957-06-06,19:49:51.83,3.596,126.807,20,6.04,,,,,,,,,,,,,,
1957-09-27,04:08:29.36,-1.056,126.97,20,6.14,,,,,,,,,,,,,,
1958-08-12,19:25:16.02,0.422,126.145,47.5,6.47,,,,,,,,,,,,,,
1958-08-13,03:50:41.26,0.368,126.06,35,5.86,,,,,,,,,,,,,,
