date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1907-05-25,11:50:28.02,-0.595,119.791,35.0,6.39,,,,,,,,,,,,,,
1966-08-18,14:37:55.16,-0.007,125.026,32.5,6.02,,,,,,,,,,,,,,
1976-01-23,05:45:38.50,-7.37,120.07,623.1,6.7,233.0,38.0,-96.0,61.0,53.0,-85.0,1.58e+26,26.0,,,,,,
1977-01-01,19:01:40.96,-2.402,126.597,20.0,6.33,1.0,87.0,173.0,91.0,83.0,3.0,3.82,18.0,-0.52,0.38,0.79,0.07,3.8,-0.27
1977-02-13,13:06:57.40,-0.05,125.08,50.2,5.9,175.0,22.0,53.0,34.0,72.0,104.0,9.08e+24,24.0,,,,,,
1977-02-16,10:40:26.10,0.44,125.97,29.4,6.0,61.0,35.0,124.0,201.0,62.0,68.0,1.29e+25,25.0,,,,,,
1977-04-13,12:45:44.31,3.807,126.799,44.9,5.36,134.0,34.0,42.0,8.0,68.0,117.0,13.87,16.0,-8.25,8.52,9.49,5.7,4.2,-1.24
1977-04-19,21:46:40.70,-5.62,125.62,555.0,5.7,53.0,29.0,146.0,174.0,74.0,65.0,5.18e+24,24.0,,,,,,
1977-05-28,05:51:53.50,-1.74,120.81,33.6,6.1,123.0,77.0,4.0,33.0,86.0,167.0,1.85e+25,25.0,,,,,,
1977-06-19,07:32:20.20,4.8,125.41,283.5,5.9,14.0,36.0,-73.0,173.0,56.0,-102.0,8.85e+24,24.0,,,,,,
1977-07-03,14:39:19.60,1.45,126.37,30.1,6.3,28.0,32.0,99.0,197.0,58.0,85.0,3.15e+25,25.0,,,,,,
1977-10-17,10:41:09.70,-1.06,126.89,63.4,5.7,15.0,77.0,-170.0,283.0,80.0,-13.0,3.81e+24,24.0,,,,,,
1977-11-27,09:33:50.50,-0.61,120.53,60.9,5.8,201.0,55.0,-31.0,310.0,65.0,-140.0,7.15e+24,24.0,,,,,,
1978-01-14,13:49:49.00,1.62,126.3,46.2,5.6,80.0,42.0,129.0,212.0,59.0,60.0,3.3999999999999995e+24,24.0,,,,,,
1978-01-20,21:31:20.10,-3.98,123.17,30.0,5.4,123.0,24.0,19.0,15.0,82.0,112.0,1.83e+24,24.0,,,,,,
1978-02-03,14:33:42.20,4.73,125.59,179.1,5.8,194.0,12.0,112.0,351.0,79.0,85.0,6.45e+24,24.0,,,,,,
1978-02-07,07:01:44.90,0.09,123.81,81.0,6.4,311.0,61.0,4.0,219.0,86.0,151.0,4.53e+25,25.0,,,,,,
1978-02-21,07:47:31.10,-5.04,125.28,555.5,6.2,292.0,19.0,28.0,175.0,81.0,107.0,2.38e+25,25.0,,,,,,
1978-03-11,04:18:08.60,1.4,125.77,50.9,5.9,349.0,48.0,16.0,248.0,78.0,136.0,7.87e+24,24.0,,,,,,
1978-04-25,04:24:56.80,4.78,124.6,31.0,6.2,226.0,76.0,-178.0,135.0,88.0,-14.0,2.64e+25,25.0,,,,,,
1978-05-25,22:20:55.20,-0.18,125.29,41.8,5.5,219.0,17.0,105.0,24.0,73.0,85.0,2.22e+24,24.0,,,,,,
1978-07-08,03:06:56.60,0.57,126.21,41.0,6.0,168.0,27.0,50.0,31.0,70.0,108.0,1.0899999999999998e+25,24.0,,,,,,
1978-09-08,12:28:43.40,3.91,126.31,35.0,5.5,1.0,21.0,-101.0,192.0,70.0,-86.0,2.49e+24,24.0,,,,,,
1978-09-26,06:07:47.10,1.03,120.43,20.0,5.6,181.0,49.0,-171.0,85.0,83.0,-41.0,3.45e+24,24.0,,,,,,
1978-11-22,00:07:37.80,1.559,126.431,50.3,5.37,217.0,55.0,146.0,328.0,62.0,40.0,1.42,17.0,-1.57,0.2,0.82,-0.45,-0.07,0.75
1978-12-11,03:33:59.60,-7.07,118.13,448.1,6.0,87.0,34.0,-93.0,271.0,56.0,-88.0,1.2199999999999998e+25,25.0,,,,,,
1978-12-14,19:26:02.00,0.54,126.18,35.6,6.1,4.0,34.0,64.0,214.0,60.0,106.0,1.8799999999999998e+25,25.0,,,,,,
1979-02-03,07:47:33.80,-0.21,126.21,15.0,6.0,221.0,9.0,95.0,36.0,81.0,89.0,1.3499999999999998e+25,25.0,,,,,,
1979-03-08,14:49:55.40,0.89,120.45,20.0,6.4,81.0,8.0,88.0,263.0,82.0,90.0,4.2499999999999995e+25,25.0,,,,,,
1979-05-12,09:09:33.86,-1.775,121.432,36.4,5.21,2.0,46.0,56.0,226.0,53.0,120.0,8.28,16.0,-6.84,0.31,6.75,-2.85,-3.77,0.09
1979-05-13,17:31:01.40,-4.09,122.96,613.0,6.0,246.0,17.0,-2.0,338.0,89.0,-107.0,1.1399999999999999e+25,25.0,,,,,,
1979-05-18,23:22:28.00,0.8,125.66,15.0,6.3,304.0,29.0,35.0,182.0,74.0,114.0,3.0699999999999997e+25,25.0,,,,,,
