date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1965/01/24,00:11:17.260,-2.608,125.952,20,8.2,315,25,90,135,65,90,2.4,21,       ,       ,       ,       ,       ,
1967/04/21,08:14:24.310,-5.401,126.688,10,6.2,235,69,21,137,70,158,2.65,18,       ,       ,       ,       ,       ,
1976/07/26,02:56:38.680,4.924,118.243,13.2,6.28,327,83,-20,59,70,-172,3.24,18,"-2.47","-1","-0.5","0.36","-1.36",2.97
1977/01/01,19:01:40.700,-2.88,126.15,43.4,6.3,91,83,3,1,87,173,3.82e+25,25,,,,,,
1977/02/13,13:06:52.970,-0.073,125.12,35,5.91,34,72,104,175,22,53,9.08,17,"-5.38","5.55","5.15","4.62","-1.55",0.24
1977/04/22,05:26:35.770,-7.715,118.965,20,5.5,171,76,-162,76,72,-15,2.19,17,"1.14","0.42","-0.62","-0.41","1.9",-0.52
1977/05/28,05:51:48.380,-1.909,120.486,35,6.12,33,86,167,123,77,4,1.85,18,"-1.76","0.3","0.23","0.27","0.73",1.53
1977/08/27,07:12:33.700,-7.92,125.72,32.3,7,249,46,113,38,49,68,4.39e+26,26,,,,,,
1977/09/19,05:13:09.100,-2.31,126.11,15,6.2,104,43,-75,264,48,-104,2.88e+25,25,,,,,,
1977/09/19,05:13:10.190,-1.955,126.656,25,6.25,264,48,-104,104,43,-75,2.88,18,"-0.51","0.36","-2.58","0.28","-0.23",3.09
1977/10/17,10:41:06.520,-1.064,126.869,25,5.66,283,80,-13,15,77,-170,3.81,17,"-1.14","-0.38","-1.24","0.51","3.28",2.38
1977/11/27,09:33:45.910,-0.808,120.653,35,5.84,310,65,-140,201,55,-31,7.15,17,"5.95","0.21","-3.23","4.47","-2.3",-2.72
1977/12/13,14:27:12.600,-0.31,124.08,46.1,5.4,97,83,-175,7,85,-7,1.8e+24,24,,,,,,
1977/12/21,21:15:02.660,-1.005,126.735,27.7,5.38,270,24,-10,10,86,-114,1.49,17,"0.08","-1.31","-0.15","-0.29","0.65",0.06
1978/01/20,21:31:15.740,-4.267,123.377,30,5.44,123,24,19,15,82,112,1.83,17,"-0.86","1.57","0.39","0.41","0.44",0.47
1978/04/25,04:24:54.860,4.664,124.597,35,6.22,135,88,-14,226,76,-178,2.64,18,"-2.68","0.62","0.27","-0.31","-0.01",2.42
1978/05/25,22:20:52.220,-0.065,125.289,41.8,5.5,24,73,85,219,17,105,2.22,17,"-0.84","1.71","1.33","0.68","-0.45",-0.48
1978/09/26,06:07:46.700,1.125,120.308,36.9,5.63,85,83,-41,181,49,-171,3.45,17,"0.4","0.11","-0.53","-2.22","2.6",0.13
1978/10/29,19:01:10.600,-0.08,124.88,45.1,5.4,202,23,90,22,67,90,1.62e+24,24,,,,,,
1979/03/08,14:49:55.090,0.993,120.383,30.5,6.36,263,82,90,81,8,88,4.25,18,"-0.03","-0.51","1.16","-4.06","-0.16",-1.13
1979/05/12,09:09:31.300,-2.12,121.26,36.4,5.2,2,46,56,226,53,120,8.28e+23,23,,,,,,
1979/09/29,12:41:49.100,-2.95,119.8,15,5.9,18,36,-150,263,73,-58,8.68e+24,24,,,,,,
1980/05/15,18:58:28.450,-6.201,125.744,40.3,6.41,305,88,163,35,73,2,5.02,18,"4.21","0.77","0.63","-1.24","-1.6",-4.84
1980/11/05,18:15:02.630,-2.704,122.014,20,6.07,221,82,-110,110,22,-22,1.56,18,"-0.31","1.09","-0.36","0.9","0.35",0.68
1980/11/05,18:15:07.300,-3.55,121.98,15,6.1,110,22,-22,221,82,-110,1.56e+25,25,,,,,,
1981/07/08,10:15:34.540,-1.947,124.676,18.2,5.33,103,59,-14,201,78,-148,12.63,16,"-3.48","5.11","-4.41","1.63","9.53",7.9
1981/07/08,10:15:41.500,-2.46,125.21,36,5.3,103,59,-14,201,78,-148,1.26e+24,23,,,,,,
1981/12/25,00:28:14.380,4.748,118.38,15,5.55,122,72,20,25,71,161,2.64,17,"-2.04","0.35","0.23","1.28","1.26",1.82
1981/12/25,00:28:19.800,4.41,118.91,15,5.5,25,71,161,122,72,60,2.64e+24,24,,,,,,
1982/04/27,08:06:25.300,-4.22,118.85,15.7,5.6,38,24,100,207,66,86,3.67e+24,24,,,,,,
1982/05/07,05:36:15.690,-0.561,123.327,35,5.74,357,61,67,220,36,126,4.99,17,"-4.37","2.36","3.59","-0.66","-1.73",0.78
1982/05/07,05:36:23.800,-0.01,123.39,36,5.7,220,36,126,357,61,67,4.99e+24,24,,,,,,
1982/08/02,10:49:10.400,-7.99,124.23,34.8,5.2,134,38,-140,11,67,-58,8.18e+23,23,,,,,,
1982/08/27,23:30:06.700,-2.22,121.31,26.3,5.6,20,59,-146,271,61,-36,3.49e+24,24,,,,,,
1982/10/23,00:08:06.180,-1.874,126.631,20.2,5.46,174,49,-64,317,47,-118,1.92,17,"1.6","0.28","-1.62","0.43","-0.92",0.01
1982/12/25,12:28:03.400,-7.85,123.36,39.8,5.9,6,78,7,275,83,168,9.73e+24,24,,,,,,
1983/03/30,00:49:11.800,1.62,122.502,33.2,5.56,354,83,-20,86,70,-173,2.71,17,"-0.38","-0.96","-0.12","-0.27","-2.48",0.5
1983/03/30,00:49:18,1.71,123.19,47.6,5.6,86,70,-173,354,83,-20,2.71e+24,24,,,,,,
1983/06/09,20:26:50.460,-5.968,122.614,30,5.55,258,61,111,40,35,57,2.57,17,"-0.4","0.14","2.01","-1.37","-1.14",-1.6
1983/06/09,20:26:54.900,-6.08,123.26,18,5.5,40,35,57,258,61,111,2.57e+24,24,,,,,,
1983/07/26,20:14:52.500,0.58,119.91,45,5.3,344,18,6,248,88,108,1.13e+24,24,,,,,,
1983/10/16,05:32:29.540,1.159,120.977,30,6.4,278,79,99,57,14,51,4.94,18,"0.9","0.57","1.49","-4.47","-0.4",-2.39
1983/10/25,00:36:24.780,1.196,120.8,28.3,6.45,290,79,104,58,18,39,5.9,18,"0.62","2.11","2.18","-4.87","-0.39",-2.8
1983/10/27,19:43:50.370,1.181,120.798,27.7,6.45,290,74,125,41,38,27,5.8,18,"3.02","0.53","2.43","-3.73","-1.29",-5.45
1984/01/08,15:24:15.080,-2.803,118.779,28.1,6.66,194,74,90,13,16,89,12.05,18,"-6.36","-9.84","6.28","-2.45","-1.62",0.08
1984/04/10,14:10:39.500,4.95,125.27,29.8,5.6,19,26,133,154,71,72,2.98e+24,24,,,,,,
1984/05/15,15:23:03.400,0.84,119.61,49,5.4,319,21,-56,104,73,-102,1.4e+24,24,,,,,,
1984/06/06,05:38:26.410,-4.784,125.978,39.5,6.15,246,79,-13,338,78,-168,2.04,18,"1.52","-0.17","-0.24","0.51","1.36",-1.28
1984/07/09,17:22:19.960,-3.433,123.193,20,5.35,179,22,97,351,69,87,13.51,16,"-8.73","9.71","9.68","-1.81","0.55",-0.94
1985/02/24,02:26:52.900,-2.43,119.42,40.5,5.9,44,61,165,142,77,30,9.8e+24,25,,,,,,
1985/03/01,12:52:07.200,-2.17,120.24,10.6,5.5,307,41,-19,51,78,-130,2.43e+24,24,,,,,,
1985/03/01,12:52:07.450,-2.034,119.625,20,5.53,51,78,-130,307,41,-19,2.43,17,"-0.98","-1.93","-0.68","-0.78","-0.31",1.67
1985/03/01,17:11:19.920,-2.036,119.61,20,6.39,312,72,-28,52,63,-159,4.74,18,"-3.26","-1.38","-1.99","0.61","-0.37",5.26
1985/03/01,22:22:11.780,-2.14,119.625,20,5.89,153,88,53,61,37,176,8.32,17,"-5.68","-6.98","0.68","0.64","-1.42",5
1985/03/02,15:47:35.640,-1.989,119.729,45,6.65,14,87,-174,283,84,-3,1.15,19,"-0.6","-0.15","0.19","0.06","1.01",0.42
1985/03/02,15:47:40.200,-1.32,119.38,43.9,6.6,283,84,-3,14,87,-174,1.15e+26,26,,,,,,
1985/03/05,13:40:11.820,1.252,122.929,33.6,6.13,272,70,89,94,20,91,1.92,18,"0.58","0.06","0.91","-1.48","0.1",-1.5
1985/03/10,05:01:43.200,-0.17,123.38,43.9,5.5,348,77,-7,79,83,-167,2.17e+24,24,,,,,,
1985/03/25,18:58:55.190,1.205,122.879,43.9,5.61,265,69,94,75,21,81,3.23,17,"0.24","-0.16","1.98","-2.42","-0.41",-2.22
1985/08/13,00:25:21.900,-2.3,125.64,13.6,5.5,309,15,146,71,82,77,2.49e+24,24,,,,,,
1985/08/20,13:43:17.440,-0.993,126.981,27.5,5.31,343,24,69,186,67,99,11.63,16,"-8.44","-7.96","8.14","-1.53","0.86",0.3
1986/01/03,09:43:28.680,-0.916,126.885,25,6.06,174,74,98,329,18,66,1.53,18,"-0.74","-1.28","0.82","0.07","0.27",-0.08
