date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
24-01-65,11:17.3,-2.608,125.952,20,8.2,315,25,90,135,65,90,2.4,21,       ,       ,       ,       ,       ,       
01-01-96,05:23.1,0.74,119.93,15,7.9,36,6,54,252,85,94,7.78E+24,27,,,,,,
01-01-96,05:13.8,0.741,119.963,33.5,7.87,252,85,94,36,6,54,7.78,20,-0.35,-2.36,1.34,-7.27,-0.86,-0.98
29-11-98,10:33.1,-1.924,124.818,25,7.71,196,65,-150,92,63,-28,4.48,20,-0.56,2.91,-0.9,-2,2.93,1.47
16-11-08,02:32.0,1.41,122.18,10,7.7,92,20,84,278,70,92,,,,,,,,
18-04-90,39:23.2,1.239,122.853,36.6,7.62,257,64,73,112,31,122,3.31,20,-0.25,-1.1,2.73,-1.76,0.32,-2.48
28-09-18,02:45.0,-0.273,119.895,23,7.57,348,57,-15,87,77,-146,2.83,20,-0.27,-0.87,-0.48,-1.45,-2.19,0.76
04-05-00,21:18.0,-1.12,123.551,30,7.53,319,83,26,225,64,172,2.44,20,-2.65,0.84,0.81,-0.46,-0.06,1.84
20-06-91,18:54.3,1.199,122.768,30,7.52,276,83,88,109,7,102,2.31,20,0,0.24,0.55,-2.23,0.12,-0.54
14-08-86,39:14.9,1.882,126.515,32.3,7.51,224,81,104,347,16,34,2.26,20,-0.93,-1.35,0.84,-1.62,-0.06,0.1
14-08-86,39:28.9,3.08,126.89,20.2,7.5,347,16,34,224,81,104,2.26E+27,27,,,,,,
04-05-00,21:33.4,-1.29,123.59,18.6,7.5,225,64,172,319,83,26,2.44E+27,27,,,,,,
11-11-04,26:58.0,-7.87,125.12,17,7.5,67,27,72,267,65,99,2.12E+27,27,,,,,,
21-01-07,28:01.0,1.19,126.21,22.2,7.5,34,35,108,193,57,78,1.97E+27,27,,,,,,
