date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1976-06-26,10:30:59.84,3.787,126.87,20.0,6.49,12.0,66.0,100.0,169.0,26.0,69.0,6.59,18.0,-5.14,4.1,4.8,1.35,-0.09,0.34,c
1977-02-13,13:06:52.97,-0.073,125.12,35.0,5.91,34.0,72.0,104.0,175.0,22.0,53.0,9.08,17.0,-5.38,5.55,5.15,4.62,-1.55,0.24,c
1977-02-16,10:40:23.69,0.533,126.014,43.7,6.01,201.0,62.0,68.0,61.0,35.0,124.0,1.29,18.0,-0.53,-0.81,1.17,0.16,-0.36,-0.64,c
1977-03-09,23:01:16.40,3.07,126.72,20.1,5.5,83.0,18.0,123.0,228.0,75.0,80.0,2.4999999999999997e+24,24.0,,,,,,,c
1977-04-13,12:45:43.50,3.72,126.86,44.9,5.4,134.0,34.0,42.0,8.0,68.0,117.0,1.39e+24,23.0,,,,,,,c
1977-07-03,14:39:15.36,1.396,126.279,44.4,6.27,197.0,58.0,85.0,28.0,32.0,99.0,3.15,18.0,-2.14,-1.44,3.2,-0.18,-0.61,-1.06,c
1977-08-27,07:12:33.70,-7.92,125.72,32.3,7.0,249.0,46.0,113.0,38.0,49.0,68.0,4.39e+26,26.0,,,,,,,c
1977-09-06,05:00:45.00,2.19,126.63,34.7,5.5,107.0,12.0,116.0,261.0,79.0,85.0,2.53e+24,24.0,,,,,,,c
1977-10-17,10:41:06.52,-1.064,126.869,25.0,5.66,283.0,80.0,-13.0,15.0,77.0,-170.0,3.81,17.0,-1.14,-0.38,-1.24,0.51,3.28,2.38,c
1977-12-21,21:15:02.66,-1.005,126.735,27.7,5.38,270.0,24.0,-10.0,10.0,86.0,-114.0,1.49,17.0,0.08,-1.31,-0.15,-0.29,0.65,0.06,c
1978-01-14,13:49:45.41,1.687,126.455,50.0,5.63,212.0,59.0,60.0,80.0,42.0,129.0,3.4,17.0,-0.56,-1.61,2.62,0,-1.81,-2.05,c
1978-05-03,02:29:57.00,3.76,126.7,39.5,5.4,359.0,24.0,-36.0,123.0,76.0,-110.0,1.34e+24,23.0,,,,,,,c
1978-05-25,22:20:52.22,-0.065,125.289,41.8,5.5,24.0,73.0,85.0,219.0,17.0,105.0,2.22,17.0,-0.84,1.71,1.33,0.68,-0.45,-0.48,c
1978-09-08,12:28:40.54,4.013,126.514,35.0,5.54,192.0,70.0,-86.0,1.0,21.0,-101.0,2.49,17.0,1.6,1.82,-1.64,0.48,0.18,0.04,c
1978-09-26,06:07:46.70,1.125,120.308,36.9,5.63,85.0,83.0,-41.0,181.0,49.0,-171.0,3.45,17.0,0.4,0.11,-0.53,-2.22,2.6,0.13,c
1978-10-29,19:01:10.60,-0.08,124.88,45.1,5.4,202.0,23.0,90.0,22.0,67.0,90.0,1.62e+24,24.0,,,,,,,c
1978-12-14,19:25:59.43,0.547,126.009,43.9,6.12,214.0,60.0,106.0,4.0,34.0,64.0,1.88,18.0,-1.52,-0.62,1.48,-0.67,-0.67,0.05,c
1978-12-20,15:51:56.79,3.866,126.735,15.0,5.49,177.0,63.0,91.0,355.0,27.0,88.0,2.1,17.0,-1.47,-1.25,1.91,0.05,0.08,-0.44,c
1979-03-08,14:49:55.09,0.993,120.383,30.5,6.36,263.0,82.0,90.0,81.0,8.0,88.0,4.25,18.0,-0.03,-0.51,1.16,-4.06,-0.16,-1.13,c
1979-04-10,01:42:23.84,3.083,126.918,37.1,6.97,358.0,75.0,104.0,135.0,21.0,49.0,3.48,19.0,-1.53,2.92,1.83,0.21,0.82,-0.3,c
1979-05-18,23:22:27.36,0.668,125.959,36.2,6.26,182.0,74.0,114.0,304.0,29.0,35.0,3.07,18.0,-1.43,-2.37,1.58,-0.6,1.11,-0.14,c
